peT,rmutcjnjgl,xhtdzaqpft,rnjyxyfxqc,oegqxjzntj,fqrwjultik
cAt,dOG,-633,DOG,-0.293,0.307
-965,vtkotqraak,-407,632,-451,aovuffxpvq
DOg,-0.299,-0.121,hivkwzzbgu,125,-0.18
dkxbqmceik,tdhgrwihrp,wevzpxcvdz,ebvxybpybc,-908,0.4425
0.003,CAT,-612,rtvcoceidj,lmnhzhluar,ycevbwwmts
DOG,DOG,0.374,Cat,dOg,0.242
0.1405,quntwbvdmz,491,yynvtfioka,-0.0125,cAT
cAt,jqwtuwmanl,0.094,0.247,-0.279,hsqcalgtxh
CAt,-0.2225,cAt,432,-0.162,0.3
0.4885,-0.1195,-0.054,cat,-0.1935,cat
dOg,716,-0.376,262,rlykldzmhy,-551
Dog,nrlffflgvk,-946,vlmhtlfgsz,dog,CAt
0.324,jpjcnsnklh,gwevinqyit,jbqxbrhqty,-0.408,0.1705
0.115,hhjazxdjhy,uzmzoremxu,-292,0.164,DOG
CAt,-0.4425,0.329,-0.236,cqtiewmrhj,-503
aeyqgrqbre,0.33,uhredzhsli,CaT,-403,fpxfpxzrfa
doG,0.4145,0.4585,zrwnwuykdd,eenhdfasoy,tckvltbodz
dog,bgstsplgio,0.443,920,0.3345,977
cqmpiqdboi,-140,0.376,-0.281,Dog,DoG
CaT,apbdufxalq,443,doG,0.268,ciepiycysk
CaT,lqrnkelgpm,-0.39,277,-148,zzmgwbtczl
DOg,495,ogitylmxfm,-0.141,doG,ubcckjgptk
Dog,bfokooatoq,ejmdupijyv,0.403,uiyplecviv,utbhyenpdn
DOg,uxuwxhwrda,-0.3055,0.4415,yibyahenqq,-0.2725
laktjafjhc,0.45,wjiebshzjd,113,doG,0.1025
Dog,-824,sncfpltlqk,0.0835,-0.352,-0.3785
dOG,-0.356,898,DOG,0.217,909
DOG,vddqwlnhfk,436,-0.2025,-0.2395,saroffsbct
Dog,DOG,CAt,kdjdyiloud,DOg,-0.084
-0.3655,krfkzmjxzx,0.1415,95,-715,idmijyzqzk
CaT,thxsskwfks,-222,671,134,bvvecxdysf
0.28,szrrciunos,takgmtqjbp,-0.0615,-0.3885,0.3935
DOg,557,0.3505,-0.281,tucukwtvgu,520
cAt,piizhwtnch,cAT,879,osaocektip,Cat
DOG,eejbhddsin,jqbgbuvhjl,ktvjwgbwwu,jhydibkhcb,DOG
DOG,zvzlpxpchx,cwvgzdcpch,0.4575,-0.402,zodyustezc
0.208,-306,rsntotdupi,778,0.3075,pdnvfhovuh
caT,wifsvlqhqy,0.192,-0.265,-465,390
CAT,lrwylatxle,0.075,741,-0.0945,pajxukgxlm
cAT,ckytpmqhaj,-0.3085,-0.187,-0.0045,pzaxbpigqq
DOG,DoG,rmbqedkejn,0.137,Cat,-166
dOG,0.2875,cAT,-0.354,149,-0.468
Dog,-0.361,-654,Dog,0.493,0.314
DOG,Cat,0.375,mvjmwwwojk,laldraxpao,473
cat,-0.4135,cAT,0.189,-886,xxdohmslyl
CaT,-518,0.3265,vyivmlvvzs,pexdrcsjva,Dog
DoG,-0.1625,-284,zneqpnuuop,0.4265,703
dOG,0.441,-0.174,-0.284,101,gwjbfcnikd
qtgozxptdq,vozubwvsij,-580,cAT,-464,DOg
-958,0.179,-974,ltaeanfudf,-0.1085,acuwxhwqbp
DoG,-0.0285,400,doG,crjkharcek,0.394
coyfcayorc,0.1455,dog,iaytfdnqjp,cAT,doG
DOG,Cat,jwvyqlgfnf,CaT,711,-882
CAT,vireooytwu,601,0.1475,jmnaqzbgng,-0.092
cAt,ifwhqbvnjq,-117,dog,Dog,-0.1015
doG,25,-413,283,-0.2295,692
-0.4435,0.4915,0.209,cAT,uonqfwoajp,cgwtmftztm
cat,-0.164,0.1305,-0.269,doG,zvlmenzybh
