ziqnzuvcue,lhyebfeine,zamsvbjzrq,Pet,ljmrlyiguf
-0.014,0.0665,0.0255,Dog,eeiflyrwfp
0.386,-0.485,rawncayfwn,DOG,-618
479,cAt,-702,doG,355
-7,-835,649,DOG,amnlmzqmcq
DOG,mtdqfxyzix,-0.1465,364,-704
doG,doG,-0.2725,cat,-0.179
-212,161,gdxdloqzgt,dog,-0.0285
-0.497,wacyqebkdb,-0.366,DOG,-0.416
tztqaiejvn,-678,axosnlxeek,dOG,CAt
-623,efqppyuhch,ljrrhbcuqg,DoG,-74
ulicuzzuve,cpbxfknmyq,-0.003,-0.2245,668
CAt,0.1225,0.496,caT,iexnkvrwwn
504,Cat,cAt,DOG,-0.366
0.096,0.1675,dOg,0.4625,lkeuceutok
ftfnhueipe,ptmbhmllfl,-47,caT,zrpbrgystw
996,-0.439,-0.0165,-0.0125,cqtkhcavxm
dOg,dctwtejmql,-0.2345,CAt,0.4085
-0.34,rmuosaeopq,DOg,cAT,-80
404,-0.4675,npjkpxkgaz,Cat,rarlijspxn
nnztijpowi,dlflonyqbm,DoG,DoG,ggbtmvkkfv
wthjzgwecb,451,rphpeaxbkr,Dog,CAt
cAt,-0.233,dOG,cAT,473
nakxtlngbz,-0.164,637,DOg,0.441
-0.129,979,-0.101,caT,mssdwmjqim
124,13,doG,cAt,483
gdgkkivoqk,pfkgtbirtj,DOg,924,181
cAT,CAt,gbjvcbhceq,DOG,0.365
-265,995,0.3445,-847,doG
dog,-236,gmipjmzjcb,dog,eljhvvjxbb
qsihomhyhc,386,119,cAT,dog
590,0.4905,CAt,dOG,744
-706,-112,cat,DOg,-636
-323,-0.258,nxotnkswkx,-0.4325,knookmyzyq
xrgtlquuvf,111,-409,CAt,-309
wxvckghyhj,dOG,450,-0.1885,0.02
CAT,lbygplmwch,0.3235,zmivkibyvu,aczfftzdfr
CaT,-12,dOG,dOg,199
qkrkkcrcra,0.495,ktopxvortv,pstsyordbq,998
uzgxfofrmu,933,201,dog,-0.0465
xlccfjleom,-900,0.1715,rwyicmljod,0.4565
-0.1335,hlvvzclzei,-776,0.368,yuvhvodvfh
xvuxwcftno,DOG,0.17,doG,-0.475
-232,mzmpnzuogr,luastmqsat,dOg,fvvfkwxlth
Cat,835,CAt,cat,-0.0155
940,-0.0605,dog,-916,-468
0.4485,0.161,hufmjvpgme,CAT,Dog
812,562,0.228,Cat,236
CaT,caT,dog,cat,xtuwnsoner
398,qugrgqtgsj,kmvxvngdvq,doG,270
-737,0.399,nzhojwdkca,453,dOg
817,qyjswquivr,0.2505,doG,697
zopdjbgwmr,334,-801,DOg,bzfkhpvpes
630,-20,doG,DOG,0.0885
-0.3595,zrqehqrlql,560,Cat,dog
dOG,yidxlxzrzc,xfhwsjcfua,dog,-16
-680,-866,dcovuuvimq,DoG,-0.0885
523,bimnmxgneg,0.3885,0.4325,dOG
-0.344,-0.3875,-186,DoG,-0.3095
590,hggxqdozgo,lkczqskyfd,DoG,0.417
dOG,791,0.3335,cat,gebzbruvlr
-0.1165,-518,-364,CaT,rtypudlhak
-670,yrzeplpasj,-646,dOg,323
cAT,yrazlzuozi,-384,cAt,cAT
dyabncsfrg,qpauduvhxl,-0.1635,doG,doG
Cat,-0.204,DOg,-517,dOG
owknetjtyi,934,0.3875,CaT,-386
CAt,CAT,0.4265,DOg,odsxofnmou
-0.24,-0.49,fwiwjvixcr,dOg,wkkrzflchm
rlqspmatji,CaT,szhmzbxriw,nbxajmpvrb,-433
