ruwijtxbaw,kmbknnvipd,peT,hbzpzwwmpy,pzpdulfrru
dpvqamjfot,cvpxdfsgob,Cat,-0.4245,-526
dOG,xmfoscqmzx,caT,wejhfmnyil,irvwzlpiqa
0.165,qypyxdsvgq,DOG,67,cAt
vjawldgmty,-0.373,-886,pdnolnikjf,ztaehucopr
0.068,ppmcjxsrzj,0.154,412,772
iksaangzos,upebvucyii,dOG,0.0195,-401
-1,-488,DoG,zvozmvukpb,CAT
xtwesaxjrt,0.0135,dOg,dOG,smhjznxeyj
-0.3375,-666,-197,dOG,DOG
-820,ynunxfpzkb,cat,oeagzoxgbz,0.002
gehurpeznt,apwobyreka,CaT,cAT,dog
CAt,763,-23,-0.3105,748
0.383,DOg,zfjtjcqgtw,DOG,upanhnisnq
cAT,CAT,DoG,doG,-0.1075
qwhtpvitrb,769,dOG,gsowjtokaz,DOG
dOg,-945,708,CAT,cAt
nsdgawltte,qxfijjzeeu,dOg,cahbwtqmnm,-436
jtuxuttfkc,45,cAt,ptrclkbdqt,cAt
CAt,dxdzwtolds,0.398,-403,cat
82,allrzbytaj,CAt,dOg,676
0.0255,cAT,DOG,cat,-605
CAT,57,-503,-0.056,osggfebflo
-361,0.1145,dOG,479,0.392
895,-0.354,dOg,-144,Cat
-123,scxwucqbtr,cat,-740,kmshtbrgtn
tklxghzrfv,-230,dOG,cqglxqhhxw,-0.2035
138,CaT,432,qpwagmnnpt,CaT
0.395,hmmsvnegyp,-0.469,-0.4085,vprgtenfjz
lqmlaszgli,-610,CAT,qyorebesla,-481
vvueeulnyd,kcapxihebu,DoG,fogchsjgfe,ornunwwyqo
sgxvnupfgm,-0.325,740,0.423,-0.445
-164,cAt,dog,-0.3895,-0.0185
-836,-0.3885,cat,-449,390
0.08,38,CAt,885,caT
-513,CAt,cAT,0.03,bddwehrwgz
0.464,-403,-27,gtyqehvtga,xoskpgynii
-974,0.3685,xqnagrswcd,0.333,441
cAt,pznxqouucw,CAT,DoG,764
-0.0515,caT,dOg,0.2825,-0.3895
-509,-0.2085,dqqqvdpklf,xsyvvizkcp,186
-0.1895,0.086,-418,764,-0.446
akzkacbrkh,doG,DOg,-22,0.2755
-448,caT,gojauhysbr,lzzaeffdei,-0.1135
0,caT,Cat,-0.1285,625
-575,zqzlfccxck,cat,131,-333
459,0.007,CaT,-277,eylfyxeguk
