wczszregcc,motdgdmoyj,iqyvgzqela,fqjfxqeftu,shxzioynnr,Pet
svikqktbfl,-0.215,-0.322,0.1285,-806,-0.174
-495,phxinjmnvn,doG,wtvojdhvlv,ilrzuzkxyv,DoG
caT,CaT,-0.0945,ppexkjdjve,0.2245,caT
jyimzqvbez,180,0.2285,ennrwivhvx,-0.1815,-0.135
vgnrwnpfbs,zvzqrayrkh,bifwqdyfxk,cat,cAT,xrqpzqdmlw
ldwpyponeg,dOg,erjepyeatm,jwolajixec,CAT,CAt
gynkmrjybw,0.467,dOg,daqnclkoqt,-0.231,cAt
-116,-552,dog,adnvthcnum,-0.4845,cat
DOG,0.1645,-0.244,-0.3485,kecpkgrtsc,doG
-225,zwwepmbirr,-0.1465,-989,0.3875,0.253
-0.262,bzykostvvl,-0.1005,286,58,DOg
dnqmivnbqh,DOG,CAt,Cat,496,553
yjuoeffovy,555,515,tvbiaumxdi,-49,dOG
cbfhvajizk,swdxydgqch,-37,eiusyauvab,22,dog
771,azyjdulyop,-0.1475,CaT,CAT,CaT
dOG,-542,-562,DOG,-290,caT
yckgwjlpyl,-426,dOg,fzksmuuajl,msawhjatzo,caT
okkbpddajg,-781,DOg,ywcpgpacfg,0.417,DOG
644,-748,653,-970,ceyardwmmo,DoG
635,-588,gxedytagzg,dOG,321,latzhibpku
apbgrnpzug,0.3265,0.2555,566,ugxpdfltrn,dOG
724,Cat,-58,98,CAT,DoG
-0.245,-874,hnieefguox,0.4755,-210,CaT
-0.0475,abyjqjiiut,809,-456,mfkkrvzsrf,Dog
0.2635,-0.091,dOg,qgxcrzftvj,-0.4,CAt
-0.0985,dOg,0.24,-659,cAt,DOg
728,-986,0.3375,-786,-336,CaT
846,-0.0135,0.175,qscrrvsgwb,866,Cat
218,878,354,jbotmtzpoa,145,677
-0.3375,-355,0.3055,qgtjcvqxta,sbyurgkhod,CAt
-488,0.4505,611,ajilunwybs,781,Dog
-0.122,DoG,pdxlmdwmon,iyqhjkrerp,402,cAT
jddgmmtmmj,dOg,wqphslsjme,aylzjxnujn,-0.496,693
CaT,796,cAt,fxtsmpbvsx,hvrydajewe,Dog
DOG,581,543,-496,cat,zygbkqpraj
-0.121,0.1575,-26,0.4065,bczlccvlzu,DOg
ejcgwqwkfx,0.3215,jcvluyalvr,0.0715,400,CAt
0.348,-0.364,qkmgeokeoq,-980,-0.4415,DOg
rmkioyxfsd,758,dOg,0.223,0.4535,cat
54,dOG,DoG,vmeljcgoqa,783,DoG
cAt,jkpzawqadu,CAt,0.1325,643,cAt
pxxkbhqpiv,-614,-744,-208,0.3915,qoqrasftdm
eahwojmywz,cAT,-0.4895,naimutwmbj,qckmzqootq,CAT
-768,-0.201,aeitwzfpes,-501,0.127,caT
877,0.008,DOG,sviaizuctm,Cat,DoG
-0.0555,pjeoobxcrf,fhaiyuwkaa,0.2045,-0.2545,dOg
CAT,-10,krqmuppplf,858,0.1345,cAt
DOG,614,bpdboglfrw,777,CAT,CAT
dOg,-507,879,vrqllzuahd,253,cAT
695,fdgdcmbkri,CAt,duvoocucxv,0.085,dOG
0.0315,frvgpqvpth,-542,qxkfvvhvvx,0.0385,DOG
fagfaojfal,0.2285,fyxtgzdyjr,zyvyapasuq,CAt,caT
caT,693,-387,153,CAt,cat
doG,-574,mysdjgvzkz,-0.1305,-0.3895,Dog
-0.381,0.4815,tspsivedvb,edeqveoqch,-854,DOG
vhypgedlph,84,mlkrssifjp,-498,cisgrykrhz,dog
tanesqvmpb,0.4095,Cat,kgrkmzhwfv,-0.126,doG
533,0.039,cAt,0.158,-153,doG
Cat,-268,-375,gpqcnaaxwh,klituznyhx,CaT
-965,doG,wznythaymt,332,184,caT
-0.149,njrsxopbgz,0.34,0.423,0.197,xkdgbqxmry
535,bhlwgpfskk,178,-0.2265,horydaicmd,dOg
0.4555,-0.372,0.368,776,-0.093,DOG
-963,dOG,0.4615,-0.109,dqfkoiwtvc,Cat
cAt,-413,cAT,mudhmavuig,ghpoonrvfo,DoG
cAt,-384,664,-0.3615,-72,otnuryjazu
CAT,dcehstgymh,588,5,0.4875,80
0.133,-830,-879,wdqoxkxxeo,269,aluazdhrei
CAT,-0.331,0.364,tsebvnravs,941,571
0.2705,lzzzcwhukx,692,ahvooaxjfr,983,Dog
caT,cAT,jzzjhyxfap,sbksvihbta,539,doG
-826,-826,doG,DOg,doG,-392
-55,blhmnztqrg,0.4875,655,hoarxgctoz,DOG
316,cAt,-0.0745,DOg,dog,qezgqrbicn
965,-0.3975,371,915,ondlnusbwx,dOg
-0.459,-0.4255,-47,0.2875,vvbycbltly,cat
243,bawymfmphw,dOg,-504,twqcqyngvr,Dog
ilsfelyvgy,dog,0.3935,vvqiwacokz,kggguhcbmq,doG
dog,bkutsijkif,788,cAT,894,DOG
550,sskhyeppbe,-0.1245,doG,cAt,dog
-742,admdskovwt,dOG,741,cAT,DoG
941,-0.147,DOg,CAt,nayuftduup,-892
0.2425,DoG,jdyqczcsza,0.021,jsrkbslbyb,DoG
dOG,jlxkybpplp,-0.3995,-187,985,cAT
ucccinvatg,855,vhntmpvdpe,oxzwdtsxpw,-0.4365,DOG
caT,0.042,-0.3675,-585,mwyoefguov,DoG
-0.2235,-0.4205,229,odyludbxmx,36,cat
bjvfggfxsf,644,pyilseypct,gltgrkaekz,-0.116,525
