awjdbdjxnv,yckcggblvg,qmpvvhvhto,Pet,mybbjmrvvy,ficyqduzfz,mltajdzoaj
CAT,47,CaT,dog,0.1135,ujgavdkrra,-398
0.0305,cyxaohqagp,0.4025,Cat,yglgbggypn,tchbgzjlur,-0.102
kbtyalsrvc,DOG,-444,Dog,-0.195,caT,-0.2385
cat,0.117,uzreizimyi,dOg,596,511,0.392
-661,870,88,caT,DOG,wmergtivsc,nhsxjeuuxa
0.4605,-860,-34,-0.1645,cAT,bmovlexqao,-0.12
vmnfgrzqfh,Dog,qzitxwrgij,oqwkjxkayp,tbymxtepjn,-889,hmkvexopat
Cat,0.0585,tfemalmbpp,CAt,CAT,-31,-0.0325
caT,0.162,DOg,cat,ppathdxjqk,CaT,CAT
ztxzdazteg,0.1875,-0.453,doG,-0.4585,-0.1495,sxgtidcmaa
-0.462,0.107,-0.216,dOG,318,-0.4095,nqtncvlagq
vekgxegwwo,CAt,934,709,zhggviuhvj,-0.48,dog
-793,dOg,975,-740,ycjiaaxzwv,cxdfbocnbe,noysxezydh
caT,222,0.221,cAT,337,louyoejiov,300
Dog,gmiwrtqpbc,302,caT,yxcnccilag,cAT,-0.0115
kmiteztjwg,0.4545,ncdelmsbwf,cAT,Dog,pvkjkpqzin,-488
pjtxguaxmt,hfqmlqbrbi,dOG,wpgmwbenzn,utospeesjb,-0.1755,-37
zyutrvckmf,cmkxjfccuw,gcnfhnifhz,-0.49,-173,CaT,dgpkcmtldf
xrxckyrkqc,-0.4175,872,dOG,0.102,doG,svgiwwvcww
rejgbkgxtd,836,muibmermfk,cat,52,0.216,bjruukubia
762,0.458,-0.44,CAt,-0.404,840,-164
0.495,-0.1535,770,DOg,DoG,-86,-603
xiuiuyuwff,-0.4955,-0.486,dOG,-715,-0.4085,-677
519,857,uicqqlwwsj,cAT,477,-914,-948
-0.2005,-568,-0.391,dOG,-148,-989,-936
cusrgqxetm,160,79,caT,aagqbwvnrw,-0.2775,897
0.4635,241,hquagvklwm,Dog,-232,ddkxrlviaf,434
iyvwqrrehb,-594,jfjlluplzr,dOg,clfguqcfwj,237,CAT
pvizjsynje,-0.31,-0.4565,Dog,645,Cat,0.0175
-732,DoG,-0.273,Dog,airmvxgqif,-664,0.4245
sxhixmnkng,rklfcqqxdt,-475,DOg,481,zghlbozzcl,-912
0.0555,240,DoG,-427,opbxzhmjkn,-303,196
DoG,-0.2335,0.082,caT,-132,644,Dog
-239,-678,-863,CAt,plshkdajcy,coelzpgjea,cseneyimyh
drusreucnb,0.201,cAT,DoG,DOG,jghpnivopo,665
caT,-728,vrzryxhjkd,-483,777,-0.217,330
-0.223,931,ohhtxxxhtm,gucorxjqty,nlyxlmepzf,cuitilipol,885
-0.3465,xbpnlwziyp,-0.097,doG,-0.1955,lkglppnglh,-0.16
0.2395,eriikrfhex,puyaekzmjk,cAt,0.4995,hroufbwgtp,wpbnovtdfi
ycxldhpxzm,0.3805,0.4325,DOG,CAt,0.334,uapjdlmwxk
419,297,-0.4025,epnjlcavri,Cat,CAt,obsxryewee
0.2395,7,-0.3435,DOg,ifpyomkqrq,-0.3455,0.0215
hlegdimywz,102,amwdygaudb,0.1815,cAt,-517,-771
fdxqfhhytl,gxvhbogzfx,414,cat,-772,987,-0.489
88,dksguwsent,-972,974,srpzhcezgl,-0.0435,sgdwkioliv
DoG,brtyiaccdg,388,-0.397,yoipqzzwte,528,-0.083
0.3015,pfgjxhpgbx,492,Dog,256,mxdbwvqkmh,kmwogzesys
-306,CAT,oclbbkjwyf,-824,bmrcycroyf,Dog,wsotmgjyaz
918,dog,dOG,249,CaT,cAT,tztajefsth
199,usozwwjlax,-0.0925,CAt,doG,0.3415,-0.022
xuwymnqefb,-151,iunmkvaupl,doG,pffbfeyezi,0.026,vdupziqfeg
ixvpnjpang,-0.4355,szdmoffqul,DoG,nqhactptqn,-0.3805,-0.413
-0.351,-0.3365,pixovnygil,cAT,871,704,-721
ediydoluur,-0.0235,-73,CaT,gibkaqklwo,Dog,0.105
rcpwbyaeyp,0.1165,-179,dOG,cAT,0.124,0.4845
tsoctncoju,-497,hpbhnlmcng,-611,thoducnsqq,yhwnixpjyo,158
193,740,ysnydggyur,cAt,laxhsgrddi,0.309,fbsllidhzf
0.274,vgzhoyrada,0.3035,doG,0.0195,374,xtkgnglxlf
DOg,667,cat,-997,fghkvqrdit,-0.4,CaT
