ummsnubitk,PEt,fysyqpyjzu,wvadvouypw
DOG,Dog,-0.4315,0.04
977,0.1975,kvovtjojxp,799
-712,Dog,-778,0.0415
182,Cat,caT,-0.3265
cAT,-516,Dog,-0.053
-951,dOg,dog,zbshctmnho
-776,DOG,-0.375,185
kihqxtepeb,-0.024,66,cAt
858,cAT,466,116
-723,cAt,-0.3565,0.0965
-542,caT,-355,860
0.032,caT,0.1985,dog
-569,949,484,421
caT,dOg,-0.2505,0.1905
-0.279,dOg,0.1375,-0.0525
562,doG,611,cbrjbalyom
dog,CAT,ihyromufob,mujdbddgmw
qvyqvsnfer,CaT,cAT,dog
kymmjjfntd,130,644,vrahwfeudn
-0.326,doG,-667,0.234
pkhptvcnbf,cAT,sfjimiohir,88
DOg,80,ilaksagnsw,-0.2155
0.08,dOG,CAT,-659
887,gvteozvalg,381,-388
0.1495,CAT,0.1175,85
caT,-0.2435,0.396,knidfmchuj
dOG,CAt,-0.3785,-745
mssfvwgkjw,609,0.267,couuspltzx
0.15,CAt,-314,923
201,CAT,0.228,dxkzdiqyii
mzuzdpzfsm,DOG,0.0885,zregymdkot
mgszfveorz,dog,542,rpdvtihcsl
688,cat,cat,0.122
CaT,cAT,0.2,0.024
-156,Cat,-0.333,0.371
xiyavhuqzh,Cat,-579,-0.097
-979,Dog,432,-0.2825
-0.4425,cat,-0.2405,-25
DOg,doG,201,0.3295
CaT,0.0625,-0.498,908
163,cAT,0.3405,0.473
cat,cAT,Dog,Dog
jvhlhbmgnn,0.1195,-0.239,dOG
prrvutdkrs,dOg,-474,dOg
caT,Cat,0.3575,vsxudiqiwp
646,cAt,reyervmypv,-909
0.411,cat,ooyupjyhlk,DOG
0.0745,-0.1005,-0.3745,0.2915
-0.168,cAT,0.151,aqtrzqgwgo
-0.4755,oolakmggrz,caT,876
CAt,CaT,dOG,0.3285
CaT,0.0065,dog,sijbcjpbve
829,DOg,aopukhxfal,0.1515
mpcjopklqf,caT,oikxhsaoqc,Cat
784,jhyhnhldud,-95,-269
ysprdhuuul,-886,CAT,DOg
870,ikhwuszbpp,411,-578
0.1185,cAT,-618,caT
hopyqqkslc,cAT,-188,0.107
-186,-602,209,-511
-119,DOg,0.2945,549
cAT,cat,Cat,42
dog,Cat,-0.4815,142
urikhxcifq,cat,Cat,-0.3185
CAt,doG,ltrzfplvif,0.1565
doG,dOG,dog,-0.4665
Cat,-297,-0.2745,CaT
CAt,CAt,0.371,301
ixcqqqhevy,caT,423,77
cAt,dOG,ylitkpgviz,Cat
dOG,CaT,mmpvaojlzl,cAT
rhbtpgrrvz,CAT,ezxbbgteag,cqsxtxjlcb
asfchuguvg,-0.3865,bhxcyjtchv,bxgibhqfsx
upawlnzkiq,-0.446,hjwcssovda,-521
-0.07,DOG,-0.4585,Cat
hgobqmknqx,dog,-171,788
DOg,dOG,-648,0.1275
reppetfahh,CAt,cedlsuwwja,uyxrafzoci
-971,doG,34,-338
-776,DoG,cAt,0.041
0.1785,dOG,cejgqvuqkh,0.0795
0.261,Dog,0.1345,dog
0.4175,-483,laghnijrtq,-58
eorecgncjq,doG,itrcdralqr,DoG
0.1835,DOg,0.4175,jtffhvbqze
appetagenl,DOg,kfjdrcsbkk,ymcnifoevm
-0.1395,dOg,522,omyoihhchu
740,DOg,CaT,0.023
448,DOG,-396,zyqqzfzyol
-472,cAT,mpkimsxvym,-0.365
-0.182,DoG,dOG,-149
893,dOg,-399,cgabfuyonb
-855,cAT,uckjdcytha,85
buxunxyfdp,rsrizafgwr,-985,DOg
0.4305,doG,CAt,0.163
0.335,Cat,-0.304,qjlrswfviu
874,caT,-0.1625,0.3355
typffdkbpt,doG,dOG,-664
-16,DOG,wpbzgvecpb,doG
