ratvjbckzi,bdhjhkiauy,wrgegesrkn,qzutvusidu,xzpcdgyqno,kbllqxuiee
DOg,-35,-524,cAT,-0.1235,nekarubztn
tifbdippyz,732,-0.343,ktvcjvyxyu,0.085,DoG
0.3425,-0.4615,pjotuydtld,0.3255,-0.2435,xbpmsbkyad
-904,jqehbuquxt,cAT,-366,dog,gilyzeutvr
nhgicgvpxo,-965,bfawokrrtn,-315,-0.459,685
doG,-0.2895,-0.026,876,-304,dOg
-0.4925,0.349,CAT,0.4345,-0.398,lwwdgfcpgp
-245,0.3,nuivtbwzti,0.1655,-402,CaT
0.475,htmxeecqiw,102,zkxcqgqqop,0.108,dbqmmacndf
0.1055,-515,doG,-0.455,0.369,-151
-662,dOg,crrumjulfa,624,wevefeadbq,-0.187
-835,0.2135,-0.041,464,dijvzyytbi,nkjzgeirlo
Dog,bfdcshsrfn,0.4055,DOg,llqsybulqy,weyoztkqab
vtueaxabur,-402,cat,-0.457,-0.4355,-871
mwqqkrhqiy,jrqumzpsse,fvmbbbeexu,0.279,gjhytdemoq,729
-639,-0.252,oczvlactwo,DoG,-985,Cat
rwcxaqbpij,-0.2295,aspuxeywds,znyddbeepl,mlqghjnsfe,901
iyfhrurpxf,DOG,Dog,DOG,0.2185,-240
CAt,0.378,hddvohfpkm,dOG,-0.0525,-604
kscqkybcwk,-251,cAT,799,-0.0305,eunsecpehw
-132,-0.134,-0.151,pwiferjhek,-725,zksfoskvru
nlojqtqlxd,-639,0.329,-0.105,896,bmvdhmovpk
-203,782,925,-828,bjznfzgxkp,DoG
-0.4005,cat,-0.382,-272,-994,zrleqkrdkl
Dog,-0.067,237,zusofeppmf,zbdwzzahay,-0.158
-883,uknunlbhqt,popjuydslx,kakeilapmc,-0.2205,-994
0.205,0.3795,-0.0805,zqgdqceynw,pyqlzkqogq,-139
dOG,lqykfxnauu,578,hmcnbcrfac,doG,oslesynwwu
CaT,qbkxfkarct,dOG,tdsluroqvc,ajbnwokdut,DOg
ewcwegqoew,738,-505,0.4495,ocpbjbugmq,DOg
dOg,cAT,Cat,0.27,0.0325,611
-0.4625,gqdbewmonx,Cat,-0.005,93,-448
sdlkykmfpf,qlovgncgnu,-990,-410,-692,0.3945
-155,28,qmysndelvm,rufcnnfupx,qinxtfbxxe,641
-136,-269,20,-343,-0.1475,-924
-204,309,zqslpcpaiy,doG,jbolbsvdgg,0.085
0.1685,-580,-398,cAT,jozjufteka,hoxzyjdwmn
-253,0.133,405,0.1905,CAt,0.01
301,947,doydxgictr,0.118,-0.03,vdoezshxqw
fyiolqlcwb,-0.498,sehkxezvpy,-0.4,sujsmpravs,-471
jnbhwohiut,688,wyiaijdobd,-491,encjmogfnu,-0.416
acxqlnxnmp,eglthsebww,fqoymwtgmi,195,182,-587
nudofmcjzo,-0.3475,0.209,544,-721,0.181
dOG,-635,-648,ywbflebfbt,hmpwxlnrwo,cat
rywdikegvn,vyilgubpvr,-367,doG,199,24
0.13,0.26,880,824,xzjbczvahv,-724
-0.088,kckgblzhwp,ywcazdoyrp,DOg,983,74
emnlpyatpy,-0.467,cAT,boubtovlkr,koojkoxemb,-542
0.0,inuturagxl,ijbpynlqdn,0.182,cAt,secbfdkmlt
0.1015,dOG,-34,DOG,zvolrccqel,cAT
riccpbcunv,dyejfhivaj,dog,-0.0405,643,dOG
cnazbobkgo,cat,-314,CAT,0.0645,-337
834,orkaepmzyq,0.364,DoG,DOg,0.1
dysokwoqth,fgosmadfln,cat,-27,yowysvwtzy,409
gvekymhfcj,kqgawvcgoj,0.205,DoG,0.123,0.0255
sgwwjgchau,czrwplevxr,-0.3255,favtibnmgw,Dog,-0.2635
945,-0.2475,0.497,dujkommwvq,0.1425,cAT
vvgrrjrues,-0.043,ibjqrjyidq,tzdaqhbjzn,-0.028,hrthgxwpzi
gyypjiuylz,cAt,-0.1175,480,0.194,ygxtcuhokf
162,-220,0.0535,jtmtnxpabm,0.055,-0.4575
-0.057,0.0315,mrzaypfkza,jjcxxikmdd,650,mjognguvfg
0.1555,agtsdbdded,DOg,rlgdsxyqzo,CAT,-0.23
Cat,201,sjhvigqlgl,-0.301,qtxmgtjovf,ynsvwgcaew
DOG,-688,-475,caT,0.076,gwdonoxaee
Dog,0.2755,CAt,-601,0.149,-0.293
471,-0.222,-0.411,-642,glanmrxqhl,0.0155
xbhcgfkwvy,-282,-303,0.148,-0.1285,-0.4235
-0.0395,valcpkfynq,532,CAt,-410,-0.375
591,932,-514,cwwafdkqaw,bfxzzokisn,-451
Cat,CAt,625,Cat,atgnvzjpub,dOG
-921,-0.051,-0.043,-0.1445,azrxhotmmu,caT
118,821,4,-196,-365,cat
nllsdytdpp,642,561,lyzposrkqg,-0.3355,-577
-69,rywdfktyev,caT,671,dOg,-0.128
-211,0.127,0.263,-900,408,zdbmtauawb
-0.133,-460,hxncquicfv,0.013,382,moovvndtvj
Dog,-0.0925,615,-166,0.2015,xjvfeowjpw
qqfyycvxsw,CAT,cat,-0.0055,zsaxegrely,-479
