PET,blthkliuaj,cosorohtet,zmkipbfteh,ieyhsjgwzk,msiykzjxtm
doG,-484,0.239,-77,0.3375,-202
caT,caT,-35,doG,swxofqcuzv,brbiymjljb
842,0.3155,-0.4045,221,216,cAT
CAt,-0.0595,-0.2575,750,-0.009,634
348,yrwkdjwlol,thlsvdcjfo,0.1365,-577,534
dog,dOg,cqlgntqtxx,2,xkdkymrkox,239
doG,accgqicltp,-595,-0.4115,-665,Dog
dOG,rkjmglujrb,-0.003,Cat,ztdhrzfamc,cAT
fltzgpckld,0.4255,gyvwnkptcb,-0.3385,mvzxtzaenp,305
CAT,Dog,711,DOg,urlrkceqch,Cat
0.0775,gdvogsshab,DoG,cadizpkzov,Dog,caT
DOg,697,dOg,-0.2125,-0.3645,vyfvgvovih
caT,Cat,wxvxnkqtes,-174,160,xhsknvilut
cat,abujqeiore,-983,-725,CAt,-669
122,cat,maqklhnelk,638,cAT,xokndpsrdq
DOg,-0.43,-107,jeohzxgruj,lsnnmpwucw,-829
CaT,dOg,-339,-816,doG,Cat
doG,-285,-846,kewweeeoqd,dindfcwqji,0.4125
