qctkzlifqt,mciqjlmktu,jcbeymzjwo,beizmpetig,bbltllubiz,ommwmhyhlx,iwvutyrcau
-0.198,dOg,Cat,934,0.1955,668,pkivcrjoyx
-0.2775,CAt,-0.363,-0.175,dOg,uotnloegmx,0.3545
-0.2975,tuefpbxzvf,CAT,-877,0.493,768,-0.367
138,dygsrsurqu,-0.1295,qljikhotat,970,311,dog
-0.418,tqpqttohmf,ffqjhppttl,aawlwafwcc,0.078,iivhzzzblu,-0.047
eksimcedbu,CaT,eoamrnluzm,793,165,Cat,597
-261,-623,877,867,-0.181,343,Cat
ffjanoombe,qljrteadbv,-0.374,0.107,-723,cat,0.0415
kcbzauzitr,-0.377,eibbnoglmo,nddtpifyta,0.0855,713,0.333
598,-858,0.2495,dymxeuqlau,-0.4745,wpceusyrsz,CAT
-0.4415,-0.238,ubgodrnaai,-707,xkvdnrndky,-200,turirptmnq
0.2315,968,xytgicfjyf,nmjbavrybd,oevkvkprpi,-0.1215,txcpzpmcda
969,-24,-466,qtuzohmbkq,0.266,ixexgnbazo,-395
DOg,rnuhmdbuwo,0.0425,-0.435,28,-907,-478
cat,CAT,pjsirmelau,0.4535,cmpvecyrmk,DOG,-0.247
0.0725,wlnkjhkeuv,-0.0645,tugurvrnni,yskeavzyhv,-0.252,eshwoqofcs
0.1395,dOG,zpnefnvvqf,caT,-345,0.1845,-496
0.412,-504,0.1155,wbrqrqetdw,pmcedmgqai,11,cddsyedwvo
-599,-0.118,-944,DOG,-755,-0.3505,-0.4605
-0.0915,dleguveoyf,CaT,-0.058,305,nqhaxwrhia,-959
rsjvqyjljh,-0.436,cat,uosokynjtx,-565,-980,ncgeicvckr
CAT,gembcxshdj,463,irijccdpux,dOG,doG,0.0025
-964,0.2325,dog,570,cAT,rlrgqszuzr,-0.3615
dOG,-940,bzllhjslar,eqkqfnxfnj,yterqguhqg,904,0.169
187,xeuzzpskkg,-630,obuakknteh,-0.213,cAt,litmucdrvb
-0.3775,0.271,-0.4725,-842,0.4105,0.061,zoghibqetn
pwuodoscxq,-0.4175,0.362,Dog,doG,tousrtwwbr,-0.379
cat,bsotmffrhh,gqthpqetbt,xtcuqgrfgd,ievzguutur,dOG,0.1795
juzlynxhbx,-0.17,0.1465,-0.284,0.249,-544,-0.0815
828,-760,dOG,htbvtyheyj,orsxlfkewy,-0.251,-513
-539,0.4835,-0.2265,-598,0.0565,doG,sshamcqyiw
wfufqboipt,0.267,DOg,dymjsrnkzp,airbmvpalx,aevxuhcblb,bwmkcsuxzo
614,utcxfzivpq,0.1625,547,-738,0.102,CaT
dOg,624,160,0.4995,dcutquocav,Dog,tprbzjeypt
-0.1465,0.167,-328,-668,0.1925,-0.236,Dog
nmaammcvuj,bzxzwzsvio,0.029,xndenuwrnq,0.1005,636,yrlydtnjkn
39,593,57,-222,Dog,ctwaqlktbk,-0.102
-0.343,794,Dog,hnxalrsqem,0.0565,890,CAt
-0.3885,Dog,dOG,-393,-574,qamkgemruy,-0.3215
Dog,rzgqqqolyp,jtmwsgvwzz,-780,0.1745,bnmvheboxy,-0.125
cAt,tsgwlopkgy,-244,770,Cat,DOG,0.387
0.137,0.458,0.1085,-0.0105,ertqdtmgni,DOg,qaenkzopmu
zgqqooxjlu,695,jopgjdthjb,-0.1165,260,sydwybymuf,dOG
995,300,CaT,-272,CAT,cAt,114
-0.2655,-317,caT,0.271,-0.2925,0.1015,946
269,-353,0.46,0.236,rlvtemlxsl,coeyivuvrq,0.304
-0.3895,-587,817,-25,0.195,onvzhnfusq,-0.095
buqvjsgssb,dog,0.2145,-0.3565,-101,517,-209
Cat,0.2115,767,uhnvcqfymb,-0.451,610,-0.296
755,CAt,-0.2265,xpqadxmgre,30,CaT,Dog
112,DOG,0.3245,-624,qpcjmskkpi,-534,kyqxqknugz
908,CAt,0.25,719,136,0.014,-0.315
CAt,-0.2385,caT,-982,-956,-165,vvbnxpjfoi
heagfszdmg,-0.0465,-238,dOg,-753,-0.035,-0.0995
241,ahgkyxqcow,irwadwncrh,-970,Dog,0.2975,-28
-446,jamfbwcvwi,-732,-106,rhuszesxtl,jbqrlsqjoh,845
qtegjcffio,-0.2325,wwintormxe,145,0.269,dywpjbzblz,-608
caT,rsjunmahlr,-711,-0.461,CAT,-0.283,-0.161
cbxcsahiuf,lopiwnrtzk,0.2485,0.0365,urhvupbxnd,-0.044,abmuofveys
dOG,-514,ddzrhplxjm,uhlkvpzdlx,23,217,vbfamigukh
0.322,ibuqracqor,0.1035,egocvfdkfe,-0.3515,465,0.168
-0.376,193,Cat,-299,0.492,kklyrkyfwo,fwhyvythpu
-180,eubibalian,DOG,-0.0305,adoqevphby,-389,aqaulmhehy
869,pqjufyrttc,128,caT,585,whtplinisi,-718
dglbqjwdap,srckkdzjjt,-0.4415,0.143,ikkohbqzwg,-0.437,cat
-399,-0.433,jnjsntmyph,0.4665,cAT,891,115
DoG,-0.3745,-468,DOG,-0.2625,bktdgyvzxa,cxhfpfovqe
hemonmhdcn,0.453,bwjsqzfwam,0.204,dylabutwua,-130,-626
625,-547,DoG,eesyjjyzms,-0.397,-0.2005,0.416
fmhmzxhney,0.0225,-1000,btuefyxgcc,cAT,-286,lnuvgtzmoq
-463,0.339,CAt,kuowykdqpn,-0.394,823,lnpphilcob
0.3905,-745,970,-563,944,0.054,Cat
0.008,0.4015,876,324,-724,762,-0.1805
raapqaajcy,-654,68,vdoqfrhvcs,-0.0835,224,Dog
cat,25,nqwxbabodb,CAt,0.127,-264,cAt
CaT,-0.013,dog,CAT,dOg,vkkdfnpusi,0.0395
-0.0475,965,doG,-590,0.323,CaT,ogwiswyfmj
0.2205,-0.1575,-969,-0.129,-0.3155,fityftbdgq,qsqbabgxtn
dmwfdllybr,-477,326,911,cAT,0.441,Cat
-0.493,cat,0.363,dfxnswtfht,-112,imxrnpyaiv,0.218
0.4385,368,-0.4705,DOg,0.3335,-0.0965,-0.0265
dOg,kbepamqnjn,dog,0.447,353,-853,0.1235
-355,-742,bxksgmklwr,557,Cat,-434,-137
-0.159,264,CAT,smimsdogoz,-0.314,-898,uwhadmvzid
-0.125,0.0685,DOG,eutsotswzw,-888,dog,-0.398
rmdncredhd,-463,scbrmkggcg,0.3645,0.4015,xrmpuqiblo,0.2415
