flhwvwpgds,pet,zvnxfnyahh,odpkmczeug
0.4135,0.2605,xmdmeighju,-0.468
983,CaT,-0.2435,0.4215
79,DoG,sroczjznoj,0.2555
cAT,-135,Dog,-507
366,562,-550,0.2125
dOg,CAT,cozlaajiss,0.095
vdtcflgyyi,cAT,ykprdsmasp,0.2485
uvemmwpgvf,cat,-568,CAt
vekwjgxmnc,CAT,piihiebylq,997
-0.0735,DoG,-0.3355,caetargdhb
0.1745,caT,qoqsfnlaol,synfcokpfs
-0.017,jhjyzgijgg,rpkynztabf,sqnbkxtvji
inrvluwtrn,DOg,hwsxtdtsdy,iqpxujdiag
902,782,DOg,-627
cAt,Dog,sbwanppmci,Dog
Dog,dOg,ducmmpmjsu,vnmabsfghp
-0.4835,-0.0715,yfoidvfchz,-0.0085
593,xmzlwjxovj,0.291,gpuvcnuegt
ijayujkbmk,Cat,-0.25,doG
0.108,-627,747,cAt
180,cAT,Cat,0.487
dOg,cAT,dOg,0.1445
bsszgclops,dOg,298,-135
-0.082,CAt,cAt,-623
Cat,CaT,279,tjlhvxvyjp
-43,CaT,iktppvohnk,tghpbsceos
0.165,-0.4595,Dog,0.045
0.0065,CaT,-0.429,691
533,0.444,-38,-0.007
0.144,CAT,-239,caT
487,caT,lnbjambdqb,-118
dog,jhwiliqrmo,-754,-360
CaT,DOG,oaxgrddzzg,hkwszaqfyi
-0.3835,636,83,iolblhwwdo
CAt,CAT,550,-0.462
