dvpoolfvcl,xytshrfapm,iefvmjngbz,PET,jfktvvzsgh,axzxstovxt
rauzewyljn,801,0.075,932,dmcnkonmck,-846
53,-694,-0.486,-0.4375,814,xalmpvueqo
229,jrdtlvicmb,CaT,cat,-985,-0.258
CAt,CaT,-0.188,cAt,epgutrbddu,0.0345
-0.429,262,dOG,DoG,qlqsnpkndn,471
-489,DOg,bitpmyjhgt,caT,vpjnbqbgbv,-0.4265
cAT,ldmegmggdj,sadzlbjmnh,-0.1255,0.2165,0.2105
77,cat,rmvfzcqsgn,cAT,flsfqazsxo,-0.482
937,685,DoG,caT,dog,-971
woawyyiyhw,dOg,yqfzppmkzm,DOg,dfisznjnas,noalrzfxid
-644,hdzjkbgpzn,tykdbapdpx,CaT,670,-0.1695
xrcnqayujb,scrovoprou,0.2535,cAT,-215,Dog
CAT,CAT,0.1375,CaT,-313,0.254
CAt,0.4345,pixkawzptc,cAt,yunurkwjjt,CAt
230,Cat,roeuiujgqx,dog,-0.181,463
571,-385,-0.2675,Dog,dhjxkzdili,-384
CAt,-0.282,-0.1655,689,jgcwlvfclh,-7
-0.0915,-0.1,339,cAt,-719,-0.3375
509,207,phoybdyioo,CaT,0.166,jbwouzsubv
804,486,166,dOg,-0.4805,-596
