eqyvtiecbk,jpzdapuhib,daigqeuhbm,gxttkolbbz,seyadosgrk,ezqnwdxgqo,kckfsapzzy
0.3245,osvpbkvzlw,pdodyhiods,0.143,-847,doG,CAt
dOg,0.3105,-0.0355,jefhslcufm,cat,0.4465,0.223
-897,-704,822,-295,nshdgphkxr,dOg,254
ktrsbxmmru,dog,ulhvvfqewk,dOG,Dog,-0.002,cat
-0.369,712,DOG,-0.2845,grooxrpuvd,pccctucthe,312
pbhpdoikoc,907,-765,gvpelflpdl,881,DOG,kkicvhqopk
0.108,-4,-90,-195,-0.2625,ukahdfpvzr,0.2325
Cat,dOG,CaT,-0.136,cAt,-468,779
-569,-255,pmvjbjcodi,-0.3305,caT,bueljtpecr,238
DoG,831,baxpdvmvbj,0.194,mzgembeafh,-529,-281
0.3775,-0.3505,0.475,hwnwmxranm,dfyklhwypc,cAT,905
-660,achdwbgwog,lwdmjmvyhb,-318,xdnlxgkgqm,-868,hlkifzneeo
874,0.437,-397,0.355,-0.2115,0.222,dOG
vlscrjpfel,euwupsntzy,-718,0.397,gcsgptuycn,-534,Cat
-939,dog,CaT,zduthwsypv,-0.08,puwoffafpf,doG
dog,0.041,xbglsxgsre,jaapcoknwh,lqqqochhxf,-688,-425
-893,olszvzktbn,0.254,-0.4055,-0.4375,dog,-0.1425
283,-0.106,0.392,-964,pekvbdufrz,mjxrwbncgz,-0.481
-0.3825,jidxrwguvn,-659,-0.4765,412,CaT,-916
kfoafqliga,198,-0.2,-311,0.3435,Cat,649
-0.21,DoG,gbhybhqmfq,0.174,grocxfgnfz,-0.2415,dOG
muofjgbrmo,dOG,0.268,Dog,-0.0125,-611,216
gytcavlgxh,-959,hbkzmektlg,dog,-911,DoG,776
0.1365,cAt,CAT,-117,CaT,mttejyhowd,185
CAt,yondovrqod,0.0815,qdqxoegbqe,0.4925,-0.4275,0.39
0.2075,-730,ghmeusvxnp,0.4175,-0.092,nqugtkatrb,Cat
evsuujsxws,-0.074,Cat,-0.055,-701,DOG,ycnaftfovb
-253,-0.417,357,0.4575,801,-0.064,CAt
-0.154,0.3085,0.071,0.4575,zmxiuxottj,682,782
sqmnvjtnvn,eingqhlrug,doG,CaT,-0.2835,cxblsszmec,mbbjilbjha
0.1605,846,nsvcryqipd,681,-0.1335,cat,0.203
490,0.006,0.4645,dog,nkrrqcsutx,-123,dOG
-29,0.459,xiwpytscne,dOg,DOg,-524,0.0905
576,Dog,dOG,0.3045,502,-0.1955,aotaqemifp
knufsrqqpb,0.464,-0.16,-0.1295,926,musikfjpqr,0.2305
0.014,0.18,0.3415,-81,zaowzhpepu,-591,dOG
cat,CAT,dOg,bnioycicdd,-656,38,vzgnffeoox
ffjglwkohk,juggukvfxq,-38,0.106,561,-802,393
zrefyikqse,-514,-0.3325,Cat,-580,-831,algcrrmqrn
halztafwyo,qpedzxglxd,459,dOG,0.1165,dOg,-0.1545
Cat,0.0175,-255,0.1,fxklqyzkfz,537,1
ozicouhdtf,0.394,0.187,0.2605,-0.317,714,-737
0.314,0.3635,dOG,dOG,-0.2315,-0.2815,105
