foybnsmbvz,exkwxiekxn,kpsshslche
-25,773,-461
-0.09,lwvokvfihz,431
-0.4235,uklfolrovq,0.2105
mzjynjvgwe,202,-0.467
ndnfxrtzub,-146,dOg
-307,gootjonsfp,CAt
dOg,cAT,-280
cyltpxbylz,-268,845
-973,-489,gzguqtjnkq
-0.2455,caT,cAT
-83,vonyelejgh,-0.1445
-974,0.0875,Cat
yconnrfmdl,357,724
moosfuoscb,CAT,-678
-0.0845,emyzuojobk,DOg
473,-0.336,ebecnstfwn
-0.016,Cat,dOg
-967,-0.3665,rbfvqyxgbk
zcbwaqbsvp,dhqhyppcxz,0.198
-0.1305,831,DOg
Cat,-712,-0.0965
-810,0.345,0.2955
qaqhszeicc,111,Cat
761,Dog,-0.4595
srrdumjnpn,yvdlkwimnp,782
cfymnlydbc,326,0.238
0.209,0.206,420
-321,tthqmhuiiu,234
pnqrqdvklo,149,0.0775
slhkaapcgp,-0.0565,-635
ngmvahqssb,-812,-199
wybratpwoe,0.3045,glgtbqfbaj
-0.1565,qudbkudnzw,114
18,-133,bpfvjyigkh
gdtjewtneh,-0.088,cAt
dleuyplmcr,doG,0.303
-0.308,dog,turqwetfvq
716,cAt,muerjsjedc
282,520,-0.2035
tbdholfgzo,DoG,DOG
-925,isynccywxt,-0.364
zpgzbpfmyk,0.421,-199
-14,-979,-259
-111,fyydsgadej,0.4725
xrmyemfksh,gklavoftsr,apppmqeang
0.451,omcvfvmklu,pbzcmmofxk
dOG,-0.123,278
DOg,-0.489,doG
611,635,mvpifcerrc
egxlbjmujz,-0.442,pazxprdlhu
545,-0.115,DOG
-0.03,nlvnmanziz,445
-249,0.1995,-966
dlosfjvxgj,Dog,DOg
CAT,-407,doG
0.2775,0.3565,529
-0.283,-0.2715,njdqwvztcx
-0.448,-11,ycwktvpgho
twhqmjplci,120,-920
0.156,-0.367,DOG
489,-0.1305,-0.1805
wwolkbfqba,-0.048,CAT
-664,-37,-606
ijgqzljquz,xvfigtryxd,eznzvmxxen
-420,fholzhftgy,ocenfpjonz
CAT,0.018,0.098
