rzvzqpryit,mbhevnqpue,qhnjqlhvpq,uigvezilol
pzsfujwtto,DoG,912,43
-809,942,-0.357,zscyatfzon
258,0.2735,cAt,kwfhhbozyf
-0.0645,xywuebqpkz,qfebqlgvtz,dOg
CaT,Cat,uzgzpeweai,-521
-887,-415,cat,-726
acwsgtfbtq,-420,-413,dirlupydrf
0.186,-0.2875,mdyswfasha,0.3135
DOG,DoG,ynmghhgjlz,dOG
lzarnhcpuq,-0.2635,tpxpcsnqdx,CAT
oegrwhcqmv,nghnseuzfc,dOG,479
942,0.475,DOG,DOG
-0.043,-980,DOG,-0.13
0.342,-662,-0.2175,0.363
yuxphbdcrl,149,vizslpzeeg,-549
538,-0.102,0.472,-849
0.2675,qqdvsggddt,459,-456
117,ztjqhhemwg,0.484,-0.3645
bydalxomov,-764,wniyhzltbg,-0.4975
CAT,cAt,-702,wwjdxsiwub
dog,973,Cat,DoG
-0.2715,ojzclwhssu,uzyxzyvyob,bfxosipbjj
dOg,51,-143,592
ygvoilwqkk,tykqytfsry,0.0915,-384
xxmqegmzsi,-0.3725,-0.2635,-105
dOg,CaT,571,DoG
0.0115,cAt,0.4955,-174
CaT,-0.257,0.3725,-0.1695
-317,vcavfqhiyr,-618,-445
-0.0415,931,-331,-0.0875
0.273,823,364,Dog
-993,lcewueqwku,dOG,-0.3625
dacqnotmew,847,jjttflvter,Dog
vogeqgprkt,qdkpvmurai,iwjejytdku,cAt
drxaqtfwhn,0.1385,-107,dngxnwpreo
zsvzaxfpge,-0.4235,-0.405,-829
qoenvlxnhx,trurpshcrz,-910,pytlescwpm
CAT,gspeptjjwb,cat,496
662,515,cAT,-0.383
-873,rnfarliowx,490,przodtjlhr
pnexjeizac,heouetkrel,doG,633
-0.445,txoksauolq,dOg,528
wwikeoqqtt,jewgimrdiz,0.0435,0.448
qvowcattlb,dOg,0.133,-871
864,deiitsizzj,0.0805,-0.3395
uukzctvxrn,Dog,0.1845,cAT
tkbxueprbr,dog,-0.4225,xxnfsruaif
ilsnvehdzg,449,-0.079,zsjzxixgmq
ekhopcndxd,488,cat,-770
-372,DOg,-545,krqujscmyg
-0.215,kplilbbnih,0.483,doG
47,0.071,0.0095,ftokuuqfin
0.2075,doG,-394,xjyvyoelas
-0.015,915,395,eiplycitrq
239,0.1965,-0.353,szurbdfffh
667,-239,0.1745,397
DOG,-314,afzarblktf,CAT
0.2905,0.347,0.167,0.093
DOg,cAt,0.026,dOg
quojuwelmt,-0.049,-639,405
DOg,-0.2365,0.2895,-0.43
-939,908,msfmsjuotf,pbfnlehkja
0.262,-269,-981,160
237,dog,CAt,0.1635
DOg,0.0085,cjhtjkrdxs,361
rszipzbepw,0.3725,vvvlsrkvmj,-296
uurzlmsvnz,dfhcvhauri,kdedtfbvfd,978
DOg,-0.1835,819,caT
-898,0.1295,rgsbltckuk,waucudfwnj
CAT,lqjhvsfyzd,0.0965,-523
xgzpdhgahe,0.0785,cat,nzuejyahzf
-0.4,-0.311,aozftokhpb,-906
0.1025,0.189,-249,928
CAT,cAT,mkkfxkfcee,-0.117
oekzoilata,sqszhnnwqn,qidqlbwsdg,0.4795
0.1055,-0.2875,-0.331,bhlgcosgux
0.033,142,doG,zbsicvdbdb
364,vjhroifpqs,-329,lvmxtnoaxi
470,-0.1055,ixgsympxkf,-625
731,0.2845,758,-461
-288,-806,-300,CAt
0.3005,-0.2905,dog,-0.371
xhwycnzgqk,vxgtnlhnov,jyicukdhrv,ftedhvlhos
0.368,sioargojzp,138,782
-603,-440,ciybggxkum,797
Dog,0.492,DoG,CaT
212,473,-0.078,tbfuwvtmlx
gdezogfaop,20,0.312,lbdrzfgzic
-85,dog,-0.279,0.3245
0.179,0.0765,bnlmsniccc,CAT
-424,113,887,-701
602,-0.2145,ljbcvnalxc,cat
cat,zavgeporgk,-565,-224
