txidqlhtmp,vawcxbljkb,rzfwfgiajm
399,DoG,cat
hcqrmjkund,caT,pebcalycny
69,-0.057,833
axbicpbpiv,0.1595,cygbwrglzh
hlkpettpqy,0.055,-0.308
fcieockele,-212,efbembpzfx
0.4815,-0.309,-0.383
-0.4245,0.498,0.3195
-98,-215,564
-0.319,0.3005,nfumclebqj
-0.451,Dog,0.333
ttfcswdoer,mmjvfxqtcm,-263
0.195,llplfsuqdb,-0.123
ehuuakkufm,bifluiilnn,kxasugufxj
-540,cAT,-0.1825
mxoitolmrc,-0.481,glhkilngpa
0.404,exqffwtydn,-0.493
cAt,juwkcocwqa,owhzipjwzw
0.133,zmjcudjjch,455
nsqdftltig,-0.4355,doG
0.218,0.4265,dOg
cat,123,741
wtcdeptcgu,DOg,-339
mfeeaornya,136,0.4395
-401,Cat,klpmkiaxsd
0.463,pkctbokpvx,odojxpxkwq
DoG,-0.325,-0.44
-0.042,eccknbgpsv,-212
0.12,-0.3405,kkzvayqpld
368,-0.3385,-510
-430,886,dog
CAt,CaT,0.2135
-0.2035,Dog,cAt
-0.393,DoG,0.3895
CAT,981,obxrnfiqeb
jsgmhxgame,zahukwplqs,DoG
CAt,vplfitaabs,-313
CAt,Dog,uspyxwdiin
-0.018,779,-0.431
603,hkqphgklyb,ppvyiagtcd
-0.36,lysjqmhuix,-0.4635
0.2975,-566,-987
CaT,aeuncvvyil,-426
zqnzpeijvl,wpdxlvhqfk,atmpdnpzyl
levarmpydi,qjfwsmvkuo,504
0.386,-169,vejdqluijr
cAt,-0.1275,0.375
0.2,DOG,Cat
wrebobgbjy,CaT,jowjifqxty
460,-397,fswzimtgbr
deqdhxbflc,701,dOg
quiqmxlieo,0.4345,tdurfjznui
534,wovyzingjb,dvsfbewtwb
bmkncngxek,bzhwoddnts,iihkejusfl
wdzcfgfejq,897,DOG
dOg,mcjnsgkith,cat
anpsrfkbla,fxmbcyoyxn,-0.154
doG,0.139,yplvjhlvqq
-434,bebvhlaolm,808
caT,-0.418,697
928,-0.423,-403
jbtjwfenlt,CaT,DOG
DOg,hgvgiqniep,-383
0.479,0.194,-0.223
-115,0.2505,-0.054
508,650,qhmcltadns
-221,cAt,bfobonhldk
-48,epihefmavc,37
DOG,277,0.3845
dOG,695,732
580,-0.0945,-0.3835
amtjnkmxnh,385,-539
gfzvjgyhly,-0.3785,DOg
czgbtefiys,pntznwcmox,vhnwbbynec
-131,CAT,smyuezhvdg
okrudhjzbc,Dog,sqalmhqkrw
0.3675,0.4815,tickbwasja
