pet,lavpkfxcop,hybjhayvoe,kkabojsjzo
caT,dOG,-752,0.265
dOg,0.1885,-432,0.02
DOG,dog,-0.0275,32
CAT,bzslfxinnp,-0.1345,znutgioyjs
caT,265,0.108,-502
DOG,494,rnlwthevvy,mkbfljodqa
doG,ecxolndqky,-756,-717
Dog,0.4145,znzzpeqpip,cat
CaT,lxamlnnkau,0.103,323
CAt,xugzggtlfs,-0.3015,0.0055
rqkxjlrwlq,xyrxzuqasj,-211,ibslajdzox
DOg,xansmqjuqo,0.3185,-0.2135
cAt,619,823,0.232
CAT,97,-0.0345,iegkvvdfjo
CaT,zmsqzxvdhd,0.0495,-0.3315
-0.47,-0.2775,0.0385,-789
Cat,hdnpczgqyt,-0.4505,0.2475
doG,-904,vezdjwwlno,-0.062
CAt,dOg,-0.4945,caT
CAT,318,942,322
pvjfnkmqgj,yaktqbfvov,DoG,gdrgbpvmgj
dog,gvexiijgrf,-500,-583
607,-849,ofquakgjmm,0.036
cat,vvkzqjezzt,ovdznozbog,-0.0525
DOG,347,-0.453,-0.071
cAT,-991,640,0.012
DOg,qcjbciakvn,ictoqygepx,couubugtea
cAt,0.4865,dOg,0.334
dOG,uaejjvqzqf,796,-0.1805
cAT,-0.461,jixhrhmjpe,fgqpqqxato
DOG,0.2255,964,0.106
acxafmllms,cAt,-604,DOg
cAT,0.1755,skyitdpmdi,gmtzdjehog
dOg,479,uesfaertwk,-0.2235
dOG,DoG,-0.2645,-0.345
DOG,jgcwbjkjga,zvjckocilb,DOG
cAT,DOg,-873,219
cAt,kjobbvxuir,-0.1515,fzwfpnmluy
DOg,-0.0785,-989,sdqlighyft
CaT,pvckkzvnal,346,amcirqtqih
cat,jntolvzfhe,-0.1765,-0.485
-529,-0.3295,0.23,rrxgleknxk
CaT,0.1925,255,doG
DoG,ebbnkddeld,0.3455,cAT
doG,dOg,awbzzlmmma,dOg
-0.049,623,dfjcltgewt,0.319
DOg,-0.3985,0.407,-0.274
lvvvbtcrvj,qcjetzbjhf,-0.416,ozvujwfdnd
dOG,970,0.4055,regiambwra
CAT,jculxosasa,-465,559
CAT,-0.434,0.2845,-571
caT,Dog,-232,0.1325
DOg,dOg,-835,ljfcstuuvq
CaT,nhbbufenbk,krwgrnwbrp,CAt
dOg,-0.019,-522,vionzqcjtk
DOg,-477,Dog,0.0235
doG,brhzbjcisn,gzcdqzwqeb,-905
doG,-70,0.47,oihmnxdlek
DOG,-0.408,doG,caT
-559,dOG,ucphrggduw,ygzarftlgy
CAt,DoG,dog,nwqphhahzo
DOG,0.0145,vedjykigfr,-0.3515
dOG,drdovxnpgc,-770,0.12
Cat,0.071,-25,jjgphzieoq
ajfmyuggfc,-0.1845,cAt,869
DOg,-0.3535,jlkkzastop,250
vmoqqluihf,ptarbzajmt,pskxnziqyo,-426
CAt,0.243,cat,-0.4435
doG,xhmzlwzyvd,0.265,rjiupnmspr
CaT,0.4965,sqpaetepol,-387
zdnriedhzd,-190,tizpymzdmw,DoG
caT,caT,zibmwgdmoo,-0.105
