kevgxxwtdi,mhnapyhhkp,rnvcmbwmqa
cat,efjqhrylmj,cqyrqzwfar
uoosorfyvl,DOG,18
CaT,lnjwyhxvcb,-717
cAT,CaT,502
tfcvqpxwsa,DOG,193
-402,646,DoG
0.2355,sccbisuxbs,cAt
162,gaqzhcbeos,glssrftadw
CAT,-0.128,wswlfqxhel
939,0.0865,CAT
843,-500,dog
877,cat,-0.1435
489,-804,0.3325
CAt,DOg,CAT
-895,740,CaT
-0.0385,818,-0.4065
299,uqiyndqxiz,zmiygsfmnl
pouiaorsli,ohlilmonrh,hpcbgephxt
-0.053,uciiadsosf,CAt
cAt,-0.0085,ogxlvbzqqu
195,0.391,DOG
qcnovuwvji,0.127,uigxbyzrnm
0.085,-616,-623
Dog,fkwmmmditn,cznqawspvu
ygrtcmkilx,nyckcjdkix,CaT
xyunddfghb,cAT,642
0.0075,aidhvxbdgb,0.251
0.3895,-688,DoG
-712,0.0255,fmbhamyzgm
0.46,-73,Dog
689,971,amngngiuai
0.0025,mlkzbpedba,601
bylxysjgmm,hmosfnobhb,CAt
906,fgmcvthhec,-57
-0.0225,DOg,-308
-490,-826,0.0895
DOG,147,caT
ilfalxglnm,0.404,0.218
ezeskudfpr,ffypbsnxxi,CaT
cat,0.324,0.0545
oejhyjajps,decnnviurk,Cat
scnxsxagsd,-0.1435,436
449,-0.089,odnvvlkknm
-487,cAT,417
-338,yhkylhhgst,-0.497
0.437,DOg,mtohxeyyss
-270,116,dOG
-0.2055,btmutkgjea,631
0.157,-955,-578
dOg,728,952
cat,-850,-0.3395
252,0.095,sdhjokaxkg
530,176,0.2845
aqzbrlhogz,-0.4225,0.4505
ntrjytfknw,ysabizzron,CaT
jyfqtasxbw,cutitmmudd,294
vslvzohsuj,-0.021,-822
cAT,566,Dog
827,0.1235,ekuoayzbee
892,295,qaycpjggej
ehkettdxkf,946,uklhuzdsrp
370,0.079,-0.1885
CaT,-0.2065,dOG
-31,-0.176,-0.217
-675,-0.0505,-0.336
jjasybihdh,-0.045,595
-0.319,Dog,29
0.097,caT,caT
-66,rldzclggif,vhegiblrmm
uemekmbgwq,eveqkheybp,-543
-0.2915,hqrffosvte,-349
13,fvsionzyhk,kvcelgiytb
btjsjiecqg,983,-0.4785
327,0.026,-890
-893,CAT,ejqwfqtnya
0.439,0.321,cAT
fcuflwmdoy,caT,-332
0.0865,xswwxgcuhv,407
0.3065,pfhsnvxova,khykyfdbsy
tpqeksejij,lowuggejgi,DOg
-0.2315,-2,-0.3475
ctdivvybct,doG,DOG
0.145,xgnppiipsr,cdbrkaulvz
etgcncdedq,0.265,-0.0005
0.427,CaT,0.223
-536,bqrvfowndz,269
-0.0545,-100,-81
-458,feearylnkq,0.4585
-823,caT,-0.199
0.17,jncfwertaa,-0.327
-348,-0.1275,-321
ukpysbcmpg,doG,dbxynptqxs
zmbkrkqvxa,DOg,-0.0415
