mkdddpptcb,PeT,ubauiovecm,rxznmmjoil,imqcrvjaad,iwpcchaazp,fefcwwvbuo
-0.4465,DoG,tewpgptslj,0.3525,0.4835,toolptktqt,833
-866,dOg,CAt,ydkekxlzgk,tqabdzqxfa,678,czgrzrerga
-529,-0.05,203,0.4855,0.015,0.3105,0.2105
-0.3155,CAt,kubyxcuznl,0.012,Cat,dOg,443
404,186,zjozeflynh,-694,ynimrirkdl,574,rejoshjfov
dOG,Cat,-862,mxqxjehidq,Dog,caT,-0.2935
-0.2945,CAt,caT,0.2245,0.35,ohtrkrwzss,zvbhymehme
0.3485,doG,gfaepyudpl,uzabahowcf,fypwtbeofm,-972,wahwretgtf
-621,-0.3665,kinsmqfodl,udpisenlaq,0.402,Cat,cjpmtbhokz
407,CaT,Dog,innwbrunyc,CAT,0.305,0.3045
cAt,dOg,caT,-375,vvvhvysvlc,-502,dOg
caT,725,dOg,0.1905,-898,-136,64
996,DOG,zbuwczlrga,0.161,-0.2465,dog,437
-638,cat,0.1015,uncixwovxf,715,dog,vsjnibbfqj
-637,642,66,fssbarbucj,-0.3505,CaT,nvxbiiezgi
-499,caT,0.1195,-110,0.1845,pnbgotvgxj,CAT
0.2575,dOG,714,343,-582,-332,xktjbmzhrg
ymrxpzunvc,dOg,0.0185,0.1315,pfuanuxrsb,-926,0.1575
-1000,DoG,-502,fieggrhrgc,112,vrliffrlhg,-0.1805
-0.0405,gpkryphkku,0.1455,982,gmjyfxpbki,-0.094,qfbkscekzx
cAT,dog,-6,dog,kwkmwjgalz,-0.3925,0.0555
DoG,Cat,dowraojjkq,-294,0.4085,-101,znaoewflvi
fqrjtmdoix,CaT,mckdezechf,-435,-984,0.432,caT
-0.3135,CAt,hkrpxifpkp,-346,-0.4205,-0.311,-0.0195
669,cAT,-0.3145,650,DoG,-0.4545,CAT
-0.16,Dog,rmlsszcvwj,-622,jeostkmrnw,-0.4995,cAT
133,doG,0.0205,jdwbwrsypb,-0.253,0.1905,doG
0.493,cAt,985,iywvrdqnay,dOG,-714,683
-0.487,doG,0.3415,-336,0.345,-0.4155,507
caT,Cat,ugaxswleqj,qraashicyv,fafmtordis,cAt,dOG
zvoomzrfzh,DOg,fzgpxmxvry,htgyytwals,ztcdwuqwbe,doG,685
0.3055,DOG,fngnjzxbtv,970,0.451,ksirgxmqrh,680
psyflizxjc,Dog,0.2815,qpdyryqlcs,592,391,983
0.1505,CaT,brnyfpnbng,xuswhlnfse,Dog,doG,ishxkausho
269,DoG,ksjitiplgn,-188,-0.4835,ogvoerzgtx,-101
vtjcdiqovk,urvbguothw,0.279,chqnljabvq,-355,adaqtcphuf,kocnpofhpq
opvoprysnk,caT,DOG,-757,pbvqgfxidb,dog,xudebcmajk
xeuuebxpyl,cAt,gxfgtqgegu,CAt,gkvpxkagau,-0.463,Dog
znkzdhphcj,DOg,0.314,-0.148,dOG,qiuqypjwzx,0.261
DOG,Dog,rilncdmgvt,swqlxprpev,250,Dog,0.272
55,cat,0.086,0.0425,CAT,Cat,-0.1985
-0.344,CaT,oltgfxgdtb,686,doG,709,ddxpsreags
-0.1305,vbynajavtz,fmyyhrdcfs,pwhtcmzfub,omwxojqecj,-0.0495,186
DOg,CAt,cat,-0.4525,jjqeeayjke,0.4645,-0.027
dog,DoG,-223,884,208,0.4745,derkmlwhgm
qdeuqrmdka,585,-640,-0.27,0.162,wbpaakvtnf,-72
igxoxwuoym,doG,0.0935,0.026,-0.442,dog,DOg
179,dOg,eerrobefmk,dOg,pthdedeuwn,caT,dog
-0.373,-39,zpletivauj,332,164,unyxcyecqs,964
-651,Dog,dog,0.1445,949,-271,-506
zoluxwzawo,DoG,cAt,bqqvtjkmnu,-901,orfjhmeubz,649
-0.2405,Cat,0.174,nzwxhxecjg,gxulgrwczn,DoG,doG
zzyjyfmaip,-0.4315,494,-0.347,0.026,235,932
-0.3725,CaT,0.283,-0.3005,-0.4415,dehhzvdrrv,caT
DOg,-225,0.334,DoG,0.155,0.377,pvnuspcclg
CAt,0.111,-783,150,-28,vfptoobmao,Dog
