doyedrfmpe,ftxxfgchgi,tehbxaxtlu,lstexxxfkw,cahbbquxtd,iuwofokkkm,bmzzxfeevg
760,170,0.4,-393,-380,17,qpexdjnbef
DoG,gzivlujceb,0.15,ezflojarez,DoG,gtjciabfhr,-0.0025
wdbkqhmypu,xmozvkmvzp,-0.1105,wgmvqxaghz,-0.475,fvfqothuog,ypwikmnmej
doG,-797,-0.15,-0.062,0.1955,915,cacetuhwnn
0.4795,sblonmbnrq,0.316,-0.077,-0.2005,0.1815,Dog
-177,-94,DoG,-0.2585,eegfuezhnk,DOG,mqfqzdkeyi
-0.2245,-0.4455,xbwbftnflf,cAt,-0.3315,-958,-0.26
nlmiwjsada,-0.443,-193,644,641,0.415,-0.3115
-134,0.3205,0.097,0.125,iovydjrmfq,blqgemfukl,-451
cAT,576,vcigpsmmkd,0.128,256,orbetlqxoz,-0.004
vaqqpbofey,533,CAt,-0.379,380,lntchfwowq,-0.2055
dog,0.185,CAt,0.0105,-166,kddvqpyfxd,palyfbtwla
CAt,0.4405,kovmjevvoz,fjzwgfxwvo,unhthjghlq,-645,odslvjdswh
-0.473,olmlmcnghb,-785,dOG,-0.378,sbyqrrsjor,oarndswnzj
-0.3825,npedxhlbij,caT,0.1935,rgtxladhpq,0.243,-100
-668,-673,0.1935,191,xdjkwhtccz,102,cAT
127,-0.1255,ozfekahnre,dog,dOg,-0.0625,0.298
-0.182,0.0455,DOG,-0.299,0.1185,vvryzmuysy,-961
tdtfynlcet,cAT,CAT,CAt,0.095,jkltvivbxz,caT
ehdyyqmohs,-777,-583,xmuvubakaw,817,ezuvhqdirq,0.417
stcjyopynq,epgwathzqu,0.112,wcbatjbozl,-236,0.358,0.136
255,-42,0.473,-948,gxlfbnxeqr,0.0775,-0.258
245,0.0845,322,ukezltrlnc,95,vmshbcsoue,gkkuidbelq
tivsipptbp,Cat,doG,0.36,-0.0315,0.049,CAT
mjokziowcf,dOg,400,-0.311,608,-0.4265,783
-0.0855,0.459,0.06,umcgwyihnt,0.4015,395,-0.354
-0.1445,cat,0.0655,eildnqnanw,sjxlohpgaf,elolklwsbi,DoG
0.131,-676,-926,nscyiixcqb,CaT,cbpzblrivx,0.417
bkzpmkjycz,cAT,-264,eysgaqupbd,222,-0.0615,doG
caT,sqadjjdtnu,970,tlnmawxccl,cqwbapeovs,-389,wlajweyhtv
-595,cjnkdtlrqf,-682,igzlirlvfe,-0.088,-746,zzhpbhttss
lxqxlallfp,swwzwjdvhv,qniuwgmjan,771,-0.0975,manaydjtxe,CAT
719,-968,jclyamqutn,roxwywyfrk,tujztvvrat,chqsfqekib,-273
cat,997,rhhiyxsoll,-862,-304,bwrxgcsgzq,-250
0.4565,dOg,dOG,-0.131,xskhegdyqz,-700,0.4045
cAt,lscqdodkpn,-430,higpgzdllc,-0.2295,542,0.478
0.209,0.0715,-0.0625,hpvsksxymj,-0.1305,0.039,-192
guzjgfnitz,325,aeibafupat,-0.073,cat,-0.4315,-0.0585
vdylfxrpru,dflldptcuc,290,cat,0.266,925,0.0525
kshliviphb,-400,434,0.1345,iilarfhxrk,0.24,950
632,DOG,Cat,-450,-0.086,-0.096,-983
tzsadnetpn,pzmrqckhcr,qkfoaajhvz,dOG,-0.1245,niipmqbzzj,-0.019
DOG,xqsqbzmczv,578,902,CAt,-97,beyxnszpwh
0.2935,-502,hhxlnzrmuz,-0.1075,0.205,0.136,160
cAT,kuaputiejg,CaT,0.2375,-0.147,cahbuupeya,Cat
gdpvproxai,CaT,817,stvjwteboh,44,724,0.112
616,dOg,jnmqpaqhqe,tnxppmilyl,Cat,750,Cat
158,gkpweyjelk,0.425,480,0.425,0.0045,DOg
0.0005,0.173,431,0.336,0.266,DoG,-649
0.4815,-735,-0.0625,ldlvpfolwq,dOG,Cat,myqulkzels
bsdrzffzly,0.3965,985,313,cAt,ojoqexcsgp,qhmtbxfumo
khlpzbvwbc,-0.357,0.1305,-666,470,559,twjyrdtxuk
jrkrsjxkok,-728,-0.3405,-674,735,-0.0075,538
0.224,caT,-312,CAT,vmwhyzbaih,ecztrjitbz,-789
