usaewornlp,wgotkuzjub,Pet,ytaeinrbti,qfozmudxha
0.217,-13,DoG,-0.067,vtaidldjlc
caT,-0.0105,Dog,fhjtzrtvpn,cAT
-366,jxovzahrqg,-494,328,-0.022
ireumgpinb,mmemctqhhr,dOG,cAt,DoG
zgxmddkqmg,wzhvljuuhr,vrxbfsxwck,-195,-0.2315
-485,ekrlqhoile,dOg,cAT,dOg
yjbwynsegf,cat,dog,-895,-275
220,0.0695,CAt,dxbnqwpfak,0.2195
aluiczsmxf,qgacotvbmo,cAt,-0.3405,898
-376,-503,dOg,-0.3745,-104
nbbhksprib,vebfwfhvab,CAt,0.3565,-194
0.2905,dOG,dOG,-0.272,txhmyrjtai
989,-0.4075,CAT,DoG,-158
-650,-0.3635,Cat,-425,ytfawxrreb
0.055,0.3675,cAt,cAt,CAt
-198,acgkquswok,CaT,tipgmttupn,DOG
dpmupiwtxl,nituqkcpii,cat,nwuqxpnxgl,-985
-757,0.3965,zphqvksgbz,cAt,aezwguefpc
zcuydtcvcp,502,dOg,0.06,-0.2585
njpsohbffr,cAt,cat,0.4915,coqdxslobi
-0.1435,0.1445,CAt,tmeglrdwal,-255
doG,-280,dog,dOg,DOg
0.2045,qiqlqizwgp,-699,caT,ggkegxqzxe
-209,udsbleorzc,dOg,-0.2705,0.1835
330,-0.277,cat,-0.4095,0.0615
xicchlxyak,0.053,qzfmslhiof,lfopkzukcc,0.2605
gxxywuzowj,61,CaT,sjwvqbehrp,-0.355
-0.1,dog,trxlknbpmh,-830,-0.313
sikiaibcif,0.007,dog,cAT,keclazkorh
-0.034,DoG,CAt,CAT,-0.1885
0.4665,-0.2505,-0.2645,Cat,357
bjnucytaqk,acuwmcvuxn,Cat,-696,-0.436
doG,499,cat,0.164,fgcetjzjkd
cAT,ornzdubqqq,dOg,zljbslghuc,tgcmvgadeo
78,0.356,CaT,0.193,-363
-699,kkuvsavvrj,CAT,660,ygebvvcnty
tdfkdivhzd,ecjxhkafyo,CAt,dOg,Dog
0.476,0.0735,640,-0.206,whnybuqkxy
-0.4885,DOg,doG,0.469,pnwuvghhik
-838,npezadcecx,ycvznyaiqb,0.0195,johohgtohv
sjycqkzwwm,usfohzhhmt,CAt,767,qbbcywfmfs
0.0705,975,-444,cAt,yhyytfqbxg
gddgtrotqr,808,dOg,dog,-0.3955
