zmukhxlfqv,kwyhpzhwle,yayzkekqpn,tgyoblklkd,wbmctcoahi,oefoljaugf,wamypataje
-914,0.1435,334,vfoxyktrly,-0.2135,-998,0.0885
0.35,doG,dOg,-511,-0.184,-0.103,0.2275
mdhyrmonrs,-0.203,cqqqsiizhy,0.231,-0.3195,yshdkvhmkp,-16
Cat,421,liemrhdopq,-0.253,nmntzmwkvw,-0.3765,476
-0.434,pqnkcujogw,cat,0.1005,jfexzvtsai,DOG,-0.4065
-333,-0.092,0.132,doG,dog,-35,cAt
sgopfshajt,-0.037,Dog,lhwjckghew,0.275,-442,0.288
-0.202,0.195,mlhemycbko,317,zswtnsyncg,-0.4015,0.338
wvtzcicrgj,0.0635,-232,-267,-880,381,giakiguctu
0.272,tbwqhoudhv,-721,nibnlshojb,552,-0.241,-0.448
-380,-0.1825,0.47,101,DOG,bhyhpunvps,Cat
kagawxzqvz,flsdelyhiq,caT,-971,0.41,ojkpgaiokg,0.482
waqytjisms,-867,caT,gbhqsxlyhr,-0.2215,132,dOg
-545,wmspnpryxh,pjvlcmtkbi,dOg,CAt,DOG,-0.265
-0.4255,276,-0.1455,wtwmnrtrtr,0.0955,-0.047,DOg
cAT,DOg,CAT,uqeznjfdnj,vuxydklsku,ftegyivpqv,0.1535
0.304,hnmpaftwem,thfjgeearm,-751,DoG,afmfnmrdyd,189
-0.281,cozkdwgeab,74,101,845,gnqovlrmfh,lcharrdcfb
0.353,ydovduztkd,-127,dOg,blqxjlcnwl,-239,0.144
trqdxteyjv,qknpwxbggn,ezaffxoaxn,ojxnbfzzwj,0.0465,-0.419,-145
674,-0.1205,0.3265,0.193,DOg,gvzynndeoa,510
-0.391,njvkyaotpg,jukhlcphjo,0.181,mgjudnneec,DOg,0.447
Cat,DOG,caT,doG,nphqmevoxx,-503,0.3355
Cat,vmlrhrgkhx,cAt,472,DOG,-585,-854
jazgtwqwlv,DoG,631,-0.308,0.027,Dog,974
hjcpwobmnz,gvpvcjdcfx,186,0.41,0.166,amafgoxcbd,-0.062
829,zzwvyvhwve,mcyyowrgub,-0.432,-0.3685,izjyrvuvcw,-0.399
-148,awfjovkyvc,-386,-0.1455,oeojipukee,555,-635
-983,rqcgofxths,ohkusanspa,15,CAt,CAt,-474
495,0.3945,-931,DOg,-854,0.051,0.225
0.022,doG,dOG,rycqdppvct,0.4605,-424,yatlygbuod
-618,Cat,DOg,0.4755,dOG,-0.442,pdkfzhnvwl
nuqvmcihlz,xfvthbpayh,-850,-290,tbepynfqdp,toftieayew,-0.0755
ohmbvfwbgx,-0.249,-326,dOg,-540,559,itcarmvbvd
zkvfmfiymk,byctegzbmd,ufgbhdihjc,-0.094,341,asovvnhrdj,DOG
0.123,jydmsckmjp,-0.3135,gynhvdfmri,-0.392,0.347,0.407
0.475,DoG,DOG,DoG,0.3585,CAt,DOg
Cat,doG,hzcpuyhywo,-246,-2,jkbprhyrrc,0.396
bqtgilpadw,101,955,Dog,CAT,-146,ejcqfvlgan
743,331,CAT,bibntihudt,-676,ijywkxypps,zofmkpppmb
dOg,0.4195,kvzngcsyry,0.3085,kteivhcafx,-0.349,583
-873,DoG,102,sbouwlfdht,0.355,cpirsxzxpj,tzmvpxhodk
