PeT,qcpixgklxk,kyxfyvfwwf,voaofxnbot,wnxulchpwc,zyvqhvxpgu,yapavvmfcw
ncuposygkz,dOG,cAt,174,785,-868,-0.303
caT,-0.027,evnfvxsqmj,0.3805,451,CaT,uimitwrkpn
dOg,dOG,bcgscoyvkp,-0.4175,632,0.3645,oysribilsl
0.4965,ybavxvbdhj,936,0.3035,pqrpqoxcmo,Dog,523
0.082,DoG,zdcnqdvsha,xiyhvsgtzo,0.2825,-629,0.241
dOg,pgvcgcjkhz,-0.051,-0.13,-0.333,yyjqynsgba,-457
CAt,910,-324,doG,Dog,gloqhhewsg,xemcztiqxt
caT,rkinrjahnv,cxbjqprsen,-437,13,-0.3515,jkxafanxax
-414,-0.1275,259,0.384,-0.0165,0.4825,0.071
CaT,xwghlwznoa,CaT,-838,-423,-0.4195,287
CAt,CAT,Dog,-0.355,dOG,751,voiqyoglxj
