Pet,rlpkefckcm,wlzibqyqhc
DOg,CAt,986
DOg,-77,CAt
cAt,0.3435,535
dOG,dOG,107
dOg,jwlktsvpum,895
-0.2735,yecwaobcwx,-689
cAt,-0.4745,-0.2515
doG,tgkvgjpnoy,-97
dOg,srqzbcphdq,DOg
Dog,0.2685,-0.1175
doG,91,-880
cAT,qwckazfdiz,0.4855
951,sbmxrdazqr,11
dOg,-926,0.3595
dOG,-0.3985,hkiqpjkkps
DoG,mpojbjfqfa,378
CaT,0.4825,-0.2145
CAT,-0.228,DOG
cAT,-847,DoG
caT,-83,660
dog,DOg,419
CaT,0.426,771
doG,mcnuzkftsf,dOG
Cat,xsozsabbti,qzshauxbco
CAt,-0.464,zdgcigrhkc
cAT,-0.4105,-0.451
cat,lesgevhmud,vibhgzoggp
Cat,900,-0.4505
dOG,461,0.33
caT,120,-0.0135
DoG,cAT,368
doG,-0.4935,-231
-576,-269,-0.3535
DoG,250,ecfzhpercv
-430,doG,-0.4975
doG,-0.2735,50
dog,cAT,0.4055
amuedwiccj,-0.134,59
DOG,-276,imakfdolsu
caT,jwqlogvmal,caT
cAT,526,dog
dOG,-0.1955,lrnigxxjmt
-0.0745,awzqwqmnqi,unsybmhhdf
Dog,DoG,0.37
CAt,-816,xxbsqocbae
