PEt,uyjupfszor,oactrosqvf,ajrzyhusfb
CAt,twovlonmqr,CAT,352
cat,0.1115,txbycofkds,fvnvcvmlcp
cAT,-0.123,Dog,DOG
cAt,eiavygkhyx,229,ofequtndes
lqbryynpbf,0.211,-0.1125,-0.054
dog,xcgvpryhly,-0.0815,DoG
-0.324,mlreeyujmn,-400,915
-296,-0.158,-0.4515,0.011
DoG,0.2365,kqsrrdaify,Dog
DOG,-0.037,vyxfwgjkdu,-0.1715
Dog,624,itxilwnifo,DoG
Cat,-0.493,942,Dog
eafearmhii,468,-0.479,DoG
tlgoclqpba,0.123,0.0235,qauptvjmpx
-919,0.0425,-327,dOg
dOg,-641,fiukvtqevu,-0.4235
Cat,rhszvmdlzz,wmlfdnoihj,-0.4385
0.3225,622,CAt,caT
dOg,-156,caT,-0.294
DOG,DOG,-766,qdbektigoz
Dog,575,-269,fwgaxbcjby
DoG,-781,monobdrvre,-464
ecurxrnskw,dOg,sydrwoqoxs,ngewpijhtt
cAt,0.0115,-0.286,875
-724,moygijubct,-257,twxcdygvbv
dOG,0.171,Dog,lxgamwcwzs
CAt,947,CAT,-598
DOG,cAT,0.176,cAT
CAt,zffwxjkpnz,bcascrjcdh,jctciefuaj
DOg,dqyfqyhgkp,xyswayguyc,CaT
-0.015,dOg,wtoylbjydz,66
cAt,944,0.121,110
caT,973,DOg,dog
0.3225,705,0.179,dOg
CaT,-600,-0.3575,CAt
DoG,CAT,959,886
cat,-302,0.481,iomepwrcum
qfbpypctze,-0.1815,qgkyenrxkr,588
0.1605,-598,kiblogmfod,uchyzfjzre
cAt,-618,0.049,CAT
cAt,gmghxfdtip,mhmkuxhhuj,-0.496
-217,doG,-0.134,649
cAT,-134,CAT,0.055
doG,hrlfkjkxpy,-745,-266
DoG,-0.4645,-162,0.2165
cAt,vykreaebyv,kefacgkzwy,530
Dog,-333,zriuzmsgcz,jeuoytibfp
DOG,doG,313,umaavhnwza
dog,471,ebbhgceewd,edkfuqccbx
dOg,-225,-0.221,0.271
dog,-0.0775,0.1615,fgouzwvckd
CAT,698,0.148,45
dog,384,-0.0135,0.0185
Cat,ztcejdrlnb,ciyfqedzxy,dOg
cAT,0.362,-0.2855,0.2105
cat,xgljmzdzcz,0.0175,Cat
pajsijdukq,884,-0.4285,-973
cat,rxzxnbagog,cAt,-0.173
dOg,-0.0955,-0.359,-737
caT,-525,igjvyettpn,wgeegrwior
CAt,0.471,-101,108
DoG,-622,rudmpkbsni,-0.381
CAT,0.0195,0.0635,cAT
-0.282,-155,-0.0165,-169
397,dOg,970,jjelyhbmmg
-0.157,0.367,gunzkqnsib,-513
vszvarahdp,-624,-853,cAT
CAT,-707,tcsulcdwfo,jjxbbwohxs
Dog,-327,-702,ztxqybxips
-0.4895,-548,458,doG
-0.1575,sianzwwach,349,0.3385
wzaelvehmj,caT,doG,-0.4235
Cat,-0.161,iqvksjdtqh,-886
CAt,xcktdmtufn,hxltjtyzsh,0.028
DOg,-733,Cat,jqbmsvtjge
DoG,432,dog,tktybkfnii
0.238,0.1205,qnequfjejy,-83
DOg,-286,fqclvlkpak,rzhxotgkrj
0.2845,0.2315,-0.07,-0.052
ukcfvpfyav,-733,gilzkvacgd,dqxagvgidf
dog,jtoeggjsaj,-0.3735,0.3205
Cat,dusmmkrros,953,pbxarrqjmr
Cat,0.2805,CAT,DOG
dOG,CaT,hjljpitcsk,dOg
CAT,0.0045,uyvmbetdvt,cvwgctwlhj
CAT,CAT,-389,CaT
Dog,zeptgwerzp,dOG,DOG
cAt,38,hnxchsoytc,-628
Cat,cAt,llcyifwluq,vhjicyjtqm
cAt,0.166,wbubmmxoog,0.2115
-0.1395,0.139,yuieombymi,0.237
dOg,hkbdrmihbx,-0.429,-0.09
xjfodqejfv,782,pjqojvqsxk,grvcmdwtst
CAT,CaT,-731,0.1895
359,kpxfgrstwi,-0.291,509
dOG,-0.0295,zfoqufsbpr,dOg
-0.436,767,-833,0.423
dOG,-549,gmigliqevs,wbnraacrdz
