Pet,wfgsmqabeu,gzpvigwtmo,uvnmenhnfp,umncgtczyj,vuregnpwhf,sppdxyngab
dOg,24,-0.338,0.3925,wdhgurejkj,cAT,snkysoqwsf
dog,CAT,cat,DOg,Cat,-0.2945,uwjadlivkd
CAt,zpcfsasbcn,307,833,318,-846,ntwapcrgxu
DOg,-657,0.192,335,967,376,-0.273
CaT,-0.435,dOG,eymjnzizrz,yqlwajlywh,-103,0.128
dOG,0.3415,-589,0.052,0.4865,sfjhnoymgu,0.118
0.1585,-0.3945,-90,-922,-53,0.424,natkjkoxvl
dOg,0.4745,dthgxcenrt,838,gzxpbeomlb,0.3535,ixtamjirqd
DOg,308,-0.0375,uhpsvypszu,Cat,-0.29,0.3245
zjnpwwjbhn,-0.4855,cAt,251,0.0375,0.466,dOg
CAt,vaqwlaabnr,-0.273,34,CAT,wuxuoualol,940
doG,hpinccqnqe,tvqczggkhe,sxfidhtzfo,106,835,dog
Dog,0.151,aeixjvqdii,-0.4245,lrcismjvki,cykzdayfum,0.089
CAT,140,-900,-683,539,809,cAT
CaT,CAT,917,0.211,caivayztrm,uahjftlsaa,0.4995
caT,cqowzljjzc,0.2075,0.0005,0.142,doG,dOG
DoG,tgbudqowvt,672,744,rimgrraxxe,whtjwotzcl,aefwulffbf
ytgbcxwrss,-972,dog,wpzqifdrdu,-589,-0.3605,uqnbqnjkwn
dog,-0.41,fpowdscmyg,cat,0.4775,beoydonedu,813
CAT,0.155,sdqwebtupl,DOg,lsyktkzskg,-542,-0.1605
CAt,0.0715,0.048,308,0.206,kceklkcgjh,fremnodkzu
0.2725,dOG,ueiljjgaxi,0.246,ivakywailf,0.3675,dOG
-0.418,0.26,pnjyohvecj,osidbhlkdf,0.0725,-788,qzqrmwosqj
dog,0.1725,otfmldqvqj,0.0025,0.327,-834,xwrdwydvar
liyvyznkhh,-781,0.1345,-0.2285,Dog,-62,-0.3875
714,0.237,-0.2895,-0.258,DoG,-438,uqjmppecgb
dog,vivkxhrahy,0.0485,0.3225,pymggxsyun,DOG,0.377
dOg,dog,-204,-0.2015,ikksvtcjve,-144,634
-892,rfmibxpjjd,ycnxrdhjsc,zooheluizb,DOg,904,foqfrcjbwu
jzcchnusrp,enmhyzqpup,0.0625,-0.3025,747,-0.1025,tkwrxtrfau
-0.1155,DOg,cat,0.124,-0.0275,Dog,jympaidwpb
DOG,-0.1235,qedyomufxj,-321,doG,CAT,-489
-0.3565,-943,-0.0905,-848,-0.31,CAt,cyltpdgpcu
cAt,-0.0385,zxfnqaqeye,0.336,-0.0095,409,irkiwlxvgg
cat,667,-980,cguxzngynk,807,CAT,arjjcicpxl
CAt,fzefwvcgig,DoG,doG,CaT,zxtjduqktn,0.4875
cat,0.0905,148,0.3325,275,-753,rmyauvwfkx
dkfepqenev,0.2335,nanihtixla,-864,dOg,-64,vdricajpbw
caT,12,CAt,-0.4245,563,xufqfdcrsu,639
caT,-50,-270,258,0.0595,45,lgyotqpwqx
CAT,-0.177,202,hrbdpzoxza,cAT,-515,-741
DoG,doG,aifrpshfey,reydseiptd,-0.158,incgbnqjkt,fonabyxaeo
CAt,0.2745,936,511,ujtwscyuah,bemmqlqytj,-564
cAt,0.289,CAt,-0.455,1000,-0.162,zytwqghdoi
dOG,sikrbkgsil,0.322,yqbzzfeakw,cAt,0.397,-240
CAT,0.318,dog,ipifjlqiqb,vmutdsogxd,334,963
rvswgsgpvv,-0.159,693,cat,gyeurskdxc,-0.4695,-0.2895
-0.4465,0.057,-635,757,muraqbtkpw,-439,-0.1415
DoG,kgjeusmfhx,-0.1365,mfwvopakne,809,kjtczutoyi,-978
CAT,0.345,ftgrxypqrg,eabyjxhlgt,Dog,hlhhzpgeot,dog
cAt,dOg,itkbjuqylp,CAT,0.183,-922,cAT
DoG,ywpwvaipms,0.2995,cmyvnycrer,fwlehijuhw,0.4585,-596
-0.3695,323,ghuykevsvj,-0.164,-0.4805,-0.3975,xbbzbvmjvn
cAT,0.045,0.0425,0.299,Cat,-894,opcseghyyo
-109,Dog,hhxfeyvqgn,743,dog,-125,emrfyuqtvx
lezvneaxtv,474,mrevcobzfu,-132,utdvgpwzeo,CAt,-0.359
CaT,0.4,-717,bpkzpobits,625,-0.1825,846
cat,-834,-0.379,915,kmlzxedtcb,0.228,kutyhsrozw
dog,cAt,wvcejajpao,-200,-357,0.097,0.0055
DOG,dOg,dog,fwvngueilo,cat,-0.3975,0.1435
cAt,-0.223,-998,-0.2365,0.405,-570,-552
DOg,oorpkmjgic,ahpxiskjsn,81,303,jyxpwfcvyw,-969
Dog,tzgtgwjasy,cat,iqhdfloxni,-319,0.439,-423
