rglqgucuhh,xfemzuttni,xhvkknwalo,amedroknyw
0.4765,ebkeuvgkit,cAt,498
twvqxtzwsl,dOG,DoG,0.0515
-0.147,-444,qznyiknjvy,0.104
rqtvfvxsln,129,DOg,cAT
-0.239,-0.098,caT,556
DoG,-0.354,lzbvumrkwa,doG
jwmxmzrcve,dOG,khpeusznmk,bkezjiljjo
-0.3855,aqjbblmnea,672,-0.1255
-0.0635,-947,-0.473,-945
202,fdsyzjeqsz,-0.3935,puubwfmtjf
766,blwvbrvwmf,0.0295,-650
cazyoetyhw,0.3515,-28,0.109
cbyoyoyyyp,DOg,-0.485,-0.158
858,Dog,-758,-711
-395,793,doG,DOG
0.2525,pwjeqjlkvb,-0.058,902
-894,-0.479,CAt,memmeycjnv
dmhkrxqrvh,0.42,-0.111,645
