wmlybtyzri,ykhwjukrro,trfbixhblm,ipycijlrwm,peT
dupwzmpmni,Cat,-279,0.4405,cAT
crjotunztc,rewjhbxgwq,0.202,cat,ikwuqyotme
dog,mrykmzpmvl,-38,ttdafyozaq,lvauuwnhkv
-804,-381,-0.273,zclpicfbvf,0.4375
siwcqurxaw,-0.1105,0.3855,aawjmktsfi,0.3845
yncpioochw,mirwpiwfed,-257,152,CAT
sphlqhlbsw,-795,tpupvouxth,CaT,cjafzhhjpb
-289,caT,-190,caT,cvkjuwuyzi
pzzgthcxlv,-0.4955,-794,-0.281,DOg
qpncxakgwu,wjxgerswzx,mzynnxiycl,egdrtoarml,lunrtdlqpm
xuzuimytcy,-0.4485,rcedaptbsz,-0.3685,ffwsqavhej
-530,uuxgjsezxx,985,-357,dog
0.226,0.265,-0.316,705,0.375
-0.0775,DoG,cfrvgazedt,lhipcfgnee,Cat
-0.3055,-940,frhpxgwqga,efupnkixgo,468
dOg,-0.45,-169,ezopksfhhl,ubmkjeosqn
-0.3835,597,-389,gweieyvhjb,CAT
46,-283,gquaxvjukw,0.3705,DoG
-0.008,ysgouahgae,-105,476,CAT
doG,dog,-0.482,emksuxtlxy,dOg
cdbiwspsjs,ajlkrjxuei,DOg,fpmfqeeqsj,doG
qurvwjnxbu,dog,iffiqlsmsy,nnaibhoidi,0.4865
zwwfnzjejm,cAt,fgdmlrflim,-0.4845,dog
-166,373,0.1745,nokrpluzzr,DoG
qafwjycxro,avyssdqvqh,CAT,pwjxhvzcjs,doG
lisgmkgctn,641,Dog,-959,-0.142
eaqjqtloyz,0.0555,-982,-343,CaT
dOG,-214,kykbayaymh,iyahtseoiv,Dog
kujvqilklc,cjgllttwbo,vwyyrpcqxl,CAT,-621
-851,223,-0.342,CaT,dOG
ixurllckew,541,0.1975,dhtdqrkfhx,doG
651,-0.1925,bubftnyqax,xmshtkvddu,CAT
mqjevbtimt,-0.442,unkodzrsma,-0.2285,-443
dfxairfdfi,dOg,iykobvmuwf,-0.445,CAT
elijnutcwj,879,0.4815,caT,doG
CAT,-0.4215,542,331,snmwvnkjem
0.441,hhckkqvjlu,haonmegpcy,-309,-0.3015
fbqsqxavqu,619,ncwuaiczvj,393,caT
0.2235,-0.371,caT,zleysqndsc,dog
-0.17,bydnaqwxoy,kofhmngead,32,178
upuilmgrvw,0.3765,fhlhmfzirb,jhywcmcoya,wxruimhowp
-343,-530,-201,0.373,dOG
0.0015,-0.4475,0.1985,-973,butazxpgdw
278,-794,brvjofjjpf,0.202,-0.4065
0.491,0.213,Cat,ytedwxrqrj,caT
CAT,0.4235,0.38,CaT,DoG
-741,CaT,-0.18,kdqfqtdgip,jcklldyjte
-520,bcfcujsjlj,-58,863,DOG
786,909,97,qtdytqfnle,dog
phtfeqcxki,0.1955,166,-803,Dog
-0.336,DOG,-737,fozrmzkspl,DoG
-13,-58,-36,483,-0.422
xwsxyixppu,-0.048,DOg,qmvufuvbwa,CAT
0.128,ueokflhmwn,DoG,-0.0915,opqmxwgccy
DOg,dcpklluqzd,0.3465,doG,rdcqwfenmk
0.101,0.3095,eazoynziek,-226,-0.1385
0.2815,DOG,cokvardgxd,101,DoG
941,cppjkhyycl,afoterlott,cAt,DOg
CaT,fyjekhvzoz,-0.3295,-67,-460
dog,182,mtiwgdgjkz,DOG,CAT
625,-601,cfvrfdoxie,0.475,-592
qzonibidbs,DOG,Cat,zghxsgsjzp,Cat
-533,810,-0.123,0.3115,Dog
CaT,zwaktgoxvk,0.3425,534,cAt
-0.089,-0.424,doG,-460,-0.1885
wnzmoexlyi,156,0.208,CaT,caT
gzhjcfbhux,cAT,943,DOG,CaT
461,888,974,-991,vdapubkyeo
Dog,CaT,-0.3955,cat,DOg
-628,xvahcrrnio,DOG,0.182,doG
tcfwcmopbf,DOg,dog,Dog,DOg
-0.2805,oliwwhbdnn,-668,-0.4195,CAT
0.309,bcfxectwde,137,0.2175,caT
-0.465,-640,0.3365,prrxditdmc,DOg
0.217,CaT,gbxexopfkm,czitvsaxkf,dOG
735,fagtvwswgg,gkyjaygrak,305,jpliwsdejk
0.279,-19,CAt,klylvzkhcv,CaT
-0.211,-988,DoG,-0.276,doG
mbtlkqkqya,374,qyyzccayhu,-578,DOg
dOg,Dog,dOg,pwhhsjbcte,-0.268
0.11,-0.257,0.143,-371,Cat
CaT,-700,0.2965,-898,doG
-729,680,letfxprhft,0.036,CAt
0.4985,DOG,pcymjsoewi,-451,-506
rjkiiikfow,755,0.248,CAt,DOG
fjqphfnnfc,doG,CAT,-275,dldsqezxxh
-503,atbtqyglqo,807,-0.4005,DOG
qgkeyghhza,-0.339,483,qrxhwiukpp,cAt
0.2875,jowsxwkzaa,CAt,geeqedussr,CAt
DOg,snhaggwerr,0.308,cat,616
pdkfaoskfl,CAt,DOG,eqalmyizrt,dOG
915,hlmzokicht,201,omgneymlok,cat
