tytantynkp,vxsafbzmvb,lkxnjsqxkl,dvwrpwolil,zqxlauqore,ckugioevjo,ptkcxpnhju
bammqohyup,197,413,szyzayjfpp,owefhacwbk,unbhwwlsau,CaT
Cat,175,uzulptyizc,-0.2765,-0.1705,-0.19,0.172
-0.0365,-640,0.323,okhgodjkqv,-744,0.3825,-0.2935
afogkgxwgt,rdzdqeuruz,0.0085,180,pnzwzklvzz,fdcqyxmsdc,hiajslixtm
CAt,cdoqejkkxw,-0.1045,222,0.177,CAT,0.219
dOg,-58,ffqbsasgsu,294,euftlplfdd,DOG,0.006
herimkampn,CAT,-0.1365,knpvvkmhlr,cat,0.2845,-0.193
-0.1725,-0.1575,-748,-537,0.327,dOG,cat
0.254,0.4885,upnvlbpxfj,atvzhjxeux,cAT,uucvhfwcwa,ukwvmlcaaw
CaT,tvlensubpi,fudmfavyya,-790,-534,-892,0.1405
uqwzkvqrql,141,CaT,mcmrpfmpcj,-284,863,-963
gicuvykqmb,vuucgrwdog,0.1595,zjpchiqglu,0.368,214,mvrcvboerm
0.225,jflklpspvh,629,-977,dqmkooacql,zuhavzxqkj,0.395
mtrdlnnoks,mlkqbmredq,-0.4285,Dog,875,sfzkwtogky,doG
jhukiflrux,740,osrsgmldxa,gsvrahpnow,yzytzppywm,cAt,259
Dog,-947,xayffszyos,dog,hjwxfcdgcy,DOG,790
lcyysueaqn,-0.494,588,0.01,-792,CaT,-556
0.3875,-0.365,17,vtdroqyetg,0.251,nvukppkkro,mmpqgewsfk
huoxpkdvya,0.478,-0.319,amrecjoura,daqtenmrmi,-0.0465,0.0855
indeyiuzew,gjriavipjk,-590,svcwvepljy,eveikobflm,0.445,caT
Dog,kmdgzwoamh,cAT,dOG,105,-0.003,-403
106,-202,cAt,691,doG,0.248,swjtequzgd
tnwoukkrtj,330,lclypkloub,dOg,394,369,caT
jmfmbowwhy,ycxeighgwb,0.004,opoyieunya,0.442,-311,-0.193
CAt,-0.3845,408,DoG,mexhvsqaam,DOg,482
0.383,-0.4655,550,dog,rclomvfypy,-0.0835,cAt
-0.4505,-0.0295,-0.405,-890,mnsltmucld,-798,0.4105
DOg,mzccpgzpqa,0.317,lbgemmpatw,190,42,-0.2765
doG,-481,CAT,-0.2535,-0.344,674,-0.099
DOg,lazlopwsnl,946,-0.114,-0.0865,0.312,-0.0935
pmzxsaxbqg,CAT,0.0645,-0.3845,-595,ijcswonjax,0.143
0.1265,723,ipkhataqzw,699,fljrfnbcqc,337,cAt
Cat,593,-736,-756,56,cat,hrrgfgynmo
ifnmqekeqp,961,0.4025,qbbhawpzhu,728,cAt,0.491
0.0235,-0.0515,lxnlyvysir,iaxtefnuoy,-0.4855,-0.264,dog
wgzvhndihl,0.2335,uhqmifixqa,zkkwiqyjbt,CAT,-882,Cat
-553,0.153,DOg,-30,0.378,904,zsyvownbka
0.009,-693,CAT,0.1955,upzahifrkj,-0.3475,59
qmucxeflbg,ncqxvvkaha,247,-0.2985,0.3665,ffbzkpkdfs,qvxeeoskkx
