ncxaoqdcey,vmeroxnldf,PEt,qklwxfcrjf,qdlfwumrbc,zbulvzottj
tujkvpxsjm,0.306,DOG,xvzmiwucdj,qloffppudu,-770
DoG,caT,CAt,cAt,-90,183
-0.0265,exzhpfqftq,nzuqbnfigj,433,Cat,CAt
945,ofmvokxufq,dog,533,swfsrkxmob,mkzdzazbtp
DOG,-515,DOG,ckefxmhbgb,-0.055,-0.351
-0.284,-0.162,588,gzimacxdcf,cAt,cspzjwlapg
rlgbkefzqg,691,DOg,zcjnxmlcgu,DOG,-913
-459,-0.1165,264,812,0.486,0.0775
dOG,-451,CAt,-0.2105,-0.3525,921
dog,byckzkiovr,CAt,CAT,146,547
580,nvizfyvotl,cat,0.3485,obgugnipng,-0.304
CAT,qqyjbbmsqr,dog,vbdwlwvjrw,-0.389,833
mwputnuvud,0.386,-0.2215,cccendznil,lbgtnfypkl,0.3445
995,bqwzviumjs,DOG,0.433,610,hbzetmdogs
-0.0525,-679,caT,0.287,484,102
fgfcwgqodv,14,cAT,-0.028,-561,-0.307
