dceztwndxo,oezgfetufx,hinqhvijuk,wvhdgklnrq,cfohhjvltj,imsauwxaph
927,0.1205,CAT,xbnydtvswx,iomyfxjggh,-0.2715
cAT,0.157,361,eldtkuplfz,eoiyrnavro,0.108
376,zngbbcemyu,-0.0575,0.117,whkcjwhrqy,-0.0835
0.184,0.2475,oztxifbndx,yjpcnskect,pbfppiqdis,kmhbfrvugd
DoG,-661,ycnyvnpsuh,cpkusoppbi,-499,CAT
-707,-0.3485,-0.004,gblhuuqcgu,CAT,xxvjorxymg
-39,858,hicdqmzvxc,0.25,geqtjiifek,cAT
dnlsdnhuyo,kcsmxkozmh,0.4755,-128,CAt,869
69,958,ilobmpsvjk,0.244,CaT,752
-621,tfcyidhybt,-0.0825,529,397,2
0.282,0.2035,646,dOg,-661,0.0935
-78,aszopveprr,CAt,0.252,smihrqseur,-119
cat,hmdbpylirm,nchdvsxoqm,-522,-0.0835,boosxvhiog
837,flcnisctvh,-0.017,ahtnurmszq,pygntqzmke,0.353
-170,plaidimtyk,-0.354,0.037,0.081,154
0.165,CAt,twzeejexcv,gfkevjgbpl,-0.199,0.342
0.3015,-781,-0.436,893,479,xssbhuvfqt
-0.2305,-0.338,-10,rjjihywcnp,0.162,0.0595
-0.3225,352,llloymcdfo,-703,gpczkeqrws,0.303
xjhrioslun,519,wpmieqnmoj,doG,-226,Cat
kuvxmkoucv,343,dog,0.348,-0.1055,hxnzrtyokn
780,-0.2885,490,qcxjqthwgs,-0.3355,ouhoviduim
dOg,caT,shfubiybtx,yaxjhgdbce,-126,-0.208
iywnefmwhd,111,-773,lvycvrcade,jkrklydggj,DoG
onuxieiuyl,994,0.466,-0.2975,CAT,537
ggwaoueceq,0.3875,bqhcswyrrk,0.0505,-0.151,-0.407
-0.026,-0.038,mzlofvjzvb,248,-479,cAt
leijftyije,0.1795,644,qadbozzaic,447,0.01
868,qrqnowbuaj,-0.2225,dog,Cat,0.1985
fhxbreezwb,-937,0.002,-867,-239,bdnoyucldb
0.206,-314,roiczamhjb,Dog,0.175,-0.408
