xzqwdhtrta,brocstjaqd,kmvpudgyvr,okchbqsmbw,yxycyxxnze
-0.1615,crpulctexn,ynsbfyktym,duwwjfcxld,-0.3165
qcsbrcdzso,651,iehfqwpkxu,dgquheizmq,skhoviqiok
gibuptpazm,dOg,557,dOG,-20
-0.245,212,CaT,-977,dOG
-0.2295,tougqfcuya,jqkeodelts,-0.195,Cat
-700,-0.137,frqtgiktuc,-410,952
355,DoG,0.061,0.0365,299
CAt,novwetgaht,knfhxdlpdk,-362,dvoeuszbkb
-0.04,-369,0.485,lksevpbbbs,0.165
DoG,dog,-9,caT,-911
waqmabkzyv,cxyqoeevhk,qzrnggkgpy,0.4565,226
0.0185,0.2165,-205,-0.0515,ctvfywtdrx
bxnrfljsgf,0.277,0.3015,dog,-767
38,564,-0.41,139,iwrdoepfay
dOG,rwqmjfjdpn,0.107,vtisqyqueb,0.4695
rjdwozgvzt,zwuikvdgjp,0.3235,65,-0.4245
-436,ekhdhfoqto,368,-982,895
0.456,cat,cAt,dog,932
dxnsgxcfrk,0.247,-380,-136,mojzhhwxbn
0.3845,bbdntiwuow,-288,-469,ckhnxhkmlz
0.186,kkvzvcxarb,-878,-0.1825,cAt
deoxvubwvu,bjgababpon,790,dOg,cAT
vgscdwyhxf,0.029,214,mgwothiequ,fxgccezcqs
-720,CAT,ishqvtcapl,792,cat
cAt,klzrwzozpa,cat,279,0.368
805,odanmmeinv,-902,DOG,0.2585
-580,DOg,-0.3535,926,-297
692,wvfwwyuvih,726,-562,-438
0.4475,dog,-0.2275,0.1065,pdozchzwni
teednpjaqe,0.4175,0.191,0.1835,DOg
-0.189,0.457,987,-0.429,xscwuttjmd
syzqerzfqg,-0.1685,qmjrkmztda,cat,jfdaaiycdk
-986,CAt,caT,vqlxueqwea,Dog
dOg,DoG,aphzuhyqdc,-0.4885,0.2535
-361,-0.005,-0.0805,CAt,-0.1175
0.197,-284,rlffqquxcx,-0.0135,646
cAT,0.3485,-432,-0.1325,227
Cat,-82,-0.449,caogwrkqni,tndijvhqli
Dog,tgaqqwrmkf,DoG,cAT,kabvwobdab
-0.27,cAT,275,gooigltcfj,-0.111
-0.1015,0.0715,nzxawlkzdl,-0.257,241
cAT,93,218,cat,243
cAT,arhuajpnlt,0.3805,-0.4545,-0.202
978,idwmwitvle,-0.394,-0.396,twjkvajpua
gileuhsouu,-992,gkfzvgnikt,dOG,0.2225
0.489,0.0035,-206,-838,0.127
rfyaiyyivx,150,-0.4815,DOG,DOg
dOG,-572,wqdntvvktt,687,gcxrzvpytj
-140,xmehnusukz,dOg,ktcvlgolsl,-0.019
yeuxdcqqgr,-920,uejevzvwef,ytogwiaiyw,ggjdunlseq
0.3645,xptpuuzpfw,DoG,bszvqtqetn,0.2805
tubsqutsmo,-0.0595,-644,CAT,-25
ofdyhpstkc,233,DOg,rmwsxghqgx,zjxegiucgd
DoG,bglgpfklti,yrpildfqdz,sswemjacqe,zauioacmcp
DoG,0.325,-0.2395,-471,-563
114,-696,vqeybmdfvf,ehfllqdxpv,22
cAt,-0.4275,115,-0.455,0.223
dsnfedgsjl,mcurfngryi,dOG,-130,wbgedlzwvk
-659,551,pewymzhcjh,lhjjfpxmck,736
uctcpvwidl,drtziyqfgu,tafznqbpgh,oobglulpsx,wgtacrsmbb
-356,-0.0255,-581,-0.2305,3
-236,-462,dog,DOg,-0.4455
0.2995,orixvviomy,iihrjyrrne,0.273,CaT
upokwumezv,0.0835,-253,caT,tjphuqqyue
jhjziwhzla,dOG,DOg,0.1725,xqfuzmjvxt
-895,0.0195,-446,-0.312,0.41
DOG,-656,DOG,bpmizutmpn,252
-0.2765,wlixixenij,Dog,bfraofkoeo,CAt
xjtlqualtb,0.433,0.309,-0.309,viotpwynio
qreyzuamoz,-0.058,444,0.1035,dog
0.4635,caT,0.094,ywqwmgfuji,-993
707,0.198,-0.1805,DOG,0.247
-581,jxijhzmhvg,pesnnadaud,-0.2695,-0.3845
0.056,jwpjjcpuav,882,-822,tdecupcxxr
-166,-875,egfwsuqxrf,0.278,eqmpxjpabb
yfxjccxrto,DOG,jaztwmxbfy,doG,-354
vycmihleeu,-0.328,-480,111,574
htkwgmghmz,-0.065,qiivixifoy,684,zadbslmmgu
jsqanhfmnf,CAt,202,-0.31,-0.1175
592,xsuooopqpc,608,yaimrcacpc,0.0675
570,-0.4755,caT,580,-0.2475
CaT,0.211,398,wuqmhneiqp,39
-0.219,771,86,dOg,-236
cAT,qhrbcajvjd,-0.1965,dOG,0.3465
kullcyruyi,Cat,cAt,dogfzxwtkl,-743
