pzkswltzxi,gasvpfckyx,mcarogwkeg,zjurxkimpa,Pet,vzchwbzyvm
0.033,dog,lpqvcxowwb,422,DOg,0.243
vzuxfznxjn,29,CaT,cAt,cAt,-352
DoG,-0.044,muxnbsfzwi,0.3975,0.277,bhyinvcalm
vzjgdrofha,ooxihgghbr,-0.4405,0.062,doG,0.1285
807,smqduqvurc,dOg,eegfjcszqs,cat,-505
xffjlupcos,dOG,-831,375,CAt,0.3565
lbtaewzcdw,dOg,DOG,-967,dog,-0.264
-0.4515,dog,dog,DOG,dog,sshpwksbod
hhdmnhpkol,cekgvbcusw,-663,caT,cAT,0.0965
cat,nodcksddzu,cAT,djmwncfjrp,Dog,-569
bqzlwbvgco,ciweorqqec,-0.361,338,dog,-0.125
bptpvcuacv,953,-260,Dog,DOg,Cat
-607,-917,caT,-0.425,-0.0535,mdxyyraknm
0.284,tpczcujmmf,zwknpniftd,yngevwcfmv,CAt,-938
-931,58,Dog,-92,Cat,-181
cAt,-0.4035,0.2985,668,0.264,dfnddyyjch
irdxienxnd,ldidskkrio,szmyywdegp,-0.245,CAT,DOg
dog,CaT,dOg,xnzqpjthak,cAt,647
0.1635,-0.291,-996,cat,Cat,DoG
ewtiesoqth,hdyohdnqlg,0.307,756,caT,CaT
qkycqsnwzt,0.3195,swaeiluawf,-279,122,826
ecyjklkkfe,dog,-77,ojzvdxwulf,-0.3865,32
801,sqqyuvtmbr,-0.138,cjwnebdbor,DOG,wrpuybyigq
yfosbgvaws,cat,0.196,CAT,CAt,609
oqhtoffshq,wdxdaturoq,dOg,-697,-0.264,cat
0.275,11,429,-8,dOG,0.3515
648,0.2005,CAt,0.297,dOG,-0.0755
jcunsrwjmn,0.128,-696,0.34,CaT,-0.382
715,cat,-0.28,-0.3815,cAt,-0.2805
zdshftikil,-0.0945,-0.1745,yfievytbnn,CaT,0.353
334,0.3415,850,sxcsargtcm,cAT,dsnrdgnxrx
sbezwdcejs,epgxiqzvif,0.284,ozeuoxldcv,Dog,-0.3795
-45,-971,0.4675,iyoretcfhl,DoG,cewdsnzlnm
ydjnfdccyj,hbohrwclej,phgherapsq,dOg,DOG,8
-7,-401,-0.415,-176,-239,Dog
pedeoqdkmg,0.216,qvuoglsdwm,zehsltwimf,-0.082,thscfxezok
-0.375,iqyprnljby,cwmhizlhnw,twgpkfzxba,DoG,0.3085
DOg,dOg,0.145,0.194,cAT,704
dOG,coinhcuwnl,brdbghzcxm,rfhtkuvtss,CAT,doG
-0.119,roiwgtbcxp,-0.054,gvjngubpkx,CAT,zkhegqdxnf
-0.245,flcmujiamn,432,-0.095,hfnyvvsbwl,DOg
988,437,bsriidbtjq,cAT,alwzrmsuih,cAT
stzcciwlwe,xfivdmmger,caT,dtfxoekzin,dOg,doG
556,tqefymckej,0.0095,CAt,Cat,dog
0.366,dOG,qdabrihwuw,748,-0.018,gdvfhixkln
87,cAt,doG,jzkplcjgif,DOg,599
Cat,0.1895,azbfrsqzed,rjtrsefkzc,cAT,lggntvlken
csrwzcbixi,-28,245,0.2245,CAt,-951
cAt,culdhxhbuq,cxjiktfbjb,0.1215,-988,0.168
imcyxhnant,0.0265,dlydfsqnat,Cat,cat,cpocwbmkch
0.066,-934,0.186,37,cAt,dOg
doG,0.166,-577,-0.017,cAT,hnfqrgkykl
0.2315,-0.349,dOg,829,0.129,dog
pmeqppzvrl,-0.483,-159,0.1265,cat,-0.243
910,0.4085,-0.338,978,0.081,339
-0.4115,-0.3945,500,mexdeezlpw,caT,78
0.008,dfqslsfdyv,oabpxcdmwy,tqnaxnhpnb,Cat,DOG
