dttzjbiwkk,pEt,vyexhpbfol,tdyayjezdf,jijlyumleh
qakqgkxuxu,doG,630,wrevurartz,-519
DOg,cAT,401,-0.3265,-0.3415
0.335,cAt,cAt,CAt,-313
0.0135,CaT,bjxhqdsssi,658,fumqdxzfga
xidoqjknoy,-0.0715,-478,kyxyvtdqlv,CaT
-0.116,-0.3515,dOg,-873,391
DOG,CAt,CAt,zgrnnfdjnk,459
-0.373,0.163,415,93,uxlactjmbb
cehatrjpmw,dOg,CAt,255,-967
dOg,caT,xczhcmjcbs,0.4585,0.0005
-648,986,-918,-0.3585,wfmdnhoywf
ctqutovuxm,cat,dog,0.444,-0.4705
342,DoG,-788,-292,0.0705
740,bfltxjwbpf,efffwzmwhb,348,xqwvcyzktw
ayrvnseqkl,dOg,0.236,wkyalmshvw,lejnwiscnf
-0.3695,DOG,DOG,pbypbptacq,qnrykzcihw
pntfupuoje,DoG,178,qzntchizus,lxifiyefmy
lohrligvdo,DoG,caT,0.33,dOg
0.1745,dOG,788,doG,dOg
0.0315,CaT,0.0745,DOG,0.232
-995,Cat,0.2115,-334,gqpsqebcpe
rnuxxmimgm,ctlqymhgtw,0.054,dOg,CaT
334,CAt,sqjmathewn,188,261
329,DOg,vmztjeiimh,-0.0005,0.255
diqthqasly,CAt,lqiyhjjako,0.4335,seqkhnmjhx
DOg,CAT,dog,0.235,295
-25,DOg,0.4305,gisuocgddi,-249
394,-0.1925,xchxldcibl,twzlvnjhwr,-607
avuiigcjvc,caT,0.3215,doG,-0.45
-0.2095,dog,oohnesylmk,caT,0.2745
najtarxvnx,-0.2165,-104,0.261,-944
wonqdlfnnd,caT,iqyerpeico,0.103,-712
-0.0545,gqvomnfdjr,doG,fgjbymrvze,qxtlfzpcnb
cat,caT,0.3735,DoG,hsdcawmrbv
miyrhtndyx,-0.0705,0.2395,sxqqtyegts,151
-0.0145,cAT,clktqcexhf,huiilyftow,542
536,cAt,dog,jxqjdemspi,23
cAt,DoG,pkygbyzrhh,-0.172,-523
-994,hueqisslpx,-0.006,kkhbyrudaj,hkmvcshuuv
ucaiyjbrgc,cqdufxfklx,0.0295,20,-238
971,kvvwlkeshg,CaT,-0.297,0.392
689,caT,-474,upcxzsqdeq,-0.0015
335,cAt,DOg,pysxhutupi,661
-0.322,Dog,-617,17,-177
webyfplcvm,doG,0.39,-731,vxetlyuzvy
124,Cat,-962,259,Cat
wtcpbeahco,DoG,784,vjedyfgshe,peaoduhvfo
0.0085,cAt,nqvgxhwwyy,309,DoG
-246,DOG,cat,bshbrgkmeh,0.0635
-119,doG,-0.3425,CaT,dOG
jccypkkdzq,dog,khhrxashif,-0.4225,0.173
-487,DoG,-0.2875,286,CaT
DOG,doG,mnvbiqtvui,dOg,hapkfdiaos
qrjxcvsdxs,DOG,-0.0745,999,doG
cswskydkvm,-629,vmgbxzejpv,-0.0655,-0.45
0.187,-734,yxrmmrgqdm,0.2965,DoG
qakijxzsef,DOg,vuckabeced,103,Cat
wcaaoicrdb,DOG,939,mrwtiouocm,0.4255
-0.2385,583,zbslqzaihi,kyjhdakwvr,fcxuqaveww
doG,16,Dog,635,-498
-0.234,byhnnqtism,562,0.167,0.023
-0.374,DOG,cat,ctdcehtbko,751
-859,CAT,0.097,wnoixlgswk,-322
cAt,0.1295,0.241,dOG,dog
456,doG,-626,dOG,-559
-153,0.174,vlgehppwgs,ksvbbysuqm,926
cAT,DOg,-0.059,0.4275,cdenvsdudt
-407,CAt,619,Dog,0.368
CaT,CAT,qczjlhoffg,dOG,caT
-927,cat,0.263,lisozkjhhq,523
-0.3085,DOg,0.0325,944,foyxluttmg
