ypsanbgyla,vwzcuemkei,gsdrasgbno,mnstecvfmy
-89,caT,yxltcdqlfi,-0.15
alrmqqnoaz,553,-0.4295,okmoywyril
tfyxzlfwse,0.3925,CAt,881
0.092,DOg,wgmblotuej,-283
374,433,Cat,-0.358
-0.065,DOg,-0.29,0.215
-248,824,-0.1815,-132
cat,lnpnvcovii,-278,-360
CAT,cat,caT,-248
dOg,-0.3375,DOg,-862
CAT,-704,ojhvpxmbay,69
nfcgajngwm,ooddwtvhes,caT,bvqaqxwzoi
0.09,0.2685,-0.4695,vlomxtoauf
DoG,631,DoG,-151
pwxlsbrzql,0.21,dog,0.116
0.3835,0.402,-902,iwbyswtrtj
186,-0.093,743,cAt
dog,0.24,-163,-0.3915
udlkwwbatm,ipkmetnfkn,CaT,0.4035
vlzvfhcghm,-0.1345,-649,-98
-0.4355,fsqbzjtbyt,-220,oannxblwra
-0.2425,799,fhzuvgwjpm,-104
0.177,doG,-0.0805,586
efkjcvlegg,0.1025,bavlgtaqlh,0.459
cat,0.074,0.2,Cat
yxwivezevd,0.2235,ggvengihyv,-0.3485
cat,cAT,poxbblqhip,vapdhilzah
-0.0655,DOG,534,dog
dblfmjhvjv,doG,Cat,-35
0.33,766,dOg,-0.048
doG,cAT,796,dOG
-8,dog,669,-276
0.05,-831,dog,-0.343
-0.1455,xkcpyocyux,Dog,-0.1075
226,0.4845,0.085,-327
itcdrbqmxp,caT,hdxpzxzgjh,CaT
824,kgwkvgccwy,894,powgrruwwp
ovytufnzse,tqfohkhkmb,sopzgpxoqq,lwaneomwez
282,vmlqdhhkvw,CAT,-282
DoG,0.149,dOg,252
-957,831,ddxevyifsp,-0.4245
goqbcmhkez,-0.061,mhafeqzoui,dog
-732,-878,832,0.2145
yyaexugrvu,225,905,656
-716,nwptbcpxds,-0.479,DOg
98,143,758,augqyxfvhq
-0.0665,CAT,-917,doG
0.154,CAt,tfyeroccwb,0.124
-534,zwfsocrsco,xnkgmeazxb,psxpbimgqt
dcxdwladzm,-0.2175,ahazileyxi,-0.207
-306,Cat,-0.1815,jmxynzvjbw
-63,-0.027,53,-0.4235
CAt,-0.115,fvzoerjzho,0.4755
173,-0.427,-381,-0.3375
hoesrfapka,0.4415,wtewbhchxr,360
clwijmiwyq,ownoinwpbm,dOg,272
430,-968,-0.334,888
0.0435,fcxkfbsqzo,cAT,epebeymhth
922,CAt,-687,741
-0.013,0.1475,-0.4545,cAt
CaT,0.0575,0.108,438
551,dOG,0.2915,-0.3425
efcrxmqzhm,-281,-0.4515,boikvjdmlb
768,dxddsrsstc,dog,-412
DOg,htqmkmjjeg,-769,562
-100,-439,140,-0.3965
-0.305,-551,0.4265,wtrlawpcdy
-802,0.0745,436,DoG
0.3005,rwclcqcjtx,-0.1095,-189
674,-0.0065,622,cat
-0.4345,wbsjotwfrz,0.0995,edztdaefvl
0.4985,wxdwfkjkwt,jelqoisdbi,caT
caT,-0.1225,-487,mkplgtvmha
-854,-49,fjbbzizsyx,zkzvsdkbfh
209,-393,cAt,627
-965,-0.416,onwtdtjkbw,-0.06
0.302,lbfaxzecav,DoG,-0.0785
pagonygxzz,838,dzazavkukh,-989
dOg,yvaaynacml,epsdtdtkbk,tdyyhvfkuq
-0.059,Cat,-0.0795,-0.0745
