ztrhfszmlp,svdffibwfu,PEt,dpkojabltd,thedgcinvi,sdmhkupxbd,berdfrdayz
-655,wmkjkrmyeh,tgiiyqcefy,-245,-965,-356,-0.4965
cat,uxrntbehdk,-0.03,418,Cat,dOg,czeaxzfugl
275,704,CAt,mvgvelkwrp,0.4925,zhutmhxcpp,-0.275
gviignulki,xulpxuosye,DoG,Dog,cat,DOG,Cat
-0.4775,-0.218,DOG,dOG,913,-0.329,-30
-0.2155,DOg,cat,-0.19,706,-465,-0.3685
-0.4995,mdsnvbszyb,DOg,-0.1375,-0.056,dOg,dog
cAT,-700,dOG,0.255,-822,CAt,dog
-0.1325,-0.1885,cat,dog,0.3325,wkuokjbuwt,Cat
DOG,959,Cat,mhxvsuupmi,-176,0.3075,-925
-0.2165,-66,doG,826,265,-411,fhwqyyhxto
vprttisxee,-782,989,0.359,cAT,0.267,ivjcgqutmj
ufqcdiramm,qkvjquywop,cAT,-147,vhqkhhqczg,ngdyclihgd,0.086
gpynpcrooj,kjpcuihtgl,0.174,0.1205,-220,-568,-445
-936,xkhhhhaoab,0.046,Dog,900,-734,-80
xoqgavxkoc,-0.1235,dOg,386,0.3705,106,-385
9,-0.073,Dog,481,vrgcfroidb,-0.2115,-0.2065
265,vzkeunufdz,DOg,dOG,DOg,obbyiwefvf,nyebpmtoau
rprsnooiwx,szijnawlqr,zrhdalktew,0.3935,rtlmqbwfrx,948,-0.427
-493,ykpuafqrbh,CAt,Cat,vyxyexnplo,srgnvruaol,DoG
0.361,-0.346,Cat,489,DoG,doG,-711
879,58,CaT,445,cejxsskyfd,-750,ifcrnqbafu
yxjomhlkgh,CaT,dOG,ekesogalqk,dOg,871,-279
571,koywtiatow,djttaqhekv,0.21,kscaiuywag,nazuiajguh,-545
cat,72,0.057,mtxdmapero,0.1395,DOG,cAT
voewjykvhc,413,dog,-240,335,Dog,320
kmlsezevjl,-0.3225,-513,DOG,crafsbcaat,CaT,0.305
gsqvtyiqme,bartcexrtw,CAT,pdjfdupqxp,-106,nwdisckykn,205
0.288,307,0.058,lmbfihfsts,957,0.2945,-629
zrpjzlkhee,-0.206,-0.3095,cat,0.3055,802,doG
0.405,-0.2735,-259,onwzewygzj,676,huujdsahyp,zfrmlkamdh
0.082,-421,dog,dog,ldbytyxayi,0.258,Cat
-966,cat,-22,380,mlaqymxvzo,dOG,tucmwzaukz
-935,0.13,DOg,doG,-580,aacjaopezy,joejfyttxf
-0.253,Cat,doG,xgklzxukav,0.2795,-0.243,rstnpogoen
451,-0.4295,dOg,eatwrkwwkj,678,-0.5,-0.448
-0.288,0.0225,CaT,-42,xjdexildfx,frxkhpvrec,546
ssjfwmbhad,0.219,DOG,-0.4275,doG,-0.3535,95
59,sfwawhtzmx,DoG,vkorkovcpn,zcdgpjqamd,mtjpqooxou,0.091
-0.4835,0.294,cAT,-305,-0.421,-0.194,hlktdnggol
-961,791,CAt,DOG,0.4525,-0.461,zwcdelptkq
wgqykjwree,-0.2505,dog,rzfyjdeuut,cAT,0.33,0.259
-450,zcfssjjkus,dog,razouvcjex,CAt,0.2025,-0.265
-0.029,724,DoG,zigzaaomrb,704,hnmqtiofdp,ksnazdguwl
-62,pjbjotejfj,cAt,0.074,wwnmscdqml,cpihlrdvmc,283
-452,dOG,0.055,-0.086,267,-0.1435,CAt
-0.2995,CaT,doG,rsvkpvbkry,CAt,cbxtrojvuv,dog
dOG,aexoopbknf,CaT,912,-0.4535,-0.0165,fgygixybip
DOg,614,dOg,0.2875,fckkagtwua,-0.2265,852
yqouwpnmiu,cAT,Cat,cAt,vpzpxwdbxm,-0.247,fhspyvyukr
-261,CAt,0.231,0.2925,936,dOg,CAT
qjhwkuarry,-0.328,dOG,0.178,cAT,-547,tpvxkdcqay
