tohaigxlwk,wbhfytlqui,mdhlupxfeq,yaobwlxfxe,tnajhkeotk,pEt,hxqcykniib
whptvdmcom,180,dOG,qwrbsavwbf,-0.2645,Cat,-0.087
mbcbmnruaz,caT,slqgqfwtfy,cAt,0.119,612,-0.307
pybhoqhedb,0.365,DOg,0.188,-0.495,doG,940
-0.3945,0.1985,lsaslfkdiq,doG,312,-192,ulszdttqoq
CAT,-0.1545,0.0995,Dog,676,Dog,yghhhvmcdi
26,-240,Dog,-497,-0.118,-0.01,CAt
279,-235,0.3695,CAt,-49,kqehbjiyym,ghvrymqxiy
-738,cAT,olyhtqimsz,705,icwvjslueu,dOG,-0.1055
295,qyarodbijl,dydljckwry,0.302,-935,doG,teezyumjrw
59,hpcaxbrvth,vnqrwxqjme,yjsexddhvt,623,CAT,0.0085
-38,-934,cAT,Dog,ojigykbhcw,doG,pnvjakkuir
-122,caT,124,-479,-0.414,Cat,byfkqjzoqn
-193,iemngptxba,0.1085,0.0115,0.066,DOG,842
-0.4505,-347,wyxfpfiace,0.34,52,CaT,0.3995
-0.305,-590,doG,-254,CAT,CAT,dog
tjghbzozmf,Dog,-192,sjvrebuxio,996,Dog,-132
-105,mbhhfymuew,xliepublpd,DOg,sjhgzwzkrt,-970,-0.458
56,-0.43,alkqkhiovr,zveobinfex,ogzimzzloh,DOg,pnxqqmtixj
dOG,311,500,-0.049,-0.291,Cat,0.0875
-0.0455,cAt,-0.3395,-713,fsveizyjrs,hvqjrjsigi,532
-0.289,jiieqojhng,kaqfrewdjn,0.211,mblohqqqte,cat,CAt
cat,700,843,svihdwpkpy,204,CaT,uwkxptbbmg
807,292,ywtexuwsaj,16,-0.0295,dOG,0.4925
-0.107,kjftknvecf,-581,eavbstexuw,-0.117,Cat,239
jxscvkhaxh,-0.409,886,-0.08,0.333,DOg,isouqkyoui
185,-0.3525,-0.0105,vjcqrpvnqk,CaT,29,0.458
-0.2475,-995,gunkkxqqpd,0.304,jpaqmszhlp,Dog,-0.2075
hzjexekvrh,lygftsqctf,dOg,-179,-276,doG,-835
0.44,-0.128,-0.2625,164,ezifkpdktc,dOG,-219
nrdnvufhqt,fxzmsozmcd,-468,quyridpasb,-0.167,CAT,304
tfhhapglet,567,axeggcmhqh,513,CaT,Cat,vtsewexcgt
olwixgpbmy,xzeqqwldox,592,-0.1365,caT,cAT,dOg
-318,0.31,cAT,DOG,-71,0.034,0.0905
-432,Dog,jlgufkfoas,-154,wsppxwqvey,cat,pgdmdgecsj
tmfrpyzwao,0.125,689,955,957,dOG,-755
fzjyhjlytz,-0.1125,0.331,592,jhxcwfuuja,ntibaggore,dOg
cat,311,-989,DOG,pzbyfqsizr,cAt,-73
0.338,drhsbhvmun,dOg,doG,vjmndujtzb,Dog,zdwvhdqfoe
DOG,-0.471,caT,CAt,-0.123,uonaedfumc,0.1135
0.368,atvdushblo,dOg,slbdvyrhtr,ipxatimgtd,cAt,-630
0.2755,-0.08,-0.309,-0.258,-337,CAT,zxujwkmfrf
0.087,-93,-0.4015,618,DOG,dOg,ioakgxxzkm
dog,tvsihdisxo,0.179,ifviaujots,okwaqlqhep,cat,eanrigtkkt
rgkuarzmgg,0.3845,Dog,-0.3645,dOG,dOg,-0.1905
472,-0.199,CAt,0.192,-0.245,uduilsojvn,jqnddsewft
oynrfejdwt,-0.105,0.1655,410,nnirjgsuwe,cat,-688
CAt,0.252,wwccqtlzjr,0.074,-267,0.1165,CAT
-0.2355,262,rycyrfjydh,DoG,dog,CaT,vyhtkavyeb
weohmbvgzv,jbtzgnvdhz,cat,0.0625,lmtkotikmz,cAt,766
-0.2935,0.329,-0.372,0.4555,-0.2185,cAt,dOg
srkffsshmc,0.4625,llieknkfqu,peyzlpmduw,0.4485,waljroebcc,248
-534,CAT,-416,hewllioskn,-297,DoG,437
-438,dog,Dog,233,0.496,CAt,-919
wdnikcdcrs,0.0625,DoG,0.459,-0.3055,dxvldknidi,btwdqdrkuy
zygjkyxmwj,-0.345,evuzphqzdn,-0.2785,khdvdfouuu,0.4035,0.431
-190,Dog,-0.4205,0.064,0.459,eozogqerrp,hfntveeuvs
151,-225,436,73,0.172,0.433,395
Cat,mopdenryvv,-444,yuztmpglio,cgrnwursiz,dOg,-0.387
-624,zsfpffdkbz,-0.3575,Dog,0.4975,doG,CAt
lbametnthn,CAt,CaT,sqnsiufeky,wqvhohdvkn,-611,604
nztklrbini,-0.1605,caT,0.2145,uzncbtdccm,Cat,-0.331
572,274,0.396,strnwensng,sgfspguoif,-0.397,kskneknsja
fcuaccmuxr,cAt,59,xitflwjdas,anecqbconv,doG,674
sthjuhbrzt,-0.057,utmtnigdgz,-782,dOG,qzhxxosepk,886
vmvtukbzxf,CAT,zmtovfxaro,0.1805,-659,caT,CaT
-0.127,839,sbmrdhjkco,-759,ixbloeynkz,hluaxsqhyd,-0.498
