beanbolers,xtqaoplflv,mqbahzbnux,PEt,xzdfonmcxi
-687,vomctpgpyc,0.153,DOG,366
-775,murzmzsqfg,-257,CaT,841
cAt,dog,gnonlrwinl,CAt,0.0385
0.323,dujfklobzt,0.3215,DOg,447
676,Dog,stnvalfkxj,320,-765
-741,-181,panyzobzks,dOg,-0.444
znokrrvxjy,-0.4475,-0.058,CaT,-0.0535
xhgbyohqnm,-0.0705,-834,DOG,husykjidmf
ycsbbgvrxp,uhnuvtwhse,dOG,0.108,rwphegftgx
knehdcnfbu,ppcrlcvlwz,hchehnkgkb,cAt,cat
0.357,uzeutjaplm,0.1655,dOG,vvqyimpdxr
dog,-0.494,pvutkmxkgq,doG,-0.44
cAt,xyxhkvkwmn,DoG,DOG,-624
jieiypqjsa,-506,DoG,CAt,0.13
CaT,neiekjqtxy,873,Dog,sthpkhnitp
-0.467,-266,0.2505,doG,wwzeberfkq
-63,0.3845,-917,doG,-715
-412,urhtufzkxx,venbysozjs,caT,raxzftobef
0.458,tmdcxweqki,-0.4835,-0.2585,0.208
cojeahadtd,-522,997,DOg,tbjcubtuzb
-0.286,0.054,0.309,Cat,kayvkficqm
0.468,ndaiikceuq,hfozyxflnk,cpugkbqcsa,qilsitwxij
dOg,0.037,870,cat,xiltfbabne
-0.284,0.1055,0.0065,DOg,cryomkrzfj
zlkjudinnu,631,109,dog,-993
-857,CAt,fcsoigrwjv,doG,qmrsocigbk
