wpsgocdtcc,szhqxuorkv,xzctofalgn
-0.004,wrmwykvajv,ylhbcvsexr
ncowebtxex,624,512
nginuxgxwx,-0.488,443
cAt,zptntgnyoj,406
uyfemzjifm,871,-527
-180,-0.329,-735
-0.4485,-446,107
0.4365,dog,nsxtizjkdm
422,0.187,fpquevccpp
dOG,863,isfoeznvwi
dfcttfvujo,-0.166,zfnrezhfcl
-0.042,-791,20
320,cAT,kykjkiasra
DoG,587,iokogzdkya
-623,lqdudlsupe,-0.1755
-0.492,0.174,-0.1985
DOG,-157,101
778,CAt,cphpusrbkk
-0.1575,-616,yvaxmquhwy
0.106,-614,hwbjgnhfqb
qhashktish,Dog,0.101
0.0515,DOg,0.4795
116,785,kairejfjbs
vvtnmxdlxq,-16,470
-90,972,-0.167
DOG,0.2285,-808
-95,dog,0.287
308,-0.113,0.489
-573,-41,-0.477
-436,-0.283,-0.144
-993,CAt,cat
0.289,-6,0.3
0.365,rympgzvsxq,49
caT,clqeizhudx,-0.373
223,caT,64
-0.144,-828,asfrzkjivy
-0.11,0.4025,0.306
-0.3565,kdnuuhemtb,94
-181,CAT,-603
-99,-299,-731
-19,172,xctlyxbpqy
gzlsmbvaue,DOG,ffctilqizu
-0.4095,-0.215,-123
mobfarzcmi,-0.4985,430
0.2125,-506,854
qpklzvzuqt,Dog,ekgywwxbqd
-0.1995,-0.254,556
pduszorkor,vcyppoimey,okbelvxfbu
-0.139,888,280
ydeduxtikv,dOG,xzxssdusji
-0.483,-0.2085,-0.361
-664,-8,cAT
-0.411,744,secggovxmn
527,-298,569
0.346,-22,0.006
304,cAT,0.1775
CAt,0.2065,0.283
-0.1065,CAT,-0.021
dOG,ugtrofrkcn,cAt
-0.2175,-551,60
sccnkmxzfz,ohzxbxfpab,417
0.215,jdcghuzsgr,pbhtrmwmpf
-156,800,DOG
806,gawgshbexs,502
xokjczwjzj,Dog,Cat
-76,536,-0.401
-222,-95,0.057
DOg,263,0.139
Cat,doG,0.399
-0.0695,ilkagoaxpt,-48
609,0.017,wyyklolxls
-858,0.485,khmolujhkt
-0.297,-0.0665,719
vqcagcuqbc,0.094,lbtolustac
-0.463,-0.0115,-816
-769,-0.229,rgupeueskj
136,0.329,0.4425
-446,khkykdrrlk,678
ylynvoirjs,Cat,-0.417
0.483,0.11,0.167
-829,634,elobcetgir
CAt,frtjrpyufo,CAT
zajqiddxwg,0.004,izabjusswm
-0.3565,467,ljrmlvmnyb
978,-0.1305,-0.2655
0.253,DOg,466
0.2285,186,0.109
-0.1245,Cat,zchzjfzyrb
708,foxtkwrnwf,-0.031
501,-0.2505,pngzuutxeu
-0.43,njadlkvksd,104
-0.0095,0.2855,acjrbuvyap
azzkropkjw,0.1765,qfvlwehvek
udayskqxgu,-413,cAT
0.1785,58,0.0655
Cat,0.2705,144
