kgwdaaycrz,rqabuubrud,qbqcfddnua
-34,CAT,ndljrxnsxu
evacinzhcf,628,-861
-518,cAT,-800
-0.3225,ckrzvaoofj,CAt
yxthodtpiq,-0.365,Dog
uuuqxwxccp,xjwjqruqun,733
niuyznjduh,-971,-929
-0.118,ajxpqgzgxb,-0.306
582,144,caT
-0.376,-0.366,-267
-0.217,bfzbrqxhgp,Dog
-0.0235,908,dOG
-258,0.1695,ikasqbemxv
-0.426,mhzddaunns,-0.0385
-0.0255,xukvcwbvlu,doG
euxgtpjqjs,ohpoxodfxs,qulusdezix
kgdwdeilmy,-0.007,mwvhzzjzjb
788,0.2815,694
-219,0.494,222
0.4475,-330,pmvreanibd
fqlryzmomc,-302,-457
iwiifsjukw,wjuxgurdbc,-0.0555
-507,0.0095,877
0.2165,419,-0.271
dOg,DOg,0.08
dOg,dOg,-929
riccczmovr,615,kdvgzuviii
-587,106,-0.1265
ejmjwxcrbx,-39,CAt
-0.372,0.128,-0.422
0,ebegsibiud,0.257
63,0.385,-0.294
-543,-161,-0.318
-0.352,0.254,devqvhejhn
DOG,pjejytyvwq,CAT
cat,qkmrfwrlto,0.041
dog,gymawbhyjf,0.2375
npucyiywur,0.393,jfuekivdcp
