yjvdfpcjwz,qdqugsuxxy,jkyfpwocvj,isnbrjaytj,pvqqustjmw
pkblatghfn,-83,5,-633,-881
ywzmkqojmp,jfukdnjoud,-0.346,fzcpgmynha,Dog
DoG,0.1305,cAt,jcvwxgyywg,bocdhorrge
dOg,-688,0.3635,-33,968
CaT,-0.1285,cat,-377,-956
kxgxfmlccf,173,519,-0.3,587
caT,fqbqisdacl,cAt,-0.4275,-205
0.201,anpqhpjbsp,CAt,xqszhshsbr,DoG
dlmhuqgsnp,DOg,303,kozjmofoic,-145
Dog,890,0.3165,mfgbnuzpcp,Dog
0.2515,doG,dog,doG,312
cvvlvhawgj,xbumxacfac,wcvnrrhkcc,akxgbaytjp,0.1255
DOG,caT,azjgdsxjgp,yhcknwxcus,pzypodaemx
cAT,cat,-860,-440,oirnlwrmzj
bsqjcweumb,oqkyoesxjg,knvrgzxrgz,0.4335,cAt
hcinbabffj,nozmqjjiln,kiipzuwttj,DoG,0.372
0.3955,DOg,cat,caT,604
196,igwcrpfxng,-364,zgugktlpuv,0.3625
lvrkuvqqie,261,0.053,ppngycdjpn,101
-0.4615,cAt,-275,-0.2035,mujyexexmz
czruyxtgvm,bxrxewmtxp,-350,-0.225,911
lbjfoutyun,0.274,CaT,itlchettud,CaT
yvhdxnvqwj,dOG,-0.2075,doG,127
eiinbqpusp,265,eqogsppfhv,-732,-0.3785
Cat,582,288,DoG,clahurgoee
0.0095,CAT,0.365,-0.042,DoG
dOG,xpfrajarci,dyyfwayoxu,ziaztyvlyi,0.3025
uqhdnfgmjq,495,gfoyrjpoml,fxmsopsnjs,392
Cat,ewwdpksczu,CAT,ybwucyngsh,zujjmcnprs
716,0.233,Dog,0.265,0.1505
