uqfodfklsz,uuvcgpqlom,gseeklwegd,nffckytuuc,zgjcbwjnxs,hkwtyzbdsk
-0.435,caT,Dog,glbpdrchbc,rslyzpymxy,DOG
vhsgepjkcs,feqhzugjpc,cAt,-893,-0.2565,ydzdtwajrl
jcbcpjarwq,sfatfhilzb,DoG,0.281,-0.149,-0.31
-0.394,966,555,xuvrmvnxzq,0.3645,-0.0185
-0.113,-260,-0.146,-472,kraavzeuzz,-0.3535
-0.049,0.36,264,mclfdhxnzl,ssgmvwuyoa,dog
DOG,-0.213,vamitqllpu,gqzpofdlam,714,-0.387
-0.0695,-588,0.11,0.017,-0.0925,926
DoG,CaT,545,cat,261,dOg
qnujdcsqip,dicedutrmk,glfxzzfvni,wgmudmmoie,674,DOG
jvimkgdkuq,-0.104,0.0495,qgdkvzxafq,kmfyrvlzfv,-989
doG,462,169,0.473,cAT,-0.468
-912,0.3765,191,Cat,-0.006,-125
xurjxwxyzz,980,jzdyyymihu,-724,sregtdyxsn,605
pymueokgtv,-0.366,-0.274,0.2525,-27,pxjevrmqik
0.028,-952,-53,rjgngsbbxr,433,cAt
dog,cAt,0.2285,0.053,wmsziqsvqj,-0.149
-173,xuneogekph,-975,0.4085,0.0695,-0.3275
0.3515,816,0.169,shwvwxkksk,435,0.101
-326,183,-0.2515,387,211,0.0815
6,416,0.1195,dog,0.273,237
yngqwqdwwj,DOG,ubyfpbblwp,0.0405,dOG,vcmquwrgcu
0.029,wrtvyfntrb,-0.226,geoqdrrlpd,doG,-0.354
-0.2495,-0.1495,826,467,-0.2355,CaT
545,imzxwanson,odwfahsyhr,351,cat,0.347
0.323,nviftbydeo,-0.016,xeguxvxyav,gklzhqtcyg,Dog
omxguyonlo,0.0395,447,0.302,caT,deilomjuol
51,-102,657,743,dog,qcheqofypd
-0.3095,-0.1945,cgnieqbtyn,-0.395,dog,cnvtsmodws
cAt,DOg,0.343,0.474,itcyyxcbbw,CAt
0.126,-173,CAt,-0.3745,-0.147,-0.1795
-0.4005,0.0765,agwvtglrhk,0.069,30,0.1215
DOg,-471,0.0545,vmmgkgjfbq,ahzeopsutj,-683
719,86,-464,66,-723,CAT
-249,rgopmxtymr,484,-0.279,0.3105,nlhjdakzbz
gpipqqbpvg,-789,DOg,-0.0465,-0.3545,0.182
pnbndxcaji,-0.4495,0.091,0.0065,-0.121,-0.3505
-0.0095,xyiajjnpau,96,-910,hzzxajzcll,0.3545
-0.0095,-358,0.4135,Cat,191,-0.233
-198,163,-143,fwljhfggka,-207,ykkylyxglp
