hiuxdrydsz,vmghfmuszl,gecrqhdcst,exeexalfgm,iuelpvtfwv,pEt,hilahbfoyh
xvpwssxmzt,lhdhyhemqx,-0.15,-0.32,-650,cAT,0.304
353,-751,dOg,ayamhquqsn,0.2185,122,hsatqtonxl
cnkdilluob,613,-845,lgblikydgp,uriwufczcg,jhfmgqzwps,0.4875
cat,DoG,anhvbbwvav,437,-404,dOG,dfcrvuoczp
vflmpepidu,-300,tfnefzoqab,-263,-0.006,DOG,doG
swpxstrjkr,0.1305,aggtfcihik,42,CAT,384,rahdblezlf
zpsvrmaxjr,ebmvbxuemx,-571,herbefgqxd,buldrjknqs,CAT,0.2405
cnwnltmstt,0.27,-586,81,0.218,0.1485,-468
txsucmsehm,ijyyvhjcgo,fgdhjehcrq,427,jyqhjqsfhc,-87,iqbbwvwopx
-581,-775,cAT,0.176,qhdkteswgr,doG,dog
xqylbzgfrc,400,0.033,DoG,911,DoG,0.359
0.263,cggzofpsqf,DoG,whcwktejbv,ieojlrezax,caT,649
-918,ggmrvhloty,0.473,-0.1725,0.067,cat,otzqheymft
0.0465,0.225,0.2395,-306,pgrhjdgltt,CAt,420
0.418,sztcyrnqme,0.298,0.381,doG,caT,421
-567,193,Dog,-600,kyyxvtvrwf,0.376,0.2195
iwrrazmzbs,ykjyvtvpfn,-659,-937,judmjypkvz,CAt,630
0.359,unxwvevpnw,fjkrehryfl,CaT,dog,dOg,dukgnkwnbd
lcpwlhabgk,-259,gujslvscyx,CaT,rgbcjegwge,agrjhwffgp,-0.163
0.189,ayplcefomc,nzuwgouaat,eyclllvvwv,-677,-964,unpswmlwpe
0.166,-433,139,0.4265,-0.3245,mhtxldstlw,inyiydqano
0.3845,0.1345,DoG,-259,CAt,DoG,eqsyqmtckr
0.363,CAT,564,514,dog,DOg,64
CAt,kxyeemwtvr,0.3325,dOg,-261,CaT,-0.1475
pqfasvspki,CaT,hkyunqnbec,-283,yeqhgowmvz,DOG,-0.199
-363,qgavsmbmsv,liescewoji,0.412,-495,caT,cat
-0.016,luhrnlxhso,-0.2365,doG,-435,Dog,317
DoG,bzvblzzgip,DoG,-879,134,caT,CAT
-974,wzkjxctnwy,plaplpofci,-0.0635,0.0705,CAt,lwgzoipvbq
-916,0.324,-0.2805,686,ebqddlpwju,cat,746
0.2385,rbulfdhshh,-0.017,0.355,Cat,-0.1695,mohqvdpexd
ltbmreatjg,-626,0.352,-8,-221,Cat,-0.009
avyvvgxtmi,DoG,-0.2975,-0.1735,pesndopsav,dog,0.2685
381,0.0285,0.4305,-938,DoG,dOg,437
CaT,53,mjogqlcefg,353,-0.3775,dog,Dog
opyadfbsri,0.286,ugyehecmus,-149,-940,154,-0.417
-0.3055,977,-0.107,ebmndjjafb,0.2365,DoG,cAt
0.2515,gpfbapxslr,-0.4355,ipatufyccs,Cat,hpytfdrnuq,-0.08
wfkgdksbox,0.2255,jnbsxgvpoc,CAt,0.498,CAt,zzexheqoap
nnckjjojpf,469,ejjjctvdoc,0.486,okqbxuvhzp,DOg,-0.082
CAT,cat,mfjnxmuhmt,-0.273,DOG,0.135,0.476
bspctyuhmu,obclratluq,-778,gpxayptqyq,-380,cAT,kksvpvlasb
0.087,caT,-246,CAT,-770,cat,854
387,0.491,0.009,0.1385,-558,doG,hifawpaeyi
hkkhnkjiaf,dog,caT,0.3275,-901,cat,-212
-0.1745,731,cat,uitmxpzztj,dOg,DOG,almmdcvhgo
doG,975,vxvnqilkwq,3,-298,DOg,DOg
cAt,-766,sicmcbbhfb,rsvrypdprx,-476,0.178,266
afxxosxmip,-252,-651,0.3315,vueiwhfdwa,dog,-170
viqdwheidn,-0.219,DoG,0.135,-250,cAT,qezyowmjlv
-984,doG,lhjcsoenyy,-0.134,ycjiahipmj,DoG,0.459
gsmrgfhgpi,cAt,0.337,-175,285,DOg,cAT
fuuxglycmi,-220,uvekugnfum,cAt,-951,-0.1215,-82
-0.0235,0.0305,198,vcuodrugat,422,cat,-819
-691,zeywwgdlip,-97,bwyoaccjxd,-0.26,caT,qwnyhblavd
0.32,hgnhaolqqe,syladwuhnb,hjcfrkyeqo,-0.424,-0.092,-567
doG,0.496,CAt,310,cAt,CAt,-0.043
