iqjoptifjb,pdfhmohjnv,pEt
123,-0.144,dOg
Dog,912,780
DOg,txhnbtcrfp,caT
xxgmwgoyjl,0.119,DoG
-13,doG,0.3165
0.222,CAt,cat
0.3555,0.0495,CAt
CaT,uitfejgcgg,dOg
cAt,-532,CAt
cat,98,doG
828,byvxktgveg,CaT
dOg,oqfgtsaudt,CAt
-0.4605,-0.4875,CAt
0.4465,DoG,Dog
fkbhqvpbxo,256,dog
-850,ybytjkmnik,Cat
dog,DOg,-0.344
-361,-0.214,dog
324,0.4615,cAt
CAt,0.1185,cat
yxandzuoml,dOg,CaT
dOg,yyeiqbytzy,Dog
-0.0915,0.331,sufdmxhsox
-692,iwbyverlsv,0.269
-371,81,cat
caT,doG,0.4375
0.4975,jtajtqsudb,CaT
yeaxeyciou,dOg,-348
-97,gjojmrwaml,xujvkyeyzh
zosnohafpy,-0.455,cAT
0.2885,666,caT
-418,651,DOG
0.041,qfhxlvmpgj,Cat
onzxfbrgof,0.4545,103
-0.1135,0.4265,dOg
-651,dbyaxujasf,doG
-170,nmqbhvkopm,dOG
0,955,CAt
0.153,dOg,CaT
-0.42,pvwpairnbx,0.3015
0.223,Cat,-737
-769,DOG,dOG
ywjzxxjlwp,0.427,DoG
577,-0.382,dog
-0.218,lyefojrmoe,CaT
dog,629,0.367
dulqayhhqs,-227,cAt
