kigfneznyw,fmjnmqwurp,ivmytbwnaq,pgliywxiii,drwatcqoqi,xeqmqytlxs
lrgvjavavv,-0.441,0.233,-200,CAt,-721
-0.079,xmfmwrjkbm,760,tlokqakrgr,-0.3255,378
0.475,doG,DOG,-15,-0.48,-605
doG,qjrliqvdop,487,ktttvdbsiz,bzpojomdfo,tghosujjnw
-388,562,0.1285,-772,-0.0045,0.2095
0.2385,0.0175,310,131,-570,98
CaT,0.492,-65,673,dOG,DOG
pulzovpaqv,-436,0.1975,dOG,kpequgtxql,DOg
-7,0.1075,dOG,qneqgkkfkk,-0.1215,-80
trkymwostp,-0.2875,dOg,yyxwlaebbv,-565,-632
852,0.3925,omafdiwgcj,dOG,adljtbxagv,ffoqggucec
335,814,fznffqjgws,257,atjcckacjt,nehhhzbaju
vkzuntoszc,-0.0935,-266,iaifuiwria,0.4545,rlsykfigoa
oikncxvjyo,njlhiygkrx,5,wtqqkwisql,CAt,-591
0.3995,245,krjijkelgl,323,uqxmunueeo,dOG
-711,0.1085,kkbrbokeng,DoG,-0.124,0.3315
fdoaqjdlzp,-0.016,-772,-0.1835,-413,kamcvncvlg
mhxrfjwtwi,-83,0.0255,981,569,-652
0.165,-995,-0.1075,cokitzwchf,0.3335,-530
pbqmhhlubn,0.4685,jvccrpzmkr,0.454,fdtchyifjl,611
iglaucruqv,CAt,jywodhghgb,cAT,rpupaakbex,389
0.2145,-0.056,DoG,DOg,rvowkuuktc,-713
bbtfehbzwk,-839,yjxpuwdxpj,-191,DOG,CaT
jtvlbhkovc,CaT,-0.299,DoG,468,-126
DOg,0.369,rtmmjuvday,pwwepvnaqw,-0.298,-886
Cat,0.1945,benngrmljl,-0.073,-548,-953
-0.495,-554,0.372,652,caT,0.316
ryocfvwlrr,309,-149,-651,gjiwkiuuqg,vuupyrvktk
CAt,990,0.2045,-228,cAT,-701
0.3425,453,qtdutbcfmc,cnqyrxswst,-808,0.1575
doG,cat,0.469,caT,-0.0755,0.494
rmeimgoaan,mjgfdyrdfj,CaT,bewhqstksp,-0.3785,siocjzgzjo
ssquztkwvd,0.1035,lcakvweclz,dOg,0.4215,DoG
-326,twuelfjubz,rjjkeolzao,-897,DOG,dog
clhsjdxqoy,-0.234,-0.326,849,0.0085,lfunhpqyam
-0.3735,cAT,-0.071,461,CAT,nqlnktkupe
sdbxtptsnk,palsizytqe,0.1695,0.479,jhubpvvihr,peyoojcetn
0.362,-0.4825,DOg,483,-0.432,-679
DOg,0.168,0.1205,-0.1825,CAT,554
414,Cat,wswderhswo,-0.355,jhuwfyaiey,-228
-27,-870,-354,cAt,-488,vmmtfkdwva
uodtfzpaxr,-0.2065,cat,633,odegxnjvrr,-0.248
-0.027,-899,-136,0.4875,doG,DOg
-581,CaT,0.0185,0.062,vqrbcccwto,lsnqrbatle
doG,-59,0.377,-0.0895,-0.494,-837
59,0.195,dartosrxns,doG,0.0555,-0.285
0.444,agtdnbjbtx,dOg,-989,tglqehheyl,0.2715
-0.1345,DoG,-273,jvrsyvcqwh,-0.04,0.1885
ejnllcxcdn,-0.2585,DOG,borpsnetve,-149,-284
CAt,-0.176,-0.2765,cAt,-513,nyuaaupawf
vwugbcaydm,-901,ztjzkjxtqd,dcuxoltjpe,380,xegwhnmscx
nyjgiexfnd,-0.259,-0.181,0.209,0.096,-0.351
cbsqqyajvb,-0.381,dog,-0.072,-148,213
-0.13,unqpmhxabx,0.465,0.2245,850,dOG
901,0.23,0.0475,-0.0965,-0.458,cdbgwvppsn
njdxbtwrps,wbdopzhegx,459,kgqfvfpkhp,897,CaT
-0.22,196,dOG,248,dOG,cAt
78,-0.1035,dog,twzzbpogvs,wcspzokpbu,-760
-752,-0.1895,Dog,499,DOG,hrzlcgosln
0.4325,xmkoigrcje,-0.3955,pkokrrmnga,-999,0.417
dOg,-693,DOg,zltmmqslxb,dhmesekdsn,rpikzmuhvg
ywyxcjyrpx,-641,-901,278,DOg,DoG
CaT,wdvbttohye,0.3165,qikgdgfptv,860,ffhyzeraei
dOg,pkmwjjlene,-0.255,fbkmzpetmi,agrkfsnjea,-0.34
-0.377,-0.2275,ssqwppydsa,yhrershymu,rcrxtsmqys,-307
