gnaauirtrm,PET,clnuzdxnoi,bwthmwjrtl,atbmtpecvx,zmrgygukja
ohgbvjcyad,0.3215,DoG,-0.3985,DOG,-289
-0.1455,ydujybbwxj,-0.238,-0.186,651,CAt
ofyemouvne,CAt,0.2935,-0.306,-837,0.0395
wimsalrxul,fztgbnzmtb,-0.286,-338,yecnudniyy,CaT
apyrlhqhdk,dog,dOg,Dog,vymzjxaixs,0.3035
0.085,doG,0.1035,-615,-0.4795,cAT
0.3635,871,hdmydjjutx,dOg,-0.054,0.3745
797,CAT,0.386,cAt,-0.17,DOG
-527,Dog,iedpzhxlbj,-3,vqwkknskvi,-423
39,DoG,cAT,eclnanashz,0.464,-0.2005
DOg,cAt,-0.185,-870,cAT,-171
npovgnjscg,blsdgopjlq,yszbupezjf,0.025,shvyvvknrn,-96
75,540,armctioggm,425,DoG,-0.155
0.135,cAT,-0.3085,0.052,-472,0.258
sxvjltwmtj,DoG,-0.452,woftqmqysd,0.169,590
DOG,CaT,dyywhaqfeu,0.4605,751,60
-0.4685,CAt,csujftrlwa,evlyndbjhg,1000,780
-253,CAT,-103,cAt,0.0875,-744
813,dOg,sysepzoebx,0.328,0.47,iuesnmsagg
0.0265,0.0845,0.1635,807,-168,978
zgriikfkip,Dog,-110,bdpcetylns,-21,990
vxrnkpknpj,-0.102,doG,regxukxiud,-346,-0.088
pjbkjsbtup,239,dOg,wkpckkbdzq,-0.1135,0.083
nzlumuwlis,cat,0.3535,pllpfxrcma,dOG,darnedubnk
DOg,CAT,0.475,-0.266,0.2105,ylfgnubpta
988,Cat,-886,doG,cjigtulodd,-992
633,cAt,cat,quiievlodt,DoG,-72
-0.259,doG,589,916,ndumvzkuvx,caT
0.384,doG,-0.1515,-0.191,nsnsxcearq,-978
0.138,dog,0.2155,dOG,jfzfjhfhks,eevcqvgxqg
-360,cAT,cat,-0.497,-0.4845,-0.3255
629,cat,363,gpvginqruy,687,DOg
