flxasqnwca,uildxlwckl,hyvbibnmrs
-0.2915,pykyaliqtj,bddscfbkqv
373,ckyapkryau,-0.1085
fhyqqeptnp,-629,DOg
riwdfgkxup,hzmgsezdpl,549
-0.424,959,gghqcqktct
anxijbmmnq,CaT,awayxjguap
DoG,-0.2875,59
orueifjuqx,106,dOG
935,971,tveooqayql
120,abbkbajsug,0.345
0.4275,0.187,384
0.181,23,yhbabmrnye
DOg,bzfxjwrorj,418
-611,jkzbacsfrs,0.333
caT,-602,-688
gelkubhmpo,0.1585,0.3525
cAt,-0.3015,487
78,-86,979
DOG,-0.154,zqrovvnaml
546,-0.3565,dog
pdplufawfq,282,afdpxkamql
-0.3885,-0.371,0.028
-0.32,-686,13
rpgtjhsnpb,dog,-0.234
883,-750,-608
bejlizzsgl,gavuzkrpys,ejmbqngxdz
-0.1785,-401,DOG
-0.2345,-0.078,-0.1465
0.1495,knhcgmkdmy,ezhpaexmem
-0.264,0.2175,cAT
rnjavplhle,-0.118,708
-252,-0.106,0.2935
DOg,gljuzqoyxl,Dog
-0.381,158,0.2135
yiqmxkyitx,-611,983
-836,490,bvkfvizmii
-914,DOG,gbcuabjwwl
xejjsotyms,-0.461,-0.1115
DOG,-0.106,-0.16
0.491,-0.423,8
CAt,cat,72
0.4475,imlrhgwfrg,481
0.4505,unazmzowjq,236
0.3665,scfkpvxusn,orxfroosfp
-0.4895,xugijtqvwq,-0.4545
kozwxbzosn,-0.4395,-0.308
0.272,xjohluiyus,caT
cAt,0.3675,yfkyqrhcea
dOG,DoG,0.275
jegizsfnaf,okrqvpxpmw,751
Dog,hajqllquuq,770
-0.1345,0.471,njivbnzleh
ppormutqxu,-273,hlkqrfgmmk
hvsggwcaoc,yuujbonhqt,DOG
-953,-32,664
sovnvaxakc,0.328,-0.263
-0.0205,844,0.368
zkiruyvtmp,-0.406,Dog
-920,0.087,-0.317
cat,dog,caT
570,oarfxoocpy,CAT
715,hzpaqxbsdc,dOg
514,211,yhoqvodirh
-296,0.4275,0.3675
DoG,dOG,vuetsngmve
lcinitrnhp,-783,-797
919,-0.4735,0.3555
53,-629,587
jrbgoufbqq,286,dOG
jtqlophrrd,809,DOG
zigdqfwyhw,0.2235,448
-77,Cat,0.376
cat,0.0815,-759
-613,rhxbdagyzq,-340
