ocmjaqbcxs,npvcjxzcrq,wrnqsiocxo,ittmzztypx,noasamvmop,awvqwlkyuj
uworfoykvv,-0.479,-0.167,-0.0025,xhazjtdhxj,59
-19,-0.124,bzfpfcccuh,0.483,0.3735,cAt
-0.1565,-0.4015,251,0.158,181,efzfcfdvsa
cAT,-0.206,-48,-0.4385,DoG,-841
-0.4015,aywpfgydgq,smfdfqelxm,wvfgwxxmim,209,-125
poyekxckfl,0.185,caT,0.4945,yggghkitnf,CaT
0.143,-480,-979,xwzrftcjsm,177,uumdjatplh
-0.26,Dog,-0.4115,600,dOg,cat
302,0.084,-23,594,znoolzgaqx,-297
115,dOG,527,-0.3465,0.062,788
tesfvrgeir,cAt,gijppilidn,0.438,xnsfduqhqz,0.1085
cAT,nwungzzhnf,meyvantskd,cAt,ejcxrtnveg,862
iioeztfjoq,-0.095,-0.4445,-0.238,ygdrcbwwck,yudgxlyidh
ydeflaxdpj,-128,vsteitmzql,doG,doG,dhrlizckap
-0.0155,bdlajslsmj,-105,iugoosgpps,96,0.1355
fjxtpphhbw,krjrhwxuef,ozuxkdbnmh,CAt,-0.3155,0.4715
-979,-0.353,85,-0.3625,0.4975,-0.064
0.2505,doG,-614,725,-439,0.1365
oqvhhfzuny,-375,-154,-497,prbwtqlttt,-694
ymiimjgfwi,0.2025,CAT,zepsbsubwz,-173,CAT
Cat,ihcwralrgu,0.23,Dog,ylhlyramuv,0.302
-0.463,956,rnqylramkb,DOG,dOG,-0.4135
CAT,DOg,0.2425,0.055,-284,CaT
0.0755,-28,dOG,-0.0025,omuciplgto,0.3675
dog,pxisocupug,ujvilbyvqp,zdfettmdzq,-678,364
-228,-569,392,wrvsnjbnlm,dOg,piipekifuy
-810,235,-868,moudmjczvy,-0.3715,bvosvqzrdm
CaT,ttuslsetic,dog,CaT,-0.251,tsiuyyjkis
dOg,xihasxhqhn,-0.18,776,149,DOG
cgadaqddvr,0.404,-306,dOG,DoG,838
0.3735,-698,-783,qhvzyhtwhr,535,dog
-885,-0.2625,nunghodhvh,dacjwizjrc,172,doG
627,-330,CaT,dOG,523,418
39,-779,-599,-11,vfginxfbxx,738
cat,cat,jzxzlqkcfp,Dog,gybzokuzfe,CAt
-17,caT,CaT,DOg,16,-946
CAT,0.3005,707,337,dgaxdagast,346
-409,0.475,-57,0.324,0.221,wziumvtrmd
369,546,piboiwuvfi,mvbndxddzm,-495,0.337
0.1335,Dog,-184,517,-100,0.342
576,-0.4785,caguggqpmr,106,CAt,gexxlytmzy
Dog,0.305,ypspjccpsg,0.0025,0.0775,-404
-0.19,791,0.2355,gryvygsmpj,cat,0.4135
0.492,okjzbxmqzd,caT,0.4985,210,-404
dog,abmnlcbsvs,0.033,ujpatvmbgc,841,0.1735
qyxmsbxigm,-0.4495,-0.4815,fprsdalrns,-0.2405,397
-995,CaT,kzfvzoofzk,0.0525,sbstbgiukh,gkbpjipeie
-376,0.059,strupwdlqp,cAT,Cat,uwhhxtrzdq
