ubaaiihiwj,xhmahnbznj,qrlwqluhlb,vdizsmnagz,rjanglvddx,gwlaaoualq
cAT,81,ucspvticow,-90,-172,gndiajcjdh
-21,cAt,-0.034,nrcccazqwa,-0.161,0.25
325,-809,236,ikohpiwajw,0.0505,kathvnvkuz
0.0515,CAt,-0.2885,-658,CaT,995
-317,jeluvhuhtw,972,-0.0745,530,0.2745
-0.2915,CAt,0.245,cat,865,-0.3825
761,0.2305,gyxwkdhwam,0.053,467,qoacowiufj
sbtodqfvyv,-0.439,0.3435,bwojrcljdm,CAt,sjelcgbjuc
-363,-279,lulonecxdm,0.168,-244,-0.3865
gbruegiqxs,axehrglatz,caT,pyjxdlrsue,177,DOG
358,uzptpnmttx,233,-525,zrtkxmsdgg,62
682,rjbnfxqhgh,-580,-0.0385,-0.1385,yolqncrbrf
-164,ooxrkumdhq,Cat,-0.1375,DOg,-162
funtdqdctq,39,767,lccwrnzarb,-301,35
-0.1835,-180,Cat,0.491,692,zamdvdpjpo
-216,875,dog,-0.3365,196,-589
-28,3,480,-0.451,0.05,cmcrlzfcbz
-0.033,-28,jopsfwnxek,-0.1275,0.487,xdntjnwyxn
nbgpdniaag,0.0685,-0.16,-0.271,enwhwolqqq,728
-0.1505,fzbqbfebaw,643,-194,clowjrxqsg,-0.078
ecazjgsfhw,-804,ceunfkeogp,117,mjguherram,xdogwsnnem
-0.2325,0.254,-229,svopfqrhis,dOg,0.291
tdxxsebhqc,387,-324,mhptopscfq,163,0.005
vanzivhskj,745,0.498,834,-519,0.4925
qicvrvrhxy,ydjjetgmnt,138,timnijlgqi,-350,0.2495
-985,-894,jvealbcudj,kqlooxsocn,715,dyutdrjhuc
-0.3085,doG,0.103,DoG,97,396
456,0.2925,Dog,qrxdrdujzu,eeixppbepx,lysurgurcz
caT,-837,eebtxznqfo,rqqnfkzchd,0.248,0.0575
akhimzhysm,578,xzzpxppmfm,-0.1025,ywvpovlohp,cat
0.061,-0.3925,ejngzhlegr,68,0.485,Cat
-317,DOg,720,-785,-911,0.1405
-0.224,-0.147,rnatuamtzx,-490,ybigxttppd,523
wyczwstxjg,-0.468,438,-706,utzoggfhwc,0.3885
164,dcsaadouyp,-744,cat,dOg,fcvwjuxldv
-0.4595,cAt,-131,DOg,-0.1165,-233
-0.1295,CAt,296,-0.3215,dlvjpxamwc,caT
ycltlqljew,-373,-0.174,-519,-387,dOg
705,0.4585,0.036,oanykfgkdn,0.03,behrowgesb
-219,0.285,645,-0.4835,0.437,0.103
-779,Cat,DOG,CAt,-0.24,0.359
0.259,almuabpnxx,zsalamccxj,cAT,koeimqcvjn,-804
dOG,Dog,-0.225,184,aedtphwfsi,pbpgrjeqwi
gnyjofaiqk,kluovugplw,0.242,534,dOG,novlggegzo
-192,379,-710,0.1905,fqkbqlvgbf,caT
312,0.21,doG,-0.4085,176,-145
DOG,CAT,574,-0.495,0.248,CAt
0.3185,CaT,0.1715,nbzzgxrqbf,-934,xdpywguqzo
-0.4,-227,-0.446,-825,caT,85
0.397,fhppsombfz,633,oyhaphrarw,Cat,0.049
-606,-494,707,eojmuvodla,-0.0435,0.329
-0.201,-0.1135,lcsrfgvqka,cat,ihjqxvxhny,fojpuofnfi
85,-848,Cat,DoG,-446,vshdsbsdek
-492,-0.161,0.499,pgmlwwgqao,-815,0.4975
-0.002,-10,-585,-0.401,cat,0.0075
653,-440,0.2115,466,-0.34,-0.2475
dOG,cxmpmymgzo,-896,741,cvxxihmjsn,efcdyovops
rjqsvxhteb,0.0415,-497,0.09,xyoahmkpjn,CaT
-900,-0.3905,-531,pgrkcubqud,Dog,0.276
ouzqrgllzg,-0.0285,156,277,-0.1005,115
0.0475,empeqexfuo,nhrbbchkpj,ikeuihkqka,694,-0.229
0.159,0.17,jeoxapscvl,tzuqoxbgpk,0.4025,ecqfencqls
-27,fjcqpcmden,-0.084,487,sklnvpzwba,366
livejqtxll,DOg,751,yibjalruph,aecaqjstcc,ugcejcbwiz
iygckqfkjh,cat,mvbrhgblvf,DoG,398,Cat
343,-0.317,207,-992,0.392,-0.276
-94,-52,0.49,0.4285,hwddkuetxn,cAt
