twzwxhdiqo,tcewnsowhn,ojwuedintt,ajeyhghgzx,xalfoevnte
crxmmemwyf,rucxkplyio,631,-0.1585,vxjhzhxtrc
0.455,562,0.198,ktyykefkix,0.1825
0.215,rfeyaqxsmi,118,CaT,-0.1185
caT,0.0685,-527,-0.028,847
CAT,zktzbjytnx,-0.1775,-0.3665,CaT
hfxfomfsxr,cAT,877,324,bnydvevphg
-0.083,-969,dog,Cat,-286
-569,57,DoG,CAT,581
-0.101,0.249,502,heamlgpngk,663
bdjpzzfxhn,-0.131,rmeuhesacn,vdjtompevp,gcqttzzaes
dog,dOG,hqgcadwoid,mgyaetvqkq,427
-89,qmurjxptac,994,-0.1535,sgkvpykril
CaT,78,-108,suaxlvtgvo,-72
okwyewfvrr,819,-0.308,-880,0.3325
ktfbjrzpeu,-436,791,Dog,-272
-250,-698,ludupexlpw,364,CaT
qncjmumugg,izjfwjepwx,-0.3825,-479,0.192
aezjmfdzaz,jsqbcmrlma,244,-627,hpigxdehrc
-0.462,-0.2415,DOg,dOG,eqblnxvyxj
0.3215,aubzjntonm,-0.007,0.1165,umveuiltxr
-444,0.1975,cat,195,wcnwvmeyzl
73,-0.0525,754,tvuuvsudro,dOg
0.2455,DOg,ajxsactfbm,-0.09,dpvxdqqixi
ntsdckemqn,rxqbwadves,wrrgaznqmq,caT,dOG
vrcsnkltkp,825,-0.1755,xphabylgti,CAT
gyvylsfoxb,0.1475,0.2915,-695,-0.2645
-16,0.0645,-0.456,-656,dOG
CaT,127,0.369,0.0015,0.1075
glkfmhnoit,0.4755,psfrprsqud,Dog,bzrxeubgdi
0.439,228,846,-0.283,0.33
CAt,-0.2665,-0.392,jkcrwkzuzg,cat
gtbvbsnrtm,884,dOG,rpdgvdolyy,-0.3785
815,34,0.2695,CaT,pjicygamlq
avmbcxmkew,0.03,0.3115,871,buqbmjonxy
-376,qituhwqtof,bbxbfcbkes,-0.042,CAt
-0.214,agmvhtdkxo,CAt,0.0295,Dog
Dog,0.022,doG,cAt,-0.152
-0.1695,-612,jhdqalnnkg,Dog,Dog
ortethycqb,0.198,doG,225,-572
-664,DOG,988,0.1295,okacrbbmkw
DOg,yxiuzaegoa,vimetkktab,ltazxqmlhw,276
DoG,0.173,CAt,nnfzoqbzan,-188
weltauyioa,zhpzycgrap,eqcqfkgxhh,dOg,dOG
699,lzijwifbck,255,modsbwbotl,-0.4305
DOG,DOg,-0.442,cat,gpuqqergwh
-928,0.05,yafnipsvve,644,cAT
-20,-63,cAT,130,czyzlrxoud
cAt,-975,-0.115,-0.461,756
gvdpiocoyo,barsfvntqc,DOg,-0.3385,-0.1525
gllborpgji,0.3625,kcyvddgmfz,-187,CAt
0.069,ciwecuyukf,xkeqakfnsg,ljqdhfdkso,229
567,-0.2825,879,dfhbvramue,-123
-602,-0.41,-963,102,0.0915
spqsnumfaa,0.196,-0.1085,212,seqreuptfb
0.4675,doG,-0.202,-0.0015,dOg
885,CAT,uzhaedcafx,DOG,Dog
caT,ratnjrxilc,gjjxazjokr,-0.2135,avpwdlbjta
-355,bgrwvjwaxx,blibsoslmt,ksqgpadtmp,qgxjxaubod
