qqvzxnqgme,qdfzudfiko,fovgwwsitu,wjscspmotr,kunytoouzf,iurvtsaldj
xvtjiswuaz,dOG,bxtxgaxblg,fkdqaurveq,mvbzkrcfdk,dOg
CAt,caT,CAT,asvjwoyzzt,0.094,fpuqkjpdga
0.476,dog,-871,cat,489,mwtjjldutx
rdrorrcbwf,ygjgdyynln,DoG,cat,pigskdpgij,dog
ijoclbdtkh,-0.0855,dOg,-713,dOG,lhupomhchk
0.3975,dog,-0.3225,0.107,cAT,CaT
-0.283,210,137,Cat,-641,remkfktriq
0.41,688,igquwtsdsq,-0.14,545,Cat
chxuspaqmz,caT,doG,0.0925,-0.2895,CaT
weyuhyqnns,CAt,165,-597,CaT,bdprzkmkza
Dog,ohrhvasemj,-0.227,dxtbyouihr,0.3455,rekweaqvat
-0.479,CaT,188,104,-0.1235,zwlbzauhqy
0.0045,Dog,ryyqyziebg,-0.004,-464,lnqfihsocb
kkjarnetgr,DOG,-835,iszrewsvvv,efixbknpsp,-0.332
tqwrmvmzvv,jwfdfrlvjt,0.2895,doG,vpnyomjeyc,hstdfdwmux
930,-0.1815,-523,468,hjvxocpchl,-0.0685
0.4455,DoG,dhjudcjgtt,1,-0.1785,gyvvlqleoe
-0.4405,Cat,0.4535,pdtrfchnbj,-0.18,0.157
iqcjdstdld,cuqwoqtxdk,cat,yrlslbwxij,Cat,CaT
dOG,dOg,-720,Dog,722,ndfcyppwsb
ehwkucojdj,-500,413,DOG,dog,DOg
-613,-0.189,464,0.3135,769,ajlusblksy
-641,DOg,-324,-924,jvvckiqinz,-0.3615
310,CAT,0.034,vsoasnlvkl,mqlajdaiwf,-0.3345
-533,dOg,iinjpodrbu,nabcdnxvlh,0.059,-0.013
CaT,DOG,caT,0.3395,gygaahvkxn,nvawzujosr
905,-0.3165,-0.4915,-736,CAt,sxysebhrth
doG,-45,0.209,-423,-920,0.115
-797,ynieywjstw,885,42,0.261,0.236
-0.2635,vugivozawc,bbiqgdvigg,cat,0.3195,ncyzhewfmu
wzftbmmaao,0.0285,darrcegvib,21,0.2425,887
-0.259,qzfovzuleo,dOg,bpjglokflt,0.1145,-528
863,dqbrflrvnq,dog,11,uwoanrwign,bogtkynkpc
CaT,Dog,ezzbpydpqm,36,-0.286,411
rarwiabjgi,-337,-0.256,jwhqjhwtgt,-59,hgcsfyozlk
btbrrvzbnr,0.1295,doG,0.3205,759,CaT
doG,gwdsggayqd,588,-808,talyxucuhc,Cat
746,0.364,ivmfxlyjqr,dOg,-0.1485,-820
-551,seixnuwqtt,-766,ecpkmghprs,gjvujzailf,bxkxoagxyv
srmfyweogk,ignltmipps,885,dOG,0.3575,-179
cat,-0.1085,-229,772,-452,0.4235
-0.4445,DOG,-716,-0.266,-21,uugtufvkzb
-166,-0.4895,-0.4655,egggglrhci,176,-209
dOG,DOG,xfnwlfksjp,-696,amuhzdfula,-0.3075
CAT,-113,DoG,0.2685,tlfkgoexue,-521
cAt,xxgfzmatro,517,dehbynzyll,284,DOG
dOg,923,-645,-520,0.1155,473
htnbazulgj,70,DOG,dOG,-825,ebwnhpvbay
lpncylezdu,dOG,-925,-783,-865,0.34
-0.2225,329,hmrtqhszit,wxmyqfuidm,caT,134
tuwiqfwwdv,296,ytamwunskq,-837,-907,dmeejebzlc
-0.3055,-71,-0.371,323,-0.2225,-0.103
510,-0.2005,gszkahchru,lhgsegccty,amjcpbifqr,kqluuqyzjp
-727,384,392,krngxporvm,pmemlkcesk,vhzweejinx
973,dOG,DOg,-0.1785,0.2445,grrxrnfdkc
cAT,0.4985,-0.1745,bjwxlqhqnk,CAT,-248
-0.1805,-0.383,0.1015,hqvjowggsz,0.427,-689
CaT,199,0.182,-0.233,vbtezugnjh,womvfklomz
dOG,avxsmwlgzg,358,0.216,DOG,vlvavpbifq
607,-0.277,-610,0.33,doG,oidvfoagoq
0.166,-395,-363,eavmkriezl,dog,lkiclhiywb
ahufbquycr,112,-621,868,-700,0.1795
DOg,usastgzpva,-229,dog,0.3085,-0.0075
-145,-0.2855,rfhodoafkx,arwdfgogdd,-639,DoG
285,-0.135,0.14,846,jirraawwsr,-0.062
ujjksapqfu,kubtwxhimo,caT,289,DoG,CAT
0.3495,btdwljyucs,Cat,guilxqatjz,clecmvmrqo,-0.333
-363,CAT,ocywrjckfo,-0.4535,DOG,gakyqhbaeo
caT,683,0.1235,cajrxirvyd,Cat,-450
0.236,0.05,doG,792,doG,0.008
dog,fzrhsdobqt,-0.379,941,41,cAt
0.19,doG,knznzoilak,wqoerzhvfm,-0.265,CaT
dOG,Dog,-0.0555,216,icynmkyjmi,hahlwddzfo
-303,ismemsoinr,-730,caT,DOg,0.358
awmkaqixes,CaT,mywojquhdr,0.4015,-538,3
CAT,0.0155,hbjpnvqnrn,htsxqewwbm,hizdhpnekm,suhhdwokrh
755,qiqsbpejzh,urrzzbbcxm,dog,0.1135,-0.3985
300,701,-218,cAt,caT,yyabxghjlg
0.388,ggogdusidc,-0.338,0.1475,kifcjkteix,ctrtpcqbuf
ktlxaszbup,0.2245,0.0785,cat,gtqwxsilds,dog
hghlbdonow,0.119,76,-778,CaT,sfouwcicxz
fntykqrowo,doG,-524,DOG,436,pleqskayuw
