hqqvbcyetn,zoxjjpcngf,ukbkpxvacr,bmsaunarxu,jepduyheqs
muinrbmiew,0.154,zryothxlnd,0.133,tglcqjvjaa
-0.2475,0.3725,809,-262,njtmcjmhjk
uppnvlpgto,-595,xqhqlfjnrv,855,vkmeeqfrcy
0.083,530,-51,DoG,cat
CaT,zmvrvanygw,caT,-771,pvzgisunnf
CaT,929,-0.071,juelhvwgms,-0.2035
0.2495,-432,-0.1375,-279,-0.2355
cAT,0.174,-0.345,-447,133
-0.276,-0.371,caT,dOg,0.4755
tgqyhgnylo,qpkbqzscwr,989,-600,zdtslvjanh
0.075,cAt,-0.155,-60,-162
-0.171,-0.483,-574,kcdblfaypm,-0.227
yxeropebva,vcxzldjudo,99,caT,dog
972,-0.119,cat,Cat,-834
esszfkedgd,-583,-0.2225,Dog,mwobwxwgad
eyaacmxwiu,kmozdyfzmv,-838,680,-0.353
iojtfitbhw,0.1345,0.1465,wiaqoqygvd,0.1195
0.1595,doG,530,0.0275,-114
dOG,-0.196,549,cAT,caT
-0.3365,0.096,nxwquqobbi,0.0925,-0.103
ykusglqtmb,0.0915,-69,0.282,CaT
-939,CaT,bkgqdpuxca,Cat,0.4275
0.451,109,0.2485,272,-0.456
ggfurmdtao,-0.391,extytajkrw,cat,jipvphkffw
DOg,shjwjshlec,-0.2665,-349,cpcyynsypn
rkoydrapiw,0.232,oyweqigbdd,-582,Dog
DoG,0.1685,CaT,244,-969
-609,-0.021,DoG,cat,0.337
bvpbpkiivr,cat,-0.3155,doawqrljqu,-567
cat,-488,dog,-836,-0.0525
qalwpbztzm,0.3875,icpwivjavf,0.2115,-0.194
dOG,dgkmpbnibu,-0.3825,-0.2265,dOg
gcpfnhhuxj,74,CAt,0.3155,vnfyxmtvxn
0.3245,DoG,cAT,rouhzdafms,-665
wqdcvihgvo,582,drypjoxlvw,-0.2955,DoG
bmfpjyyabn,249,997,mvypaabpgc,663
DOG,cmyxwvlyvx,crsgrfcyay,cat,283
sxfhqlvkbg,595,-0.01,npehfxqjzq,-0.1465
-199,-603,799,267,rqlaclqxml
yymcfilwqm,-940,0.3275,cAT,caT
jmammfelgn,tofxymlzdb,0.061,0.043,dotdvgqcjl
reaidtzvag,0.492,Dog,ukzncfagvv,kcdlfwtqth
kdvezhfibf,-411,CaT,926,-841
dwhoovrtoj,0.479,0.451,-260,folotuvtkh
860,0.4545,-0.472,0.1585,0.079
yyismpfych,11,0.2365,0.3285,yqzgkzyeoi
-0.184,48,-892,-0.1655,299
-545,0.2765,xzsfbdnjcc,-525,204
-586,qmbwlhbnlk,-73,-601,jbwbxvczke
DOG,-0.2345,-0.1385,nxnxqrpqvq,ewipwfbmqg
0.303,-0.3385,cAt,610,-0.0825
caT,zxykdxgbts,ersxyheazc,-0.307,-0.3815
-407,-0.263,cAt,jxaoaaqkif,dOg
pyebgrpqrh,caT,493,udkyftszku,-569
ydjjslcnsd,-0.3855,qgynbctxmo,0.003,hjjnqikyfu
-0.2805,segofakleq,cAT,-0.052,yhtzdzfmqy
-300,91,0.246,-0.132,0.008
skrebxpxle,-364,865,nwtdigeedm,-89
231,-740,doG,xbikezmkvr,877
orgqtjslmv,cat,ntfssgfxqy,-0.1495,lieyjrihao
DOG,caT,-0.4025,0.217,546
wnicahyxzm,-0.166,0.3675,-943,tobzjzwciu
rfvnjhcwse,-145,-846,0.467,805
gcpakljsib,-328,0.2555,emvifbijvr,260
-0.247,CAt,0.342,DOG,0.3555
-804,-0.274,-0.331,634,rvlgwdvtyc
bbavaphhzz,-0.202,dOg,-99,-86
Cat,-0.3785,0.208,uhcfpqmxtn,cat
mhnpscpxli,vpdpbpdsap,0.1925,-262,-902
caT,-0.4295,cAT,0.122,ufeevwmlaj
266,-0.309,0.093,mxdmcoplgk,vhzydybyyr
-708,-254,-524,Cat,-339
808,0.5,-775,-597,-0.0065
aaqnrjkdrd,952,kdceuokouy,-90,641
0.2735,haruyqzexo,-0.377,0.378,306
419,cAt,upwjccavgn,-812,549
CaT,-0.003,-0.192,441,0.4535
-205,DOG,Dog,316,Dog
