homjdlrxix,sxgggburvr,twygcmfxrx,egyrnzlhgy
-0.0905,zgsrtlowsv,-680,DoG
doG,-0.3075,716,DOG
vwwpztsopy,dOg,ylgtwkfcvx,vmoleuruvs
-0.433,xbpboretzb,-213,688
DoG,ojlayewmui,611,222
dOg,stcgwbqhnd,dOG,-0.0045
413,-0.154,186,eyagmiggkh
-80,CAt,-0.046,cAt
mvghcitqee,-0.329,-0.239,CAT
-0.3955,0.2085,0.235,0.4035
-390,Cat,uqvxdhyopr,kumdfyamde
cAt,-0.4695,CaT,ldbqpletsk
-0.3955,cat,0.3135,xwucsumqog
DOg,zjqiwcrliy,CaT,389
kwogmyxnll,dOG,bhntozxkwu,detowbumuu
isosnjwhqz,CAt,yckymlzynm,nqduyozkyh
0.242,-0.1535,fppzkwokjb,doG
-0.015,xupgjnzmtb,-565,fenbygjhqj
-0.3205,caT,ztbvbldebl,jxenpivzyg
lrhirdjsla,fshuhvbncb,klaalcjwpq,CAT
fndyqodehv,bwvyayzhbh,48,-0.0885
552,cxxxeiwgcn,wjpepiewaf,iujzrrzbct
CAt,822,CAt,ffvkdiukcx
Dog,-0.087,tfrunyfswm,otahltypdi
dlnfamkaoj,-749,lxnkghqrkg,-0.4235
465,wqfvzaadrl,786,219
Dog,ybenazolcz,0.1465,-0.13
smlzxbqjdw,-0.085,838,cwgrpmuabt
747,jhsphzrgio,0.4145,-844
-622,-0.084,0.144,0.207
0.266,-0.0765,unnhogisrd,-0.388
0.2875,-0.3455,DoG,cqmdsdcubt
-0.4535,slpdjuzycd,-0.026,CAT
cAT,0.2645,476,-759
znkfuoxlst,-272,0.077,vdvpbyzeif
CAt,886,0.105,0.387
CAt,-0.1695,wokvmmxlno,0.3335
0.457,sgkdxfzhfs,uqzhvbdvpx,159
ilaktdbbpb,388,-0.075,xtdyjwrzme
cat,-278,cubsetjenq,jnlxoifxgy
-420,czbixuiduc,-0.096,cat
0.011,cAT,-195,-152
dog,DOG,cAt,CAt
svgxjofjpk,-0.4105,gxxcssvarm,CaT
-233,0.497,kngrukigrw,-618
-0.156,zkackhaiui,553,867
-0.1095,tewhttxpes,kkraergtvg,sduxkokhqg
0.344,-0.2875,0.208,uvymooacwc
qtggnkuney,kkuwlhdvfc,ymahayvknm,-393
0.406,389,sxrjuwiorh,-689
985,113,-295,-0.0795
0.3745,dcklymawno,lxyxtgxdkq,DoG
