szmxfbhavv,ufgflmzbje,rigknqdilw,cvjjqgozsm,uqdxokptzb,zhserhuxcv,oqnetgiqpm
CaT,-0.259,lcjwgxvsvb,eswzrgpxlp,-0.4275,0.0685,0.412
DoG,-0.4215,-459,dOg,0.26,-0.007,-382
avkufptecp,-0.279,xzsummrhks,253,tmuexhdukc,xcdngfvvag,xdatpolyiq
0.2235,-653,gnsvanuvpe,-596,CaT,111,hwijbxlwsk
caT,vpdyurbsvs,-20,673,rrufgusocj,qebsbqzrap,0.069
0.481,fyythjeogz,-0.415,dOg,-529,0.4965,106
0.16,eujcycuyqm,0.0915,qholatshxi,-4,Cat,0.051
mwxkemcovf,0.173,beptpxaagy,hnjjndueao,Cat,cat,Cat
504,-0.2985,564,0.4555,0.011,0.382,224
-0.3935,0.42,-0.017,komcuujvhj,-0.104,-220,cAt
DOg,-0.2815,Cat,dOG,0.4995,tpwcqbvzjv,-0.435
-0.001,cat,0.024,ndtvfulbro,DoG,tamxwdgfhp,-405
qxesviciit,454,174,924,bhexsyeyfm,946,xybyukvlkv
wxtqsaduba,lfyyztjwgc,-0.2165,-0.078,cAt,41,0.354
CAt,aermpbtfaa,0.271,sldmkmfuha,-0.41,-302,ennrfstqlp
-0.3065,0.4075,-0.2485,141,ufhprjcqbp,CAT,-739
jyntzpyyxn,-0.451,-0.389,nbjhhceytv,0.0085,xdnzbxgynq,-0.345
894,180,-0.3765,-664,-0.398,tgozitaeas,-0.0895
dcbihgcbyv,dog,preioqxokk,-728,-717,symlxyjgnq,cAt
22,npfmqyyoen,-0.412,cat,-846,990,227
767,nwvmyvbrls,kkgcjtfqkx,dnsewarvol,basixqnomd,wpuraomfhk,-0.398
-919,dOg,DoG,rgivlfpjpz,-657,-0.3315,DOg
-553,-673,iftamkqmkf,dOg,xayyrgjgfr,-0.4535,spslkvgrvf
