mxvigmdkpc,zpcffjzkab,zgwnovfrki
148,wdfjnnuvmj,-0.306
0.196,DOG,0.4475
324,584,-672
mfwculvxch,857,46
Dog,-659,0.4705
849,0.1375,155
0.054,caT,negoavutow
pqmpkyjjdp,uacgxuzcnf,560
dygjiitaan,hmuozbqryc,244
-0.3965,-0.0785,497
dog,0.4105,605
-106,430,gmjfvouyha
CAt,dOg,444
CaT,dOg,dog
708,-84,711
-0.454,0.0805,-0.197
808,725,zzjzehrdey
dvxgebuddc,rhvhjjxnhw,vagccebtsr
DOG,pdsafskmer,buygnsgpit
454,0.0335,705
-604,831,yoofhhetki
-434,-440,0.2535
ubswgohbro,caT,-0.124
DOG,-190,0.25
qmbakoecad,fjffkyiahh,388
528,dOg,ktfbfjlszf
-0.019,jxmcjvbvym,822
sppsrhatst,phatoqtqpf,-307
cbxtkgbnak,sttyzmytnd,0.0265
990,0.025,zssidsbkvu
305,qwwdydcbuw,734
-0.4235,386,ofolelcvwy
