pEt,fcqsbsxlme,zvljzfaaer,llcmrrwnza,fbvzghikqh,fxqkegjlxf,cjzkidpujs
Cat,skrmzzeydl,735,-189,plczlnzszx,syqgfkqrbo,Cat
-0.394,dOg,-429,0.251,hczvclgzvc,cAt,-0.3575
Cat,-961,568,-0.27,-397,875,xnnjfeoeww
DOG,-448,Dog,680,CAt,-596,759
CaT,-0.3455,dog,-0.0435,doG,-383,0.3685
caT,-0.13,bmmqxtpoze,muubldielp,-0.2115,cAT,DOg
dOG,-0.1195,DOG,nfrpklrxth,CaT,bfdcdjcgaf,cAT
CAT,-0.368,0.2675,iipzrtawmp,CaT,DoG,-675
CAt,387,-797,dog,njhivboafb,ehrijpcoau,333
Dog,pnwblkcfem,dog,-841,0.483,CaT,971
382,-122,pcdwlvymfv,984,106,lasdinrepp,541
DOG,0.218,0.4135,dog,tfwayuqmdu,0.4095,azmdgmkapi
dog,0.3265,pjdsezeopq,doG,233,446,-728
cat,300,cat,dog,cAT,179,-0.063
lvwsdpzdbr,DOg,rgrhdedjpn,-0.0015,0.4025,656,nfsbgoduau
-481,jwrkultdsc,uawtzyinnt,cjkoipgnjb,iuzpynbsqz,0.289,970
cat,ijltkxbplv,0.1055,-0.0885,-268,0.169,sqhckaxnmw
dOG,ryabzxpbmu,-248,oetlrwrvvw,CaT,857,0.472
gxhgprpmse,arccxfcfna,dOG,0.1845,-0.395,-752,495
cAt,doG,-0.4135,caT,647,aqrdbqfbwv,477
caT,-977,dOg,-0.42,jtmtpwaglv,tajjspqrju,utnnoqmvze
dog,-601,905,CaT,0.363,DoG,gpdblfoiet
992,wtyjpxycnm,-100,htewirivld,0.4685,-638,blrsojbqfk
CaT,196,chkxyijlfl,563,dog,-808,CAT
DOg,-813,-588,968,doG,kzlkhhybmn,-0.269
Dog,tajaujbyrd,DOG,0.2525,0.1205,-0.476,-0.4675
qiddaloams,30,iuworqjcdd,634,434,rxjbmftwtm,CAT
275,0.0305,vcwygfkmoc,966,0.1475,0.208,150
cAT,0.1895,-596,0.4485,CAT,55,-0.2185
Dog,-560,lpsyuccsow,xwvnlqgmde,bygwhbkwlt,yixsrkgnyd,407
dOG,murnuplpsb,sertzpvlow,-978,uoxhjhwfpl,cat,wltwtskize
cat,icqsdiulpa,760,0.3565,-140,563,-0.143
-601,0.3955,-228,dOg,ivizaleytv,euljmvkxof,-0.313
Dog,667,-754,ebeulsytxb,mcfsmvlimh,CAT,dOg
cAT,-892,ufowgorpiu,dmyyidwvql,183,89,Cat
Cat,ugmanhbwua,-791,0.48,743,18,paetyvzswb
CAt,ohwddmpcfm,84,12,-0.0155,pivngmziem,-80
dOG,476,zvxthybdcs,jucegcwaeo,ubjdoancjh,-0.098,0.11
CaT,CAT,-297,ittoloynkx,852,-0.102,-0.2675
dOG,695,Cat,wsmeklpafm,257,dog,-0.477
cAt,nwebvnfmih,umoaccwzcb,-0.278,0.218,Dog,jhzypsmlcs
0.3355,hgqdyezojc,-36,603,0.2235,etuepiyhel,0.393
dOg,947,229,tpiadfnjqn,0.1885,zhsmdbbgzo,462
Cat,DOG,0.4975,-0.1835,-0.1475,635,0.1985
0.342,Dog,-408,tztyaubuou,cksloxsese,-0.1175,epxedxlqtp
DoG,hqwnclrmgu,-477,-599,-368,0.0305,CaT
cAT,-258,0.267,dog,-0.2775,qtplkqcwbg,CAt
caT,Dog,0.443,qqltsrbymm,cAt,gmkrbjqczz,DOg
Dog,vpopnakfue,0.033,0.0585,-0.4475,cAt,dog
DoG,xmjqpkmhiq,DOg,Dog,-333,0.3585,0.399
cat,306,319,CaT,-0.1925,cAT,lpswithpxk
hnzxyfecel,0.064,rkpxcwoxbu,-0.227,0.3235,cat,-0.2285
DoG,cxmtxaedos,0.3175,zzetpkdlyv,-693,183,likdgqrdaf
ahubomytrd,0.2375,-0.2435,14,caT,-748,0.0925
dOG,142,decwcvhitr,118,hpswrrrklb,CAt,CAt
dOg,ltprmduqih,cAt,dOG,683,oexjbptbpm,0.0855
-454,jfgjuweiow,CAt,0.3445,0.292,0.3235,-0.184
