hrypkbthxo,inxggwtfly,lsbfstjwqu,glmtkxhmgm
0.2265,-795,wyzylkofyi,52
qgatozkhmy,kegmgwviqi,-0.4515,srpexfnook
doG,zegqfkhdxy,icuwiremjr,162
-0.0095,-0.0735,846,-567
-0.4805,doG,hgszmlreut,0.3255
0.375,CAt,gdgjgnhdbh,-0.0055
0.1025,Cat,uygzgagnvb,dog
139,caT,DOG,rxogjlgwzp
caT,qkzpzlapdz,ffsqssxnce,790
614,CaT,dOg,0.474
dOG,-496,cat,lfzxjwomsr
wsqsnoezan,-618,708,kypqdnrpks
0.453,-917,ntcsgskiac,dajcnxjmph
ingmfojxag,tbjaungnrz,DOg,-791
xrzlftfmhp,syrudnevwk,aqxiqmjagy,dOG
ahnvhwdynz,699,-0.3095,-0.489
dOG,CAT,-0.1305,rhyuponxft
640,266,0.028,nutbtiquqq
cat,xfgoaavfix,0.1535,ggdgutxxae
-0.028,-113,dog,dOg
-185,jmtaxwsywh,448,-0.2245
492,owjmywvkvl,-0.455,uvmwracqwn
xxcboxphup,-0.298,-551,-0.3715
rmrqhpnmoj,-491,0.2815,dOG
qqugkpowqz,scvtkxhuvi,cqoxmpdpwo,ngvpowimzf
deouytlnbf,zpaqoatptq,pgqxggpqbb,DoG
0.0135,qhccfbkivn,-896,605
vhsoainvaq,cAt,DoG,wqtovquvpr
-410,tuqjybzjjb,-0.435,-199
-0.2685,wwjufboynv,Dog,-0.3645
0.3095,0.406,cAt,-0.0145
nkoxuengdv,gqsygknueo,0.3625,usqmihvtdt
-757,0.2245,baolylzalt,mvozehyaxy
156,98,255,0.486
dog,0.4885,-309,cAT
-0.147,-0.017,-929,-411
517,-215,0.4965,urfaulbmns
qmbeknqkfd,pnteirlnpt,-185,-298
0.4825,-316,DOg,-42
0.3295,wbpxifekra,0.343,0.3765
szzgmcpwfo,232,395,kjpfnlebpj
-369,0.137,0.177,-724
0.4045,gxvtucgojh,caT,nufvcwqeql
-529,0.4445,0.3335,-25
0.3315,0.498,703,0.262
841,272,cbytivxbol,ucoweohxdv
0.4375,-0.4025,qtvcehjduj,-652
-0.3215,hpwqhsxohy,-629,snxlafdrhu
-723,jqaqdjfuvj,-0.442,glbjytvwrh
-0.2345,0.167,-417,bqfmjkpfkv
0.264,0.409,azynbiohbk,0.0155
Dog,793,udzxjkhszv,kwcpdoufqs
vuexrxbfnc,njtpbqyfay,-0.1765,uhizxidyxy
caT,zwrpfnlozt,ifwiisssyd,higvzjcsui
-252,djbojoshkp,566,-0.2755
-0.236,qvxpptdvwi,726,cat
riyjxxguvq,0.3825,muecozsemn,wafzwmhoqx
0.3515,-405,ybcfhxilcp,-0.446
DOG,ultobhkbva,oymuxqbppe,-503
rrragqdrzx,tvuffuidlp,Dog,ldfyyxeumc
CAt,-0.2055,486,anaptejlhk
0.18,izmhhpnrre,-0.2135,0.304
ljuehmmriz,wgtyxcmlzi,144,pwhugxehvg
839,grghbnyrou,-283,-279
384,-644,0.1825,dOG
DOG,0.391,dOg,acwcknpnjd
ordjvnnhtr,-0.034,0.371,-0.05
0.224,idvsfsjutp,-0.0055,589
wibpxvdrhm,qbvtaupxmi,901,-789
dog,adlmfxddqm,600,-860
527,adiywwgkci,dOG,-80
uphphtsmpt,zyzbdohfos,-288,zehytxzptz
0.358,Cat,bmwkwsbsnk,0.234
akhfpomwtr,knncjdyiel,0.362,629
dOG,DOG,-0.2825,caT
dOG,lxdlpefvjx,-0.096,cAt
174,DOg,394,ibcmfyudeb
405,-354,-0.2455,oadqqdsjyc
-921,0.458,-0.122,-610
