lngwbrfpmm,xtjkasyand,peT,uhewjkqrls,urwphzfomt,uljxhjnvgz,nyfoquwzky
0.0035,-0.055,caT,0.0565,0.0785,0.257,ytkjehjbah
ejfbwgaeot,670,cAT,6,-328,0.418,62
0.0475,0.484,Cat,-321,-0.106,ilappgabur,DOG
446,257,dOg,CAt,-0.35,DOG,nrhjiizdal
-0.1745,0.148,doG,njjuwntudu,-0.268,848,-0.3385
0.416,-0.11,Dog,-345,ztjzinihov,0.368,-118
-806,mjzuspjxyh,CAt,952,mzjlogmshc,-0.1935,cAT
ivczwsrawk,zzeeligwqf,DOG,uiwazqchyf,-0.4795,vbbnbiwdcv,cAT
-0.215,wkkpzpdiuu,cAT,atxzrviulr,0.103,CAt,DOg
Dog,448,28,-0.2935,ecruhvsrev,xuqjuwrfyg,dOG
DOg,0.07,Cat,-337,924,0.437,-0.3875
amvqnbgvta,utvwbxksxk,-31,-287,-193,809,dog
DOg,ydlfmsmkzf,dog,apggufllcj,0.0095,-0.033,202
-489,535,dOg,-497,-543,csdslrzvhn,DoG
pltvenbpla,-0.4565,cAt,beiihgfwoz,-0.1485,-750,cAT
0.2275,-803,0.351,-0.392,309,587,caT
mcfbzlpwwa,moylnrixbs,-0.142,hcbiclynoe,mvqefefbws,0.294,-0.405
0.2315,tznhbhregw,806,doG,-550,213,10
hgidjkznwn,0.021,cAt,-327,-0.3675,xzkhtpsvnx,0.15
cat,-0.2445,dOg,ffxlqwdaow,-0.3215,-498,319
plzriemaqt,CAt,dOG,0.3925,0.2765,-0.189,caT
bnxchumwnm,cat,419,612,-741,-190,-566
-0.074,doG,cAT,-851,DOG,imttqjsymp,-559
0.346,cglninipxz,zmmijrdxei,-0.05,-0.0085,504,659
0.1995,dfjzkwkaeo,DOg,0.2155,-0.1595,qktpboqoqb,mngolnvqlg
vnxdhkykzj,CaT,cAt,DOg,-470,-368,lfpyjkrpzy
-252,kpuekcjzfe,dog,871,doG,-781,zmaaholwdn
bizipqozvf,674,dog,wwdetajyav,-872,0.3805,353
xjtodmjwuz,ggweztfezx,-0.4385,-0.4295,sbwklmnfwc,equuihyqwb,caT
-991,-0.462,ickdcaodpo,0.0,-0.0975,-941,0.2985
