pbeugfmkts,fmpjwvldup,eraycangaw,pEt,csozeursxw,fbtjxixokv
-0.317,-0.4325,DOG,CAt,0.354,-0.411
0.121,dog,bopdcyaayo,476,-301,qhdwculcjf
-0.4875,vpbbuxicra,-965,636,cAT,CaT
bxcjfvllht,351,-528,tcnollstjl,eqlklhnlis,wvvpssuayl
CaT,433,ephzwuases,cAT,0.373,-28
dog,jampslyrpf,0.0375,CaT,-0.0035,545
dog,-700,-879,dOg,btnmicroft,znsenbhvkg
caT,-570,qzmqsxwrke,DoG,-0.3605,fscfevqnhb
dOG,460,0.3165,CaT,289,ihclsfbumx
644,pkzcioqaca,doG,caT,eqeoisicna,742
smmnvztubq,CAt,-0.213,cat,dOG,caT
272,956,CAT,doG,930,804
-0.082,0.286,630,caT,-15,wpucojugsn
536,-348,inldtbabhw,dOg,jkegudnkor,dog
-29,DOg,0.032,CaT,llvcudfgqw,447
-0.2765,cAT,zqrbcpzqrr,0.0185,dOg,606
mkdmsplcvf,0.169,547,cAt,hoqvlrgoyj,jiualpzywq
547,ymiyvqtfvo,-0.251,cat,dog,-0.3555
dOg,0.251,233,Dog,0.2145,-0.4265
180,mkcjifardz,-14,cAT,yxlfhdxksw,192
uktdcmvswh,0.2885,-0.451,DOG,0.416,-0.4535
0.2165,dkxalpsihj,0.198,cat,65,ornaqltvdx
fltwtlowdh,0.249,-186,-0.3655,dOG,CAt
-526,Cat,yqmgunhudc,dog,0.323,0.313
