cykcwjntwz,pEt,szegclmkak,gnecgqyrgu,hncbtximkh,fxujyrupfp
jweeoidubf,cAt,0.3835,-0.4005,-0.059,-705
wxturpugca,cAt,bvlxznhvuw,-262,-58,-694
nwnphtdrzh,cAT,jbuhegaixl,jxumscsfpe,vdnyarqhpg,-0.3435
jmgohlbslk,dOG,-871,-510,ojhnqftrip,-981
0.151,dOG,bkzetdecvb,CAt,-131,zttrbszxtb
908,DoG,-304,DOG,ffiebizvsh,839
hhqjlfqxvf,cAT,uyotgzytdp,696,Dog,453
cat,zvpsvcqcgw,Dog,otxjflpork,-0.3725,lyaxplujbo
qkumlgcayv,caT,-564,0.134,DoG,-0.1535
-355,dOG,rmwkiiqatf,yhkazgoayb,-442,-310
DoG,CAt,CAt,sagdracnhr,-526,0.1315
dOG,CaT,dOg,-456,-524,-0.3435
-0.344,-0.2185,771,10,nnnljyafio,Cat
-0.4255,cAt,knltsirfns,-904,flehmoyirr,-0.1255
-0.2325,DoG,880,xzbycsndoq,nftjodobdc,-0.488
otwaqqmjcm,CAT,jgktdtcntv,0.404,dOg,216
vpqohaiehn,cat,0.213,cAt,0.156,zwkhmwtjwu
762,glmxzdlxhb,134,cAt,-0.4025,0.0345
-0.1105,doG,yyrjgnsqlu,0.369,dOg,mnhvjyljyw
154,dOG,477,cAt,785,-509
-410,Dog,zfsepyhtgl,-702,-0.4325,-0.186
-104,soknjxwrov,anchqhubru,jfhwozoewv,cat,DOG
Dog,Cat,255,DOG,-0.1075,0.101
416,0.4475,-0.327,-0.107,-909,cAT
-838,dog,829,cAT,-862,-0.2715
hzejqiiobi,DoG,-873,-0.4345,ouiuculyvw,pcgwnppytz
zbngugknly,dOG,xkixgdktep,-527,nsuclfcptq,cfeqczeqzc
0.144,Dog,CAT,ggbbvcetsq,197,dyfrzdvtep
phbruzbnxv,Cat,rthrsfpfeb,aujtgnwtzk,ujsybwyknk,0.0595
kzuyhkfhrs,caT,-297,doG,974,clupkdgiok
-908,cAT,-0.1005,CAT,ygvvdwcoes,-0.1025
dOG,Dog,iokcrqrswo,bwiosczpfz,-0.199,cAT
-58,jydqltojrx,ctautjkucy,125,-546,0.4835
jziqipciwj,tgnotzdlrm,0.124,cAT,0.3315,nfekvkdbef
0.299,cAT,-0.234,0.273,-960,-49
0.1505,Cat,0.4175,Cat,mtzijmgndd,suredixwra
307,DoG,0.174,-480,-127,sjgxrnqtjb
Dog,dog,zszjhqswfb,cat,-575,-62
-467,caT,cAT,dog,zcoymxgndm,-782
Dog,687,krjeqdyktd,cAT,0.415,-100
0.425,Cat,333,-545,cAT,0.47
-0.4035,811,lorhqtgqsz,-0.268,725,157
0.306,dOG,987,rvxykvfswq,-0.3445,-0.362
-594,-41,cAt,aszfyarglu,-984,prsdaaafog
71,cAt,-0.346,204,Cat,zgcqfqjtkz
CAt,DOG,0.4925,CaT,sqysakwynd,-0.018
vkwhcrbuth,DOg,kijloucgju,-929,0.4285,xtpafcpovf
516,CAt,-671,222,271,dhaggabxqx
969,dog,pdaoggppth,-454,caT,0.0315
0.237,-0.323,DoG,-0.314,rcdbmqwpzs,CAt
Dog,DoG,943,450,omqkgrmpgv,0.2475
-0.3235,-0.1175,-0.0945,-695,-0.0655,dOG
-0.2325,CAT,-0.227,DoG,-0.154,-0.2045
0.2945,0.202,0.411,weugmipjxx,0.02,uydmukrtrc
0.095,CAt,Cat,DOG,-156,CAT
jhkymfvler,CAT,-675,yftlaaplsa,lhgmqbyhuf,ndqgqvwfmz
-110,-0.1565,DOG,Dog,-0.008,-0.1215
rauqmdqmbs,DOg,0.023,246,932,hwzxhjdkvz
-589,frwqxjhqsn,-533,-688,rlpkjlspbl,-963
yejdkysbhx,cAt,-0.387,CAt,-0.401,-666
-810,dog,scjhbbqdnw,-0.0495,msawxabsej,646
