gngqllihmu,emxuwfnhzn,jzgnlmxbwd,mjmzdgzmug,PeT,wnypkplxmp,textrnenxc
dlmeqelpck,dog,0.04,751,cat,-55,117
jdvgrlrvtl,-76,dOG,caT,DoG,fdmjhfeidz,0.041
mjmjkuhelx,ertiibyndw,CaT,-0.313,caT,xtiuiqbsin,0.2715
rxyucsoxgs,944,0.1535,qbxjngharq,eckiqlqotp,-0.4835,akbcyicjnr
-215,cAT,-0.316,cAt,DOg,0.058,776
ixpfqjedlb,Cat,0.368,mxsyykzhrq,cAT,jgejjwenxs,-0.353
-0.325,0.0595,cfbvgqduct,llrwednewf,doG,-0.027,CAT
dOG,caT,CAT,176,CaT,-261,tbdmducpmy
991,dOg,gxjpomlnco,115,Cat,CAt,kgjeupledu
cAT,-42,cAT,zivocirttb,cat,0.087,caT
wewnzrmdjr,nctoqgagnz,-270,-0.232,wzyslcfjgp,422,0.485
qdcngeclcd,718,-626,vfridibfsd,cAt,CaT,asqonjnben
758,stabxtwytz,-0.1055,-0.273,DOG,-185,DOg
CAt,DOG,Dog,ckpagwqowh,caT,-0.358,fviivbgqxc
-0.3725,0.288,0.1615,mqhnfbyast,697,204,-0.483
cAT,-0.404,znhjxyjxyz,caT,0.25,cAT,620
dog,0.076,-898,gpnlzhgvye,cAt,-140,-324
kjkygodvqm,smhxchptxr,-0.1465,94,wdrqlmtbjx,0.448,0.3485
-0.4135,dtpxbwezzq,dOg,372,cAt,-0.1055,mbblcbtmac
dog,-0.002,-746,wasfigwmct,dog,DOG,wiykkktdkk
ndrovlpovg,581,rkfhirguxl,vzcfqqbwfe,0.055,-0.0825,cAT
399,-889,akjbiajfzf,291,oxvohpqgyg,-446,454
heqqqvcleo,899,vjiylkmehz,dxxjwscffz,CAt,-403,0.197
npuxgooocn,caT,ymeuhtaasp,gcfyedrnvo,doG,CaT,-312
udchzdyyeo,xgvfynispu,285,-0.1695,CaT,-0.2455,caT
mpjxpyorcy,-0.3275,druehgjbal,-0.406,857,ltqjtjqugw,mmwjbjsixk
266,689,zyqucfrrmt,0.1345,CAT,lhpyojkbzn,caT
-321,0.1665,930,655,DoG,613,0.323
-0.284,0.057,nxtpqtlorv,tijkixiujn,CAT,233,-0.433
0.134,-0.3325,0.481,xthphogika,caT,-0.2195,cAT
rsthnftcrz,-0.147,144,550,CaT,-0.3875,1
345,imwancbxxo,-305,-0.3135,wrrxfxnocd,-211,snmthryxqa
-0.426,221,234,-875,DoG,299,plonqyzcoc
-226,0.3055,-0.29,DOg,DoG,ulracvelir,0.204
-0.346,DOg,lkkhtrczbj,dOg,Dog,-0.3025,155
0.447,bcyfwhgedc,DoG,-0.3765,DoG,-0.3295,-473
CAt,iedfaoedtq,dog,0.1435,-161,870,stnrvtvlcf
553,vgabohgdct,-0.0895,-0.1775,cAt,0.4055,-325
251,-479,DoG,443,caT,102,-686
nwwcohfpxd,0.067,0.014,368,doG,0.34,isqtwypgdu
gjbrviftwe,Dog,zbzxhspxlm,-0.135,DOg,798,-0.324
dog,-0.2435,egklfuusid,-0.491,cAt,caT,bgegjepone
doG,dog,0.4035,0.41,CAT,456,cAt
-0.3295,-0.42,513,kpkzjwvpmi,DOG,-878,939
-0.197,-663,-0.2935,-0.3435,DOG,-417,mpjgyohjrv
-0.439,0.3215,doG,0.067,DOG,CAT,-0.001
pfogbdxioa,zjxpqmwhyk,0.4345,855,604,231,tkohpxrcls
405,dsugffupnm,0.0835,0.1995,pxdavnoujj,-594,xofvsxhdvu
-0.232,-348,zmaukoeris,0.259,cat,cwtddqjypg,fjsqkannzu
368,-0.33,-0.11,hpwkyfpndn,Cat,0.468,cAT
-922,xlqabvcypl,927,Dog,cat,-988,gvlvacssjx
-0.2215,ciapkaywlz,cAT,-0.1575,-23,0.3115,DoG
caT,lfgxhodyul,134,0.3045,DOg,yxpxkfrgxc,-154
-256,-918,eobggecitv,0.488,otcbbtcaor,0.344,302
37,0.114,0.0455,-0.0425,DoG,dOG,peqbvloazp
