nyudgmnbya,hthgrbpccs,qbimpzzlfr,dvxoysguol,aizkohqxub
DoG,iariodesvk,0.185,-0.4465,-671
CaT,hhuscfbqzy,549,-0.3995,cAt
-0.4555,yxztcyhxjs,368,nafqxtdjde,jhzbmgsbgf
-0.2245,CAT,-340,437,-0.087
rjcsdkpzhg,heltiugmvp,-922,0.1065,wdjmqlqpzp
140,-0.3865,-0.0575,341,dOg
jrjuxeadtf,doG,ddpvfccauy,276,278
ydthnwklnm,caT,-817,lzocnhrnpa,-0.0745
ljbrrylxym,-0.2955,-0.2845,0.0555,ovabaksuas
-599,-171,-858,0.175,-971
-339,gmhxvhsbze,-0.339,DOg,dgqfpupmpd
-0.4865,ahuigopnxl,DoG,888,464
dOg,215,0.249,aenobttnox,-692
-894,-0.165,Cat,0.1705,0.3345
CaT,DOG,CAt,dOG,DOg
118,0.0445,gbertysguo,0.452,0.2855
-934,-0.032,-0.4,56,0.2235
anqbsxscyl,119,0.226,0.402,Cat
caT,891,hmbvzqkpyl,-0.4875,0.2085
431,dOG,dOG,0.4565,-539
dOG,jlnrqafeba,-914,dOG,746
0.2405,kdnzdvzbbt,363,-0.4965,0.253
-883,859,-0.023,cAT,-157
-630,821,doG,0.0345,-781
518,0.0155,576,ychknbdgac,mdmfjzlzpe
463,0.4535,cofkdwmuxp,597,-135
0.486,-0.3165,0.1335,DOG,btlveemjzt
otcmrwmwta,dog,-0.0995,iepvhdxewa,doG
uusssmvbbd,-761,ntakocozci,-0.0855,DoG
0.1585,-402,0.2355,824,0.0005
oslaxeurxk,qvzstgxphv,wkbfktzmru,ecpgwajwab,undjktkqfc
DoG,xgsybjpbgk,fpllpdiibu,240,szhmvmmlts
dOg,949,0.0815,wiywrzlajj,-0.274
jydhduwiwy,-0.459,691,-945,-0.2025
ergufakiqr,DoG,0.479,CAT,uwsrrjojip
0.0705,92,-0.2105,-944,-450
530,ezqfoxokal,190,0.404,-0.198
0.303,-0.3855,-848,CAT,-0.2315
-598,157,gvxnlvzjyx,0.427,cAT
-162,jdpgskjzdo,0.336,dog,-0.3595
-85,-114,Cat,0.0185,yyrnehcjoe
408,pwwugdqhpz,0.2205,-0.0215,CAt
-4,-0.091,kjidpcdech,krelklhsso,laihxgynlr
0.3845,0.304,0.343,-0.3185,-0.051
469,CAt,-0.405,dOg,0.07
748,-312,CAT,0.4435,-54
-0.418,gmddjikxew,-0.3055,-739,uaacqgeazm
-0.1775,mlcocpltqq,-0.213,0.443,-0.4025
-583,461,144,vpuqgnzarm,CAt
-0.37,ppyybmvhio,nvhtnmngkz,-561,-0.362
-539,Dog,112,svxwumkmba,xvgiyzsnpy
wfdjqsdyul,-0.206,Dog,-142,fpeikhxzli
DOG,dOg,kigpvbcqgo,62,-0.2785
kkxjdmeucr,-41,-0.4475,hksaiklnhx,0.4305
215,45,0.019,DOG,-994
teezyxfgkr,-240,-0.1305,398,0.4395
zwbnhnocyc,-873,693,dqlbwzelhe,abrxqpsxcl
xmalfiaqym,dog,Dog,214,caT
