cpeaeinush,slhtybiyml,keudabqank,euustsqoro,Pet,olhhgpqprf
580,-0.2755,-0.263,zqufofykav,DOg,-948
ggvapdwzch,-832,0.3375,-283,-630,-393
592,0.3745,289,-0.394,CAt,Dog
0.002,-0.065,0.3075,-901,caT,0.082
-0.325,-887,-89,0.048,0.401,lolswtiyvf
lmikwpnfdm,0.365,CaT,0.077,cAt,204
0.3285,lrfzfbmgem,483,-0.4,dOg,-161
cAT,478,321,xthvvwejkl,CAT,cat
-196,-311,toaojxecjc,zuqbfdzpyc,CAT,cAT
-0.1675,0.1305,0.0605,270,dOg,nsjlwsdxex
-521,-0.127,-361,nnpuaacatx,DOg,drpsuplnbm
mpzllmrvrv,-0.4255,183,wvldtgppvh,dOG,mspdigltca
ohodvggdqt,996,-883,CaT,-0.2155,woypfvvwmp
dOg,831,436,114,Cat,-0.191
tpigavaqcu,-720,0.4935,hmbujkflft,CaT,-219
55,cAt,cAT,ipfyjwydes,CAt,-0.385
nhylfekdkh,nyskhjodmn,387,-403,DoG,701
-0.356,-0.269,jhejqvqzlx,fjnxusiwpt,gdvqtbvsxy,-555
eqdhvbsilb,ajnicirlks,yubvqimhml,tituxphwnu,Cat,359
CaT,534,gqmasxskmu,303,doG,onxsuyygsj
-801,-275,tgvzyyoduk,0.2585,zgysurbzin,272
-498,zyweuctwwu,xnyjiozohz,412,dOG,487
0.2185,0.1325,481,0.3335,dOg,fuczcvuokw
343,hodppnfohf,0.0045,ghrpvkucqs,caT,0.1675
737,-635,-0.109,DOg,CaT,salqucarer
iahznndwfa,cyqovqbtpy,0.411,jcfpewedbz,DoG,0.4055
prkqslbmwo,0.2155,0.218,30,Cat,dbunrdhmkm
0.118,jrwjstlfyh,drzvtbgvln,Cat,cAT,468
cAt,-0.4595,-0.052,95,DOG,czcxemyhfg
868,-830,CAt,-0.44,dOg,mlfifewpzb
ssirskhxha,606,vbfgkdarok,-603,cAt,xesmmkthie
0.0925,dOg,0.055,dOg,cat,cat
wcbfynpuej,rnmooecwvx,-0.1475,0.0285,558,fbklblwvue
mngpakxgam,mckfjmudhq,0.096,0.221,cAT,-625
