eaquykreyv,wiaanclsnn,PeT,jvrvnmdpjd
bodbkvhnbr,mcmbmryria,0.2465,-0.078
dxrgdclnrm,0.3755,cAT,-430
pkepzmikxi,-130,CaT,0.2785
jsxabtiosi,678,suyelowqvu,-968
-727,dog,CAT,-0.36
0.2555,caT,cAT,0.115
0.2955,clgjjkclxh,378,0.33
CAT,-298,DoG,pnapusqmia
-0.0115,unpvczomah,caT,-0.029
cAt,-489,958,-34
337,600,dog,jdnzuarlra
0.4365,-73,-0.271,Dog
Cat,nrlscnvvuk,doG,-37
Cat,CAt,caT,DOG
evohtxlmac,dOG,Dog,-265
-868,ihosrwiocu,0.315,79
-978,0.263,dOG,omoeqkiilk
-156,veomujqzid,Dog,nwsfkthjsp
-0.245,-907,CAT,-840
-780,-788,Cat,-0.3335
0.2735,dOg,cat,-0.109
jsoptyohga,0.2665,-202,-468
CAT,dnllnlbulx,cAT,147
41,jamctebrir,dOg,dynrasluad
0.151,931,CaT,0.4305
0.1135,-890,cat,DoG
ooxfdrhjdl,0.457,CAT,6
