pet,zhqwkhdisu,fujlrxyahs
chmymblrjf,-568,734
CaT,-0.29,xstmyvzhec
fhfbaqrqay,519,DoG
caT,wyvaywenao,-424
dog,CaT,dog
dOG,dog,bcrqvgkahn
qkfidawrsn,0.052,dmphnkmhkp
yxrgwxckeo,kqsqtwwlzx,viyunnkldp
pjxgbdadio,-943,CAT
CAT,-0.293,-0.089
-950,-0.2705,156
dOG,sicckwenps,-728
-0.033,846,267
Dog,0.318,0.4365
CAT,ltokgyemot,558
CAT,-0.0005,zsmuaejora
dpvsbqcevs,-978,-0.144
-0.4405,caT,-0.388
dOg,CAt,0.078
DoG,gsfkbfpcci,gbvrybdnnn
DOG,cAT,89
-0.4635,-456,-614
-0.004,0.4475,irruhyjxyc
-0.476,379,-789
531,cat,Cat
CAt,-16,DoG
CAt,nfqjtgitnz,-0.2605
DOG,41,-0.051
cat,0.194,ybqdzbvcjz
doG,-569,mmfinawamx
doG,pfibzciofa,CaT
Dog,caT,0.2185
-392,619,caT
cat,brhfvmomhd,DoG
caT,264,-0.369
1,CAt,0.105
DOg,129,-0.2395
cAT,DOG,0.1885
CAT,-0.17,CaT
CAt,0.196,0.24
dOg,hcfhsepukw,Cat
354,0.1525,-0.249
DOg,-0.08,dOg
cAt,qrfudqhwsl,-0.4185
cat,vwrfhovcue,0.2165
ypnuvdwaih,288,kqajfrpbxa
DOg,576,evcaxheqkg
DOG,68,-945
ubrofotvax,-0.288,zntedjzvmm
dog,-0.4075,doG
CAt,-0.0085,-0.2715
CaT,0.1215,-0.296
cAt,gujsglttwj,-13
doG,998,doG
